system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000004f8_0,67827341B31154795269334,1,Bouenza,0.0,101.73531217998733,0.0,0.0,0.0,0.0,1,0,0,COG,0.0,3491.674422360898,0.0,0.0,286277.71615877503,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f8_1,67827341B31154795269334,1,Bouenza,0.0,101.73531217998733,0.0,0.0,11.767593376006126,546.6037430752873,1,0,1,COG,0.0,2192.1528833291995,0.0,0.0,228996.58222860066,98.30553689514306,9197.34613582215,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f8_2,67827341B31154795269334,1,Bouenza,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,228996.5822286007,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f9_0,67827341B49009283538750,1,Cuvette,0.0,0.0,0.0,265.96833069377817,0.0,0.0,0,1,0,COG,0.0,0.0,0.0,647.6756768074873,127205.61974666108,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f9_1,67827341B49009283538750,1,Cuvette,0.0,0.0,1.0108457000195687,525.7924231325404,31972.712282956963,4908.600507391986,0,2,8,COG,0.0,0.0,1.8438683744154725,1253.7079326792639,149085.30615832214,109002.39881212976,19841.273512816762,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004f9_2,67827341B49009283538750,1,Cuvette,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,149085.30615832217,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa_0,67827341B40537916918229,1,Cuvette-Ouest,0.0,0.0,6752.697799096296,2012.4355680826982,0.0,0.0,0,1,0,COG,0.0,0.0,9823.68600094676,3657.261049616092,39952.26263914991,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa_1,67827341B40537916918229,1,Cuvette-Ouest,282.99026781506836,1208.4635256128386,6752.697799096296,2012.4355680826986,4772.697681248206,2664.3732148606364,1,1,4,COG,999.8064384292811,5181.892459811643,29651.194752476174,14937.160208303681,150986.8653620041,33547.84883367311,15251.392757470358,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fa_2,67827341B40537916918229,1,Cuvette-Ouest,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,COG,0.0,0.0,0.0,0.0,150986.86536200414,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fb_0,67827341B60573037048895,1,Kouilou,88.21637457050383,636.3185412866192,3586.1637643938216,1307.4741720810714,0.0,0.0,1,1,0,COG,914.6384421214461,6381.56374387329,14208.451772459957,6779.272231540833,532494.3858463232,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004fb_1,67827341B60573037048895,1,Kouilou,88.21637457050383,636.3185412866192,3586.1637643938225,1307.4741720810712,184.19306877069175,1306.9801571943085,1,1,3,COG,1650.9946010112762,11568.402574516615,25111.652646925937,12643.82141022589,301302.29298995365,1673.1775199770927,118139.2520262008,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
