system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000543_0,35879248B70460974689380,1,Boa Vista,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,4006.540370954266,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000543_1,35879248B70460974689380,1,Boa Vista,0.0,0.0,0.0,0.0,9.087264085155638,499.1031460354908,0,0,2,CPV,0.0,0.0,0.0,0.0,20879.132137991008,38.456857706796306,19865.766675875555,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000543_2,35879248B70460974689380,1,Boa Vista,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,20879.132137991004,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000544_0,35879248B86099575470036,1,Brava,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,6787.637225716255,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000544_1,35879248B86099575470036,1,Brava,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,5791.357403368634,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000544_2,35879248B86099575470036,1,Brava,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,5791.357403368634,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000545_0,35879248B49116351933928,1,Maio,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,7114.986052576432,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000545_1,35879248B49116351933928,1,Maio,0.0,0.0,0.0,0.0,3.5573026433733173,163.2368127677882,0,0,1,CPV,0.0,0.0,0.0,0.0,7409.3801431219645,11.014492431655526,6746.397020208498,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000545_2,35879248B49116351933928,1,Maio,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,7409.3801431219645,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000546_0,35879248B31219630131339,1,Sal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,28704.95316965725,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000546_1,35879248B31219630131339,1,Sal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,25501.29011031752,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000546_2,35879248B31219630131339,1,Sal,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,25501.29011031752,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000547_0,35879248B41743840760019,1,São Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,66910.71735835572,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000547_1,35879248B41743840760019,1,São Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,94309.479169608,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000547_2,35879248B41743840760019,1,São Vicente,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,94309.479169608,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000548_0,35879248B49995424745322,1,Ribeira Brava,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,7157.310550066113,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000548_1,35879248B49995424745322,1,Ribeira Brava,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,8334.412045561,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000548_2,35879248B49995424745322,1,Ribeira Brava,0.0,0.0,0.0,0.0,3.392252880429813,101.9417299546411,0,0,1,CPV,0.0,0.0,0.0,0.0,8334.412045561,23.23449255526066,7163.967232717007,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000549_0,35879248B27983455382142,1,Tarrafal de São Nicolau,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,5522.921173979963,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000549_1,35879248B27983455382142,1,Tarrafal de São Nicolau,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,CPV,0.0,0.0,0.0,0.0,5661.9636327446515,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
