system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000605_0,25444519B7681288134121,1,Ali Sabieh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,42094.737750082306,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000605_1,25444519B7681288134121,1,Ali Sabieh,0.0,0.0,0.0,0.0,199.24572667752338,1021.6323504862283,0,0,2,DJI,0.0,0.0,0.0,0.0,115620.83744622175,6563.556846434608,57745.51199894997,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000605_2,25444519B7681288134121,1,Ali Sabieh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,115620.83744622173,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606_0,25444519B1274960689098,1,Arta,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,39958.50934031531,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606_1,25444519B1274960689098,1,Arta,0.0,0.0,0.0,0.0,0.7881273019876261,391.63591084077444,0,0,1,DJI,0.0,0.0,0.0,0.0,61335.288123289756,5.222246874430601,7576.413130573387,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000606_2,25444519B1274960689098,1,Arta,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,61335.28812328976,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607_0,25444519B52373268249817,1,Dikhil,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,65142.49539669509,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607_1,25444519B52373268249817,1,Dikhil,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,103062.86613518398,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000607_2,25444519B52373268249817,1,Dikhil,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,103062.86613518401,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608_0,25444519B6046592555533,1,Tadjourah,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,43239.211614106825,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608_1,25444519B6046592555533,1,Tadjourah,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,143340.8669313448,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000608_2,25444519B6046592555533,1,Tadjourah,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,143340.8669313448,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609_0,25444519B8926294731251,1,Obock,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,16634.004964289965,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609_1,25444519B8926294731251,1,Obock,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,50343.28584537603,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000609_2,25444519B8926294731251,1,Obock,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,50343.285845376035,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a_0,25444519B34443348585704,1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,59149.33087081692,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a_1,25444519B34443348585704,1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,97761.39650490129,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000060a_2,25444519B34443348585704,1,Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,DJI,0.0,0.0,0.0,0.0,97761.39650490129,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
