system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000669_0,31243875B86288540800273,1,Banjul,0.0,0.0,0.0,6.492817434668542,0.0,0.0,1,1,0,GMB,0.0,0.0,0.0,23716.148093459182,23716.148093459182,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000669_1,31243875B86288540800273,1,Banjul,0.0,0.0,4.624460141532414,1.8683572931361254,0.0,0.0,1,2,2,GMB,0.0,0.0,512.2400183359782,16327.350575376024,16839.590593712004,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000669_2,31243875B86288540800273,1,Banjul,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,GMB,0.0,0.0,0.0,0.0,16839.590593712004,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066a_0,31243875B74768451122912,1,Basse,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,GMB,0.0,0.0,0.0,0.0,140847.84330738842,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066a_1,31243875B74768451122912,1,Basse,0.08706779964268208,568.830227672462,0.0,0.0,0.0,0.0,2,0,0,GMB,25.173511862754822,99949.2828721002,0.0,0.0,244208.71120019362,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066a_2,31243875B74768451122912,1,Basse,0.0,0.0,0.0,0.0,0.0,224.66262306609352,0,0,2,GMB,0.0,0.0,0.0,0.0,244208.71120019362,0.0,25489.673472501956,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066b_0,31243875B88426941804625,1,Brikama,0.0,0.0,6.548125234268168,408.20202691900164,0.0,0.0,0,3,0,GMB,0.0,0.0,3801.2123479628094,147244.33037181574,278704.4990462762,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066b_1,31243875B88426941804625,1,Brikama,15.37757879959821,984.7244974298914,10.594896385636108,433.7992033094569,0.0,0.9867792036384344,9,4,1,GMB,1559.3606007262772,160732.01843486817,22769.720421394646,610519.9175415948,908009.761524839,0.0,2108.001626968384,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066b_2,31243875B88426941804625,1,Brikama,0.0,0.0,0.0,0.0,0.0,589.7607943694346,0,0,3,GMB,0.0,0.0,0.0,0.0,908009.761524839,0.0,88604.39871663626,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066c_0,31243875B72482523363184,1,Janjanbureh,0.0,0.0,5.214411050851877,325.67855330671676,0.0,0.0,0,1,0,GMB,0.0,0.0,212.2906663014608,18941.9198426263,84505.04956371385,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066c_1,31243875B72482523363184,1,Janjanbureh,0.0,269.65745437305566,5.214411050851877,325.6785533067167,0.0,0.0,2,1,0,GMB,0.0,15208.54502769159,217.3349090927956,29720.12662617342,119591.20123212006,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066c_2,31243875B72482523363184,1,Janjanbureh,0.0,0.0,0.0,0.0,0.0,144.84216091036066,0,0,2,GMB,0.0,0.0,0.0,0.0,119591.20123212007,0.0,9755.669813863318,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066d_0,31243875B42421745591684,1,Kanifing,0.0,0.0,0.9848134344991516,49.79645189817484,0.0,0.0,1,2,0,GMB,0.0,0.0,1561.441180002923,213259.65044057515,214821.09162057805,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066d_1,31243875B42421745591684,1,Kanifing,0.0,0.0,12.711918709573208,38.06934662310078,0.0,0.0,1,3,2,GMB,0.0,0.0,56482.810826684916,260275.47030963522,316758.28113632015,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066d_2,31243875B42421745591684,1,Kanifing,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,GMB,0.0,0.0,0.0,0.0,316758.28113632015,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066e_0,31243875B21899311231896,1,Kerewan,35.53388432526559,474.7157068997257,0.0,599.3567444535117,0.0,6.533756702207029,2,2,2,GMB,3358.635356376802,42799.00690833185,0.0,39611.12548932422,139205.17916017817,0.0,385.91046610474586,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066e_1,31243875B21899311231896,1,Kerewan,110.9401353667764,1123.997182702653,0.0,621.9285947516778,0.0,6.698078662157059,9,3,4,GMB,6745.247271630285,118061.25194633842,0.0,75684.19464416674,228724.17468155868,0.0,528.6789920628071,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066e_2,31243875B21899311231896,1,Kerewan,0.0,0.0,0.0,0.0,0.0,758.1897283664629,0,0,7,GMB,0.0,0.0,0.0,0.0,228724.17468155868,0.0,97072.51501594987,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066f_0,31243875B86283726287100,1,Kuntaur,0.0,0.0,0.013106982749612892,291.4425960571085,0.0,0.0,0,1,0,GMB,0.0,0.0,0.6194590927339068,12270.80934406858,62995.72270606918,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066f_1,31243875B86283726287100,1,Kuntaur,0.3283567186444998,227.08491890001312,0.013106982749612892,291.4425960571085,0.0,0.0,1,1,0,GMB,27.435815274715424,16995.395687634278,0.5315970991172043,21890.718129081117,101641.14123296493,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066f_2,31243875B86283726287100,1,Kuntaur,0.0,0.0,0.0,0.0,0.260749815327718,464.3456228590223,0,0,3,GMB,0.0,0.0,0.0,0.0,101641.14123296495,25.477915969315696,39091.75479494076,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000670_0,31243875B75097494588605,1,Mansakonko,0.0,134.84672663735188,194.07898969370507,561.8587577054277,0.0,0.0,1,1,1,GMB,0.0,6726.976218287442,2678.988494530437,13435.253401672375,57709.77408086185,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000670_1,31243875B75097494588605,1,Mansakonko,14.72015881892659,379.159860694832,194.07898969370507,561.8587577054278,0.0,0.0,8,1,1,GMB,353.284517516634,24917.93121207166,2460.0444415551046,15380.15544003596,76435.52307509833,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000670_2,31243875B75097494588605,1,Mansakonko,0.0,0.0,0.0,0.0,0.0,137.13005786138567,0,0,1,GMB,0.0,0.0,0.0,0.0,76435.52307509833,0.0,13618.559443087788,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
