system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000386_0,1811400B81659894240990,1,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,747126.0647405105,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000386_1,1811400B81659894240990,1,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,1252391.5946914668,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000386_2,1811400B81659894240990,1,Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,1252391.594691467,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000387_0,1811400B15614733245507,1,Mah?r?shtra,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,8.10974858826461E7,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000387_1,1811400B15614733245507,1,Mah?r?shtra,0.0,0.0,0.0,0.0,1057.2348352419212,4580.493175077252,0,0,1,IND,0.0,0.0,0.0,0.0,1.099095166802812E8,95177.39153281227,627148.3445291482,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000387_2,1811400B15614733245507,1,Mah?r?shtra,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,1.0990951668028115E8,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000388_0,1811400B74762431478096,1,N?g?land,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,1706122.8570306285,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000388_1,1811400B74762431478096,1,N?g?land,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,1773117.053397326,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000388_2,1811400B74762431478096,1,N?g?land,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,1773117.0533973256,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000389_0,1811400B55669546485086,1,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,IND,0.0,0.0,0.0,0.0,1815.48695677215,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
