system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000818_0,31783359B80437097027275,1,Xaignabouli,873.3407754132086,1564.409356691042,35.973792065190636,2756.789861107647,0.0,0.0,1,4,0,LAO,3130.755864623934,46287.80319850473,0.0,57306.32360778247,328077.2249323486,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000818_1,31783359B80437097027275,1,Xaignabouli,872.4157621895456,1468.1989199960385,43.08635683655373,3714.0859071811415,0.0,0.0,1,7,0,LAO,4297.438078701496,54511.10418859497,0.0,89707.82914303799,425719.550585642,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000818_2,31783359B80437097027275,1,Xaignabouli,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,425719.5505856421,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000819_0,31783359B8999899719232,1,Attapeu,1807.3033496991898,1926.6229215844953,4.728312811270064,1918.9171867838936,0.0,0.0,3,2,0,LAO,4091.9716422578963,16750.823901883967,0.0,3481.3329594818656,102701.85814041314,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000819_1,31783359B8999899719232,1,Attapeu,1807.3033496991898,1987.5049789374184,4.728312811270064,1918.9171867838932,0.0,0.0,4,2,0,LAO,6654.831538994662,30018.99770697598,0.0,5817.906918387373,170295.11097735254,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000819_2,31783359B8999899719232,1,Attapeu,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,170295.11097735245,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081a_0,31783359B18099798035754,1,Bokeo,0.004955259918728296,422.0973361025107,0.0,88.8317495364148,0.0,0.0,1,1,0,LAO,0.0018366804309919767,11663.645154420286,0.0,2364.54572821036,137116.36850431236,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081a_1,31783359B18099798035754,1,Bokeo,988.4441208180881,1920.130799803072,0.0,88.83174953641479,0.0,0.0,2,1,0,LAO,6211.529471607423,49053.373333162155,0.0,3296.05001828447,215626.91628110217,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081a_2,31783359B18099798035754,1,Bokeo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,LAO,0.0,0.0,0.0,0.0,215626.91628110214,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000081b_0,31783359B52686694059818,1,Bolikhamsai,2661.8660314248987,3602.966236228412,0.0,489.1394381494097,0.0,0.0,3,1,0,LAO,2094.684450309804,61299.87202550711,0.0,18808.09475401796,201253.45172610378,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
