system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000671_0,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0.0,0.0,0.0,0.0,256.2493492003239,1335.8923585456707,0,0,3,MAR,0.0,0.0,0.0,0.0,9800.807439121209,193.74616695940495,469.2867996743058,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000671_1,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0.0,0.0,1536.5503670640474,1530.1678193182556,9.002961090057356,212.14835130938638,0,1,4,MAR,0.0,0.0,520.2071943841875,2864.7794153368936,15413.724759350704,2.3111733719706535,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000671_2,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,15413.724759350705,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000672_0,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0.0,0.0,0.0,0.0,331.61297845042805,5932.038046791633,0,0,20,MAR,0.0,0.0,0.0,0.0,2941502.7157814675,34931.447008233416,1715405.1810730149,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000672_1,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0.0,0.0,872.6828306494208,2519.365986055578,426.639592222559,5640.728374914615,0,2,26,MAR,0.0,0.0,31524.287955833453,425065.96190927684,4019362.308981835,28433.499092167105,2661093.8572757295,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000672_2,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0.0,0.0,0.0,0.0,0.015261937385680628,139.25803131438866,0,0,1,MAR,0.0,0.0,0.0,0.0,4019362.308981835,2.1242266912086336,101106.40603078231,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000673_0,70788906B40056535803135,1,Oriental,0.0,0.0,0.0,0.0,324.0206972983684,3707.5724168666957,0,0,9,MAR,0.0,0.0,0.0,0.0,2042251.2496781335,2068.37385533005,361566.0396778696,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000673_1,70788906B40056535803135,1,Oriental,0.0,0.0,0.0,0.0,361.17324587314516,4131.088482234378,0,0,15,MAR,0.0,0.0,0.0,0.0,2499170.2393803317,5243.352399144884,493744.9560555242,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000673_2,70788906B40056535803135,1,Oriental,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,2499170.2393803317,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000674_0,70788906B26242154300952,1,Drâa-Tafilalet,0.0,0.0,795.7985539795247,1810.7903545081576,1692.2670576101937,11155.275563716443,0,2,11,MAR,0.0,0.0,1929.212235338986,13633.961358197033,1461155.8231192257,17899.01404159268,238361.0656645912,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000674_1,70788906B26242154300952,1,Drâa-Tafilalet,0.0,0.0,1580.1417203449444,4671.06150554974,2422.9076097956695,19771.05673574761,0,5,18,MAR,0.0,0.0,9726.327685028315,90067.65552231517,1756243.7829120457,244022.87506087407,675080.3148247659,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000674_2,70788906B26242154300952,1,Drâa-Tafilalet,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,1756243.7829120457,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675_0,70788906B1820144472977,1,Souss-Massa,0.0,0.0,1289.7567294371263,3184.7032288518244,1015.3195728777232,7861.39380640344,0,3,12,MAR,0.0,0.0,17909.20265154935,901223.3536628586,2225296.5395325623,8166.527387397911,329891.0317666858,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675_1,70788906B1820144472977,1,Souss-Massa,0.0,0.0,1289.7567294371265,3184.7032288518244,1059.8758140416048,8377.437438201321,0,3,15,MAR,0.0,0.0,26602.367672096458,1398204.7714704932,2979337.059120312,9761.367267811444,463749.41374064644,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000675_2,70788906B1820144472977,1,Souss-Massa,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MAR,0.0,0.0,0.0,0.0,2979337.0591203137,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000676_0,70788906B64069740334949,1,Guelmim-Oued Noun,0.0,0.0,0.0,0.0,3055.279338390994,9850.532977997826,0,0,10,MAR,0.0,0.0,0.0,0.0,405237.59791747236,1046.4044846020988,140419.0906752749,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
