system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000008af_0,14279143B47638406449643,1,Dornogovi,1904.745184008337,4035.9403292420043,5616.222902668441,2713.9929533354934,0.0,0.0,3,2,0,MNG,239.57271881084387,611.7082073028544,613.1594921788204,281.1024683742727,46648.015403532765,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008af_1,14279143B47638406449643,1,Dornogovi,2545.49223595103,6423.531660084241,5616.222902668441,2713.992953335494,0.0,0.0,6,2,0,MNG,400.82569279175175,1116.8872047776727,701.4364437804355,446.7589040400438,60312.759660439995,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008af_2,14279143B47638406449643,1,Dornogovi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,60312.75966044,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b0_0,14279143B39885639062119,1,Govi-Altai,3751.3433592473157,5402.823981508147,37994.98969137798,7957.978135224402,0.0,0.0,3,5,1,MNG,1186.6141529247398,1967.8819166207395,3173.9182784078976,1532.9145052310935,54738.97981277479,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b0_1,14279143B39885639062119,1,Govi-Altai,5654.8841868704185,7189.0126728229225,40662.36785974254,10382.341024281437,0.0,0.0,4,7,1,MNG,1378.3346993652813,2645.7200173915626,2679.1630746816627,1699.1043209800791,38218.857009996675,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b0_2,14279143B39885639062119,1,Govi-Altai,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,38218.85700999668,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b1_0,14279143B7576416025221,1,Bayankhongor,0.0,0.0,22861.90285342926,7617.567538198103,500.77704872284085,3232.516907383222,0,4,1,MNG,0.0,0.0,3328.9130843127664,2544.5681478786523,72945.25097710962,232.64093576156301,1473.2855081392336,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b1_1,14279143B7576416025221,1,Bayankhongor,190.2433389336802,810.8699856733465,26620.327346498227,12677.70939162105,361.69356731139123,2600.583705710713,2,7,1,MNG,20.919766220089514,173.29030990470542,3857.4942293337126,4584.696273512384,58203.76519831026,284.1557911294949,1247.8655260974629,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b1_2,14279143B7576416025221,1,Bayankhongor,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,58203.76519831026,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b2_0,14279143B52126529381065,1,Ömnögovi,271.59773490679464,643.3658537021163,33877.30578522912,12769.807391209824,0.0,0.0,1,5,0,MNG,25.051565257317215,77.34079236770437,4427.557596508968,13259.040319524967,40458.02924766877,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b2_1,14279143B52126529381065,1,Ömnögovi,7403.967304993039,2442.566824673779,33877.305785226796,12769.807391209823,0.0,0.0,2,5,0,MNG,570.824966532387,493.9167782431879,5423.315679737745,20831.693818468357,67759.563585824,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b2_2,14279143B52126529381065,1,Ömnögovi,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MNG,0.0,0.0,0.0,0.0,67759.56358582401,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008b3_0,14279143B32793669032275,1,Övörkhangai,97.98642882031443,420.9912054529414,2856.2777423411057,3463.6950478212293,118.39180780528113,1199.71403447818,1,3,2,MNG,59.53270543750521,233.6281280111138,6747.231874960337,13893.96469608023,95678.03496578116,90.49840509705245,1625.2710044597043,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
