system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000957_0,64602211B32508365222448,1,Adrar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,74491.24655975962,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000957_1,64602211B32508365222448,1,Adrar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,63170.583647239335,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000957_2,64602211B32508365222448,1,Adrar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,63170.583647239335,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000958_0,64602211B90916584250573,1,Assaba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,248618.10411506382,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000958_1,64602211B90916584250573,1,Assaba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,394083.19485153473,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000958_2,64602211B90916584250573,1,Assaba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,394083.1948515347,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000959_0,64602211B46238103763928,1,Brakna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,271504.39283931034,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000959_1,64602211B46238103763928,1,Brakna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,379469.03642034315,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000959_2,64602211B46238103763928,1,Brakna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,MRT,0.0,0.0,0.0,0.0,379469.0364203432,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000095a_0,64602211B79560026477663,1,Dakhlet Nouadhibou,0.0,0.0,4094.831430097965,1856.8145740123537,0.0,109.9050046057203,0,1,2,MRT,0.0,0.0,604.160368462568,191.32832820154727,81065.30615845477,0.0,8.59967364743352,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
