system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0001000000000000002b_0,602756B50041453479655,1,Autonomous Region of Bougainville,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PNG,0.0,0.0,0.0,0.0,144083.36186238314,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002b_1,602756B50041453479655,1,Autonomous Region of Bougainville,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PNG,0.0,0.0,0.0,0.0,243756.59974802603,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002b_2,602756B50041453479655,1,Autonomous Region of Bougainville,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PNG,0.0,0.0,0.0,0.0,243756.5997480259,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002c_0,602756B93864696482497,1,Central Province,0.0,0.0,0.0,0.0,64.7483811834827,1737.9143020265096,0,0,4,PNG,0.0,0.0,0.0,0.0,163081.33702310742,629.3875091262162,25034.067063143775,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002c_1,602756B93864696482497,1,Central Province,0.0,0.0,0.0,0.0,66.1935265557037,1979.9033879909812,0,0,5,PNG,0.0,0.0,0.0,0.0,260680.97592121703,1059.5412004318891,42822.66964293936,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002c_2,602756B93864696482497,1,Central Province,0.0,0.0,0.0,0.0,39.709181173704565,779.7437103949487,0,0,1,PNG,0.0,0.0,0.0,0.0,260680.97592121694,146.2510921806097,4696.194534083828,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002d_0,602756B7407698878652,1,Chimbu (Simbu) Province,0.0,0.0,0.0,0.0,905.5848793800227,1342.997165515102,0,0,2,PNG,0.0,0.0,0.0,0.0,222520.98492821446,4916.997073198179,26335.621087196287,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002d_1,602756B7407698878652,1,Chimbu (Simbu) Province,0.0,0.0,0.0,0.0,905.5848793800228,1342.9971655151026,0,0,2,PNG,0.0,0.0,0.0,0.0,506498.2497353906,9111.12656012124,53559.767735576446,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002d_2,602756B7407698878652,1,Chimbu (Simbu) Province,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PNG,0.0,0.0,0.0,0.0,506498.2497353905,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002e_0,602756B6474807440256,1,East New Britain Province,0.0,0.0,0.0,0.0,39.106009272898675,1206.0137714352898,0,0,4,PNG,0.0,0.0,0.0,0.0,180776.331510724,91.00636012649858,4504.057597189163,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002e_1,602756B6474807440256,1,East New Britain Province,0.0,0.0,0.0,0.0,84.34967978139426,1805.9682915605863,0,0,5,PNG,0.0,0.0,0.0,0.0,261934.94113755407,283.0220034637945,8925.170249278317,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002e_2,602756B6474807440256,1,East New Britain Province,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PNG,0.0,0.0,0.0,0.0,261934.94113755412,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002f_0,602756B46774983793805,1,East Sepik Province,0.0,0.0,0.0,0.0,2281.3990150224417,3618.3158182264797,0,0,2,PNG,0.0,0.0,0.0,0.0,288287.2349798135,3854.149343035184,12738.084693490495,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0001000000000000002f_1,602756B46774983793805,1,East Sepik Province,0.0,0.0,0.0,0.0,2281.3990150224417,3618.3158182264797,0,0,2,PNG,0.0,0.0,0.0,0.0,442145.20851392415,6784.174839127809,19177.354351396996,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
