system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000017c_0,86620642B69119058579524,1,Abyei PCA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,24.713973243651434,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c_1,86620642B69119058579524,1,Abyei PCA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,27.090666193423758,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c_2,86620642B69119058579524,1,Abyei PCA,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,27.090666193423758,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_0,86620642B80352504723135,1,Gezira,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,3216242.637066224,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_1,86620642B80352504723135,1,Gezira,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,4724036.741960036,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_2,86620642B80352504723135,1,Gezira,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,4724036.741960037,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_0,86620642B86272532082738,1,Blue Nile,0.0,30.468028598479627,66.24215010253018,963.6515200524974,0.0,0.0,1,1,0,SDN,0.0,1027.7266552333738,3.474869728088379,51.56672273152599,667748.8154505654,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_1,86620642B86272532082738,1,Blue Nile,0.0,30.46802859847963,66.24215010253018,963.6515200524973,0.0,0.0,1,1,0,SDN,0.0,410.0915896226378,258.0823010504246,54.771240410055306,1286472.0448626927,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_2,86620642B86272532082738,1,Blue Nile,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1286472.0448626927,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_0,86620642B67241023181859,1,Central Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,598532.2656751408,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_1,86620642B67241023181859,1,Central Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,645109.239643595,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_2,86620642B67241023181859,1,Central Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,645109.2396435952,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_0,86620642B42892304507154,1,East Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,947715.3768168914,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_1,86620642B42892304507154,1,East Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,2266156.801957438,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_2,86620642B42892304507154,1,East Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,2266156.8019574382,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181_0,86620642B51630913908628,1,Gedaref,0.0,0.0,2573.2139335604566,1463.3826402559912,0.0,0.0,0,1,0,SDN,0.0,0.0,16472.923406572467,38758.5034877283,1299991.82534285,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181_1,86620642B51630913908628,1,Gedaref,0.0,0.0,2573.213933560456,1463.3826402559912,0.0,0.0,0,1,0,SDN,0.0,0.0,30723.915347823837,47545.37764439293,1628724.2663636024,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000181_2,86620642B51630913908628,1,Gedaref,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1628724.2663636028,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_0,86620642B34113093603931,1,Kassala,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1320719.583680658,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_1,86620642B34113093603931,1,Kassala,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,2143169.69377573,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000182_2,86620642B34113093603931,1,Kassala,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,2143169.69377573,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000183_0,86620642B69351377969837,1,Khartoum,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,4421029.678218146,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000183_1,86620642B69351377969837,1,Khartoum,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,7372055.6348591335,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000183_2,86620642B69351377969837,1,Khartoum,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,7372055.6348591335,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000184_0,86620642B32784125865646,1,North Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1610224.22711228,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000184_1,86620642B32784125865646,1,North Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,3609316.640708801,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000184_2,86620642B32784125865646,1,North Darfur,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,3609316.640708801,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000185_0,86620642B75144405979625,1,North Kordofan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SDN,0.0,0.0,0.0,0.0,1701443.7243106826,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
