system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
0000000000000000013b_0,83879307B66756469447496,1,Hiiraan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,248277.6841875829,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_1,83879307B66756469447496,1,Hiiraan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,416924.0199645787,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_2,83879307B66756469447496,1,Hiiraan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,416924.0199645788,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0,83879307B13610404434600,1,Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,204265.7935587654,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_1,83879307B13610404434600,1,Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,342861.30844225094,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_2,83879307B13610404434600,1,Sanaag,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,342861.308442251,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_0,83879307B32896531038690,1,Banadir,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,658572.4223514755,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_1,83879307B32896531038690,1,Banadir,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1103821.3362203229,0.0,0.0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_2,83879307B32896531038690,1,Banadir,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,1103821.3362203229,0.0,0.0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e_0,83879307B67680758004346,1,Togdheer,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SOM,0.0,0.0,0.0,0.0,305963.97246862366,0.0,0.0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
