system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000156_0,48771326B2646389376646,1,Lakes,124.57258992949684,727.1207546345596,11425.67083417563,3519.9286708062455,0.0,0.0,1,3,0,SSD,5204.998880075941,7020.747340679169,14093.19416809082,37865.09883275628,591635.6454944019,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_1,48771326B2646389376646,1,Lakes,124.57258992949684,727.1207546345597,11425.670834175631,3519.9286708062455,697.121842614459,1080.5389588071653,1,3,1,SSD,8214.129249649422,4852.721244156361,8946.699843205512,41513.929594608264,591069.0618151897,27.620349453762174,314.28724636476414,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_2,48771326B2646389376646,1,Lakes,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SSD,0.0,0.0,0.0,0.0,591069.0618151898,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157_0,48771326B10235544430886,1,Central Equatoria,96.29576816515375,1666.2324788807546,4394.270637150119,3708.027692363283,0.0,80.85995015225865,4,4,5,SSD,19097.47384027748,27218.5019579068,2919.6199954893145,249609.83048019157,772394.2951530997,0.0,15506.244617392356,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157_1,48771326B10235544430886,1,Central Equatoria,96.29576816515375,1666.2324788807546,4394.270637150121,3708.0276923632837,0.0,80.85995015225866,4,4,5,SSD,73916.93683561053,71252.22078606734,2866.781492902218,339467.5805532957,1190242.6543496314,0.0,20285.739691525014,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157_2,48771326B10235544430886,1,Central Equatoria,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SSD,0.0,0.0,0.0,0.0,1190242.6543496319,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_0,48771326B42994405084241,1,Eastern Equatoria,3324.960695061763,5600.304175419963,7821.702132482812,5622.876156998957,16.213928999850413,309.0672117664059,5,6,4,SSD,4193.215216085468,30945.922345981922,480.6473053221098,44839.22877867882,265071.95491819206,79.47254636883736,2146.4664143025875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_1,48771326B42994405084241,1,Eastern Equatoria,3324.960695061763,5600.304175419963,7821.702132482813,5622.8761569989565,16.213928999850413,309.0672117664058,5,6,4,SSD,80394.55754630367,440035.6954563886,1015.457966013691,723986.5245394554,3724814.918416654,24.5990968644619,71724.39383900166,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_2,48771326B42994405084241,1,Eastern Equatoria,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SSD,0.0,0.0,0.0,0.0,3724814.918416654,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159_0,48771326B2876692069974,1,Upper Nile,493.6618300812903,1092.6672826458462,4.155385605753491,463.493528222216,0.0,0.0,2,1,0,SSD,20506.531508009575,1923.5572658777237,0.0,1114.858840405941,711948.9833430091,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
