system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000001c2_0,8384693B24866558579919,1,Damascus,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1524966.1458770132,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c2_1,8384693B24866558579919,1,Damascus,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1870950.8560456866,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c2_2,8384693B24866558579919,1,Damascus,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1870950.8560456866,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c3_0,8384693B67178658489877,1,Aleppo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,3649103.646961117,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c3_1,8384693B67178658489877,1,Aleppo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,4747733.297592339,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c3_2,8384693B67178658489877,1,Aleppo,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,4747733.297592343,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c4_0,8384693B89451039606890,1,Rural Damascus,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,2028734.6564481196,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c4_1,8384693B89451039606890,1,Rural Damascus,0.0,0.0,1.9555944291984334E-4,238.87429187890945,0.0,43.34406391209467,0,1,1,SYR,0.0,0.0,0.0,14138.617759890622,2903413.3406574414,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c4_2,8384693B89451039606890,1,Rural Damascus,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,2903413.3406574423,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5_0,8384693B93490606690779,1,Homs,0.0,0.0,0.0,26.69186391059455,0.0,0.0,0,1,0,SYR,0.0,0.0,0.0,301.52313903085155,1358065.045093807,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5_1,8384693B93490606690779,1,Homs,0.0,0.0,0.0,26.69186391059455,0.0,0.0,0,1,0,SYR,0.0,0.0,0.0,309.8810276182058,1801229.0703415256,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5_2,8384693B93490606690779,1,Homs,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1801229.070341526,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6_0,8384693B76753285616287,1,Hama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1241099.1652236644,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6_1,8384693B76753285616287,1,Hama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1469781.2816532748,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c6_2,8384693B76753285616287,1,Hama,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1469781.281653275,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c7_0,8384693B20094101885952,1,Lattakia,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,656073.27310872,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c7_1,8384693B20094101885952,1,Lattakia,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,828213.0875259114,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c7_2,8384693B20094101885952,1,Lattakia,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,828213.0875259114,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c8_0,8384693B38455082445791,1,Idleb,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1183485.7704342776,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c8_1,8384693B38455082445791,1,Idleb,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1427634.4127835315,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c8_2,8384693B38455082445791,1,Idleb,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1427634.412783532,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c9_0,8384693B3351094574159,1,Al-Hasakeh,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SYR,0.0,0.0,0.0,0.0,1141868.5085204127,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
