system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
00000000000000000256_0,58719522B69518090574338,1,Oecusse,0.0,0.0,0.0,68.57996783440969,0.0,0.0,0,1,0,TLS,0.0,0.0,0.0,7216.970798675322,54680.53270309835,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256_1,58719522B69518090574338,1,Oecusse,0.0,0.0,0.0,68.57996783440969,216.57209036364492,518.0304660991856,0,1,5,TLS,0.0,0.0,0.0,8389.310274780702,70203.20796315827,5502.099802002595,56311.79788637499,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000256_2,58719522B69518090574338,1,Oecusse,0.0,0.0,0.0,0.0,0.0,65.24219618553624,0,0,1,TLS,0.0,0.0,0.0,0.0,70203.20796315829,0.0,8296.176243730795,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257_0,58719522B52176164477569,1,Aileu,0.0,0.0,0.0,0.0,2.5242621129232594,328.57173920354865,0,0,4,TLS,0.0,0.0,0.0,0.0,29028.803636246575,27.201996728777885,12379.92343971899,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257_1,58719522B52176164477569,1,Aileu,0.0,0.0,0.0,0.0,2.5242621129232594,340.4925609814588,0,0,5,TLS,0.0,0.0,0.0,0.0,60695.65124360871,67.70758875086904,29011.21359306868,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000257_2,58719522B52176164477569,1,Aileu,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,60695.65124360871,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258_0,58719522B96669271034989,1,Ainaro,0.0,0.0,0.0,0.0,98.64571873131482,488.3847857942074,0,0,1,TLS,0.0,0.0,0.0,0.0,68607.01255818042,2131.2819696721785,40773.03043049761,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258_1,58719522B96669271034989,1,Ainaro,0.0,0.0,0.0,0.0,132.09097062304764,927.2213105103949,0,0,6,TLS,0.0,0.0,0.0,0.0,77636.82414798936,3140.2626222374683,70298.95448381058,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258_2,58719522B96669271034989,1,Ainaro,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,77636.82414798936,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259_0,58719522B57750794760959,1,Baucau,0.0,0.0,0.0,0.0,94.33179255016513,806.4166529904759,0,0,2,TLS,0.0,0.0,0.0,0.0,99010.99960981063,7282.080192001354,46291.940984369525,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259_1,58719522B57750794760959,1,Baucau,0.0,32.070708423962486,0.0,0.0,148.76955875627988,824.2332057833271,1,0,8,TLS,0.0,75.97202754020691,0.0,0.0,123053.29174937996,5699.478809188979,55237.41890551868,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000259_2,58719522B57750794760959,1,Baucau,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TLS,0.0,0.0,0.0,0.0,123053.29174937996,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000025a_0,58719522B64128847782213,1,Bobonaro,0.0,0.0,0.0,0.0,2.804299711293596,161.83284687411916,0,0,1,TLS,0.0,0.0,0.0,0.0,78146.70116545056,0.0,19724.20268056495,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
