system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000000f7_0,13205935B88806172084765,1,Tunis,0.0,0.0,0.0,0.0,0.10979143809527159,190.6824902380652,0,0,3,TUN,0.0,0.0,0.0,0.0,898188.0371106981,19.85283374786377,878508.8267550463,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7_1,13205935B88806172084765,1,Tunis,0.0,0.0,0.0,0.0,17.010206559745995,231.40972181530117,0,0,9,TUN,0.0,0.0,0.0,0.0,1038438.4941629203,262.36737024986974,1037882.4685782107,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7_2,13205935B88806172084765,1,Tunis,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,1038438.4941629202,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_0,13205935B75715054307065,1,Ben Arous,0.0,0.0,0.0,0.0,19.372572425752878,332.7874781252707,0,0,3,TUN,0.0,0.0,0.0,0.0,462379.31289910444,1163.9940444352105,373949.25382277305,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_1,13205935B75715054307065,1,Ben Arous,0.0,0.0,0.0,0.0,19.932282638502326,429.1918237743972,0,0,11,TUN,0.0,0.0,0.0,0.0,717293.3669937861,1984.787397418602,705798.0600696582,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_2,13205935B75715054307065,1,Ben Arous,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,717293.366993786,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9_0,13205935B49538157477352,1,El Kef,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,273644.54683140205,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9_1,13205935B49538157477352,1,El Kef,0.0,0.0,0.0,0.0,45.24738699477166,1459.0678008201771,0,0,5,TUN,0.0,0.0,0.0,0.0,241030.9267713223,146.76416079327464,34488.19032248885,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9_2,13205935B49538157477352,1,El Kef,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,241030.9267713222,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_0,13205935B49970022939178,1,Sousse,0.0,0.0,0.0,0.0,228.8639357833484,1022.3726797749636,0,0,3,TUN,0.0,0.0,0.0,0.0,518654.34542065725,8.428427997395834,65821.06450069134,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_1,13205935B49970022939178,1,Sousse,0.0,0.0,0.0,0.0,229.2719464649282,1532.4746411770805,0,0,11,TUN,0.0,0.0,0.0,0.0,789357.7811397759,9.916324145051048,549994.1169115601,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_2,13205935B49970022939178,1,Sousse,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,789357.7811397758,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0,13205935B27259873852948,1,Sfax,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,817381.75902711,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_1,13205935B27259873852948,1,Sfax,0.0,0.0,0.0,0.0,84.26415064196814,1717.0016371888892,0,0,9,TUN,0.0,0.0,0.0,0.0,1059219.2058894667,267.7831195079466,697217.4016124203,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_2,13205935B27259873852948,1,Sfax,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,1059219.2058894662,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,13205935B57742642676849,1,Jendouba,0.0,0.0,5.174946103949902,907.8783026339486,5.841767142179842,780.8999620555371,0,1,6,TUN,0.0,0.0,26.969241510317023,110520.61761397569,437302.8696503887,156.27875962294638,100458.30670056338,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_1,13205935B57742642676849,1,Jendouba,0.0,0.0,5.174946103949902,907.8783026339486,74.67020244116657,1141.0333596360008,0,1,15,TUN,0.0,0.0,26.911411278687563,102095.06369270095,404631.8079433768,970.1071691783145,140048.60973009255,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_2,13205935B57742642676849,1,Jendouba,0.0,0.0,0.0,0.0,0.3593230862170458,230.907520620072,0,0,1,TUN,0.0,0.0,0.0,0.0,404631.8079433768,1.060200959444046,42996.88283900723,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_0,13205935B9888826763551,1,Kairouan,0.0,0.0,0.0,0.0,27.007750232488505,1911.0703319011147,0,0,6,TUN,0.0,0.0,0.0,0.0,552898.5308921203,253.56519159600685,111591.72378595146,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_1,13205935B9888826763551,1,Kairouan,0.0,0.0,0.0,0.0,119.6974007165242,2929.9141729673297,0,0,15,TUN,0.0,0.0,0.0,0.0,606314.971049712,2951.121772141103,204875.42943086498,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_2,13205935B9888826763551,1,Kairouan,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,606314.9710497119,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_0,13205935B52637504718586,1,Kasserine,0.0,0.0,0.0,0.0,71.64765098877251,1184.6857646202193,0,0,3,TUN,0.0,0.0,0.0,0.0,413736.9048968574,127.41475949902087,111253.12947650474,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_1,13205935B52637504718586,1,Kasserine,0.0,0.0,0.0,0.0,150.70059314082724,1926.321183215111,0,0,5,TUN,0.0,0.0,0.0,0.0,466963.0177881478,591.9601362992698,198846.09610140152,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_2,13205935B52637504718586,1,Kasserine,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,466963.0177881479,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_0,13205935B953488337212,1,Mahdia,0.0,0.0,0.0,0.0,34.75218382203475,720.5297355039667,0,0,1,TUN,0.0,0.0,0.0,0.0,368846.09188471164,28.19951153767533,89551.06635254248,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_1,13205935B953488337212,1,Mahdia,0.0,0.0,0.0,0.0,34.75218382203476,720.5297355039668,0,0,2,TUN,0.0,0.0,0.0,0.0,433712.90444654634,33.176989287311464,104884.71688673827,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_2,13205935B953488337212,1,Mahdia,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,433712.9044465462,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_0,13205935B47286197858453,1,Manouba,0.0,0.0,0.0,0.0,0.0,16.787914756601488,0,0,2,TUN,0.0,0.0,0.0,0.0,393428.0866993293,0.0,151588.46877794003,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_1,13205935B47286197858453,1,Manouba,0.0,0.0,0.0,0.0,0.0,310.9307546376634,0,0,8,TUN,0.0,0.0,0.0,0.0,499870.9417836734,0.0,376523.4629350514,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_2,13205935B47286197858453,1,Manouba,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,499870.9417836733,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_0,13205935B988461082754,1,Sidi Bouzid,0.0,0.0,126.97955513726919,828.8028451947679,0.0,0.0,0,1,0,TUN,0.0,0.0,1054.6703944782125,26310.655868168702,396293.56640179607,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_1,13205935B988461082754,1,Sidi Bouzid,0.0,0.0,126.97955513726919,828.8028451947678,193.60269507885198,1528.86681979322,0,1,8,TUN,0.0,0.0,1132.682856846725,32038.52636540564,464896.54185544315,378.5936494426199,51469.070604242734,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_2,13205935B988461082754,1,Sidi Bouzid,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,464896.5418554432,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_0,13205935B11721331776240,1,Kébili,0.0,0.0,0.0,0.0,4953.400614399554,6078.648754142725,0,0,2,TUN,0.0,0.0,0.0,0.0,142388.91528132878,2672.249465822708,131815.40941029348,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_1,13205935B11721331776240,1,Kébili,0.0,0.0,0.0,0.0,4980.8283993332625,6299.74801955329,0,0,6,TUN,0.0,0.0,0.0,0.0,169999.82552645452,3237.467812422663,159050.38865563288,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_2,13205935B11721331776240,1,Kébili,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,169999.8255264545,0.0,0.0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103_0,13205935B67114336122672,1,Béja,0.0,0.0,0.0,0.0,1.2641747110103276,304.4917228555088,0,0,5,TUN,0.0,0.0,0.0,0.0,318085.0172376548,2.268541131168604,24085.91980169142,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103_1,13205935B67114336122672,1,Béja,0.0,0.0,0.0,0.0,116.7803968583325,533.6576869763543,0,0,9,TUN,0.0,0.0,0.0,0.0,314396.100512833,1198.143391459092,50527.8290509889,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103_2,13205935B67114336122672,1,Béja,0.0,0.0,0.0,0.0,0.0,224.20099300073423,0,0,1,TUN,0.0,0.0,0.0,0.0,314396.100512833,0.0,12913.821862976976,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104_0,13205935B85172640982228,1,Tataouine,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,146905.24017134882,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104_1,13205935B85172640982228,1,Tataouine,0.0,0.0,0.0,0.0,2863.9657497173175,4429.139119043006,0,0,4,TUN,0.0,0.0,0.0,0.0,158525.72591026273,242.45915980869904,1264.1110880435444,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104_2,13205935B85172640982228,1,Tataouine,0.0,0.0,0.0,0.0,0.0,63.619356309019906,0,0,1,TUN,0.0,0.0,0.0,0.0,158525.72591026276,0.0,23.09342498332262,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105_0,13205935B69181748376292,1,Gabès,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,TUN,0.0,0.0,0.0,0.0,340722.2583989995,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105_1,13205935B69181748376292,1,Gabès,0.0,0.0,0.0,0.0,35.229867712733366,1684.7480841393162,0,0,9,TUN,0.0,0.0,0.0,0.0,411399.1927902094,125.3774307262755,184476.16663627233,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
