system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
000000000000000002e5_0,14850775B65901307765467,1,Kherson Oblast,23.404423196427523,1493.8341764644736,469.0079174426987,2274.8740426667378,232.46684650007415,1274.113531281295,10,4,5,UKR,15.128298367373645,55811.43933069808,-483111.8667399034,-13266.791047294773,655497.3335417425,68280.0144265729,381965.873839075,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e5_1,14850775B65901307765467,1,Kherson Oblast,23.404423196427523,1493.8341764644733,469.0079174426988,2274.874042666736,232.46684650007424,1274.113531281295,10,4,5,UKR,21.011227042414248,54686.485525539596,-483877.2787625853,-16071.229735524968,492108.09779699927,58179.2983898052,326913.1495909659,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e5_2,14850775B65901307765467,1,Kherson Oblast,0.0,0.0,0.0,0.0,2600.409842054751,14586.317280355659,0,0,23,UKR,0.0,0.0,0.0,0.0,492108.09779699915,-483246.6578627859,857831.650832657,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e6_0,14850775B13681962240800,1,Volyn Oblast,885.5566936839335,14815.368189289627,291.01696463602724,3441.4333548341265,0.0,0.0,212,14,7,UKR,25493.250383006925,648415.4702649575,13755.217152441852,347863.04931861605,1051425.2369091187,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e6_1,14850775B13681962240800,1,Volyn Oblast,885.5566936839334,14815.36818916975,291.01696463602724,3441.433354774522,0.0,0.0,212,14,22,UKR,25149.91305933007,616874.3177814472,13018.551871061325,343912.77524531086,1013962.2067749298,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e6_2,14850775B13681962240800,1,Volyn Oblast,0.0,103.39991391713129,0.716913336161159,320.59060158275946,2334.9957915292835,13094.551999686842,3,1,25,UKR,0.0,614.1595478937213,0.0,2805.300354932435,1013962.2067749298,14584.547891746059,819991.0646155243,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e7_0,14850775B83802928232754,1,Rivne Oblast,1094.8001119727164,7941.685177904003,0.2737272927574083,1368.0769635301226,0.0,0.0,84,9,0,UKR,1902.3122787276611,345002.4656868385,0.0,33568.550834950685,1194294.2866014722,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e7_1,14850775B83802928232754,1,Rivne Oblast,753.2962194620102,6505.158918127483,207.01192203127212,2942.323395866061,0.0,22.61805444454007,84,11,8,UKR,1845.2977143311873,296280.64369254885,14.080653093289584,71558.47903806294,1160600.528608878,0.0,341.11136676891726,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e7_2,14850775B83802928232754,1,Rivne Oblast,0.009819370347495172,378.6856703625042,509.88049619214644,2385.010316699042,1170.0250620730842,9210.84610609898,2,1,33,UKR,0.0,24300.580046521976,331.99842059782833,63268.09558596232,1160600.5286088781,509.91182126729,676970.5231050133,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e8_0,14850775B79197734087513,1,Zhytomyr Oblast,59.938396593734765,2918.5367418167757,200.99308587628255,1260.2419960999714,0.0,0.0,27,3,0,UKR,0.0,62028.34344337939,8.10540864430368,12433.61774553463,1400099.3148132034,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e8_1,14850775B79197734087513,1,Zhytomyr Oblast,59.938396593734765,2918.5367418167743,203.02927644595357,1976.3188851476666,0.0,0.0,27,4,0,UKR,0.0,54764.94503491241,9.49846542533487,11497.010611049602,1204524.6750288627,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e8_2,14850775B79197734087513,1,Zhytomyr Oblast,0.0,0.0,0.0,0.0,3762.5939239736313,16963.623360397043,0,0,25,UKR,0.0,0.0,0.0,0.0,1204524.675028863,2117.444967369883,814770.9485644097,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e9_0,14850775B37539954297462,1,Kyiv Oblast,84.0820885291798,7053.17923976192,21.375160483643413,3308.094356617956,0.0,0.0,40,12,0,UKR,749.642107301335,464376.5938453819,0.0,395657.6908175665,1855694.9288360158,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e9_1,14850775B37539954297462,1,Kyiv Oblast,84.0820885291798,6875.747668274842,2244.6879358713422,4849.276627642245,0.0,0.0,40,13,1,UKR,1275.536332661411,466474.7039682103,1759.557335256681,355061.7802002128,1701707.4181789774,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e9_2,14850775B37539954297462,1,Kyiv Oblast,0.0,0.0,77.03655922094396,1142.2999720061925,2697.2549606947305,15331.003231096329,0,1,31,UKR,0.0,0.0,42.16038521532262,10379.672176361577,1701707.4181789765,5060.267898426659,1339840.7394605472,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ea_0,14850775B55286662261645,1,Chernihiv Oblast,554.2333560690357,18856.155960740492,92.27788620907813,10930.373056809995,0.0,0.0,256,39,0,UKR,1348.1199822053313,536412.7744121368,141.84359721839428,702551.9591789932,1260206.8341671277,0.0,0.0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ea_1,14850775B55286662261645,1,Chernihiv Oblast,550.6782959552555,18732.377785487253,92.50424984367018,11068.646775500009,0.0,0.0,257,40,1,UKR,1082.8633693060838,410680.5296956032,105.92503379657865,559502.1558341644,986547.0278263395,0.0,0.0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
