system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
12653393B40111500734429_0,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,774682.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40111500734429_1,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1785254.125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40111500734429_2,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1785254.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40111500734429_3,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1785254.125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_0,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,224600.71875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_1,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,412934.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_2,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,412934.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_3,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,412934.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_0,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,257050.453125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_1,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,510951.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_2,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,510951.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_3,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,510951.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_0,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,331928.8125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_1,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,662925.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_2,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,662925.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_3,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,662925.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B29313712249365_0,12653393B29313712249365,1,Ghanzi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1583432.625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
