system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
26408823B1629995979425_0,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,434250.125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B1629995979425_1,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,446556.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B1629995979425_2,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,446556.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B1629995979425_3,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,446556.625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_0,26408823B75281746675067,1,Benguela,545.22052001953125,1933.37109375,0,0,0,0,2,0,0,AGO,2923.385009765625,36978.34375,0,0,1803820.5,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_1,26408823B75281746675067,1,Benguela,545.22052001953125,1933.37109375,0,0,0,0,2,0,0,AGO,4955.14404296875,50332.03125,0,0,2434468.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_2,26408823B75281746675067,1,Benguela,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,2434468.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_3,26408823B75281746675067,1,Benguela,545.22052001953125,1933.37109375,0,0,0,0,2,0,0,AGO,4955.14404296875,50332.03125,0,0,2434468.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B27508642812365_0,26408823B27508642812365,1,Bié,1483.56298828125,3177.71337890625,0,0,0,0,1,0,0,AGO,11943.224609375,21225.958984375,0,0,1545864.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B27508642812365_1,26408823B27508642812365,1,Bié,1483.56298828125,3177.71337890625,0,0,0,0,1,0,0,AGO,6319.1591796875,18454.6484375,0,0,1666582.125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B27508642812365_2,26408823B27508642812365,1,Bié,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,1666582.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B27508642812365_3,26408823B27508642812365,1,Bié,1483.56298828125,3177.71337890625,0,0,0,0,1,0,0,AGO,6319.1591796875,18454.6484375,0,0,1666582.125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B25821416016710_0,26408823B25821416016710,1,Cabinda,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,181137.4375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B25821416016710_1,26408823B25821416016710,1,Cabinda,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,1255720.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B25821416016710_2,26408823B25821416016710,1,Cabinda,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,1255720.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B25821416016710_3,26408823B25821416016710,1,Cabinda,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,1255720.625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B93569072225888_0,26408823B93569072225888,1,Cunene,0,0,5221.25439453125,2826.506591796875,0,0,0,2,0,AGO,0,0,10770.3857421875,22445.35546875,410615.09375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B93569072225888_1,26408823B93569072225888,1,Cunene,0,0,5221.25439453125,2826.506591796875,0,0,0,2,0,AGO,0,0,30480.93359375,80944.21875,1438704,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B93569072225888_2,26408823B93569072225888,1,Cunene,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,1438704,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B93569072225888_3,26408823B93569072225888,1,Cunene,0,0,5221.25439453125,2826.506591796875,0,0,0,2,0,AGO,0,0,30480.93359375,80944.21875,1438704,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
