system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
26408823B1629995979425_0,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,585702.625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B1629995979425_1,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,783915.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B1629995979425_2,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,783915.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B1629995979425_3,26408823B1629995979425,1,Bengo,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,783915.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_0,26408823B75281746675067,1,Benguela,545.02044677734375,1928.819580078125,0,0,0,0,2,0,0,AGO,18106.380859375,75142.2734375,0,0,2156765.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_1,26408823B75281746675067,1,Benguela,545.02044677734375,1928.819580078125,0,0,0,0,2,0,0,AGO,7723.98583984375,45035.3125,0,0,1967804.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_2,26408823B75281746675067,1,Benguela,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,1967804.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B75281746675067_3,26408823B75281746675067,1,Benguela,545.02044677734375,1928.819580078125,0,0,0,0,2,0,0,AGO,7723.98583984375,45035.3125,0,0,1967804.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B27508642812365_0,26408823B27508642812365,1,Bié,1483.5123291015625,3167.32080078125,0,0,0,0,1,0,0,AGO,8794.4306640625,49224.08984375,0,0,2233978.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B27508642812365_1,26408823B27508642812365,1,Bié,1483.5123291015625,3167.32080078125,0,0,0,0,1,0,0,AGO,5360.5458984375,29239.19140625,0,0,1074448.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26408823B27508642812365_2,26408823B27508642812365,1,Bié,0,0,0,0,0,0,0,0,0,AGO,0,0,0,0,1074448.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
