system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
92566538B14190085014946_0,92566538B14190085014946,1,Centre,0,0,0,0,303.8774719238281,703.77520751953125,0,0,2,BFA,0,0,0,0,1218593.5,4275.60986328125,879019.6875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B14190085014946_1,92566538B14190085014946,1,Centre,0,0,0,0,371.7078857421875,1050.2965087890625,0,0,4,BFA,0,0,0,0,3312326.5,15725.4375,2748754.75,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B14190085014946_2,92566538B14190085014946,1,Centre,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,3312326.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B14190085014946_3,92566538B14190085014946,1,Centre,0,0,0,0,371.7078857421875,1050.2965087890625,0,0,4,BFA,0,0,0,0,3312326.5,15725.4375,2748754.75,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_0,92566538B5930876876994,1,Boucle du Mouhoun,0,0,617.51641845703125,939.1473388671875,1135.2188720703125,4600.19921875,0,1,21,BFA,0,0,210.66195678710938,66818.6328125,1304377.375,2187.162841796875,165879.453125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_1,92566538B5930876876994,1,Boucle du Mouhoun,654.43695068359375,2186.43896484375,617.51641845703125,939.1473388671875,714.91326904296875,3771.605712890625,1,1,23,BFA,6604.658203125,122866.7734375,390.775390625,107644,1912521.25,3081.968994140625,213931.03125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_2,92566538B5930876876994,1,Boucle du Mouhoun,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1912521.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_3,92566538B5930876876994,1,Boucle du Mouhoun,654.43695068359375,2186.43896484375,617.51641845703125,939.1473388671875,714.91326904296875,3771.605712890625,1,1,23,BFA,6604.658203125,122866.7734375,390.775390625,107644,1912521.25,3081.968994140625,213931.03125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_0,92566538B65696039363280,1,Cascades,0,0,0,0,1808.990234375,8038.62548828125,0,0,14,BFA,0,0,0,0,408245.75,3740.55078125,198784.546875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_1,92566538B65696039363280,1,Cascades,1207.7095947265625,1012.68603515625,0,0,1819.887451171875,8165.93017578125,1,0,17,BFA,95.76566314697266,23591.705078125,0,0,1014349,13308.0859375,531364.4375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_2,92566538B65696039363280,1,Cascades,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1014349,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_3,92566538B65696039363280,1,Cascades,1207.7095947265625,1012.68603515625,0,0,1819.887451171875,8165.93017578125,1,0,17,BFA,95.76566314697266,23591.705078125,0,0,1014349,13308.0859375,531364.4375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_0,92566538B37033565003987,1,Centre-Est,3.737380320671946e-4,460.00830078125,0,10.459612846374512,25.400583267211914,977.852783203125,1,1,4,BFA,0,3966.776611328125,0,26.62795066833496,975981.75,190.49163818359375,40903.12890625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_1,92566538B37033565003987,1,Centre-Est,3.737380320671946e-4,460.00830078125,0,10.459612846374512,335.00494384765625,2743.9091796875,1,1,10,BFA,0,5170.8330078125,0,12.195356369018555,1665072.125,11467.2099609375,293855.21875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_2,92566538B37033565003987,1,Centre-Est,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1665072.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_3,92566538B37033565003987,1,Centre-Est,3.737380320671946e-4,460.00830078125,0,10.459612846374512,335.00494384765625,2743.9091796875,1,1,10,BFA,0,5170.8330078125,0,12.195356369018555,1665072.125,11467.2099609375,293855.21875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
