system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
22816118B12510721755829_0,22816118B12510721755829,1,Moheli,0,0,0,0,11.668975830078125,100.0699462890625,0,0,1,COM,0,0,0,0,223594.875,2574.515625,175415.703125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B12510721755829_1,22816118B12510721755829,1,Moheli,0,0,0,0,171.9266357421875,32.81935119628906,0,0,2,COM,0,0,0,0,324428.3125,86515.84375,237912.484375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B12510721755829_2,22816118B12510721755829,1,Moheli,0,0,0,0,0,0,0,0,0,COM,0,0,0,0,324428.3125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B12510721755829_3,22816118B12510721755829,1,Moheli,0,0,0,0,171.9266357421875,32.81935119628906,0,0,2,COM,0,0,0,0,324428.3125,86515.84375,237912.484375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B92166148047088_0,22816118B92166148047088,1,Anjouan,0,0,0,0,0,0,0,0,0,COM,0,0,0,0,32101.9609375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B92166148047088_1,22816118B92166148047088,1,Anjouan,0,0,0,0,85.19084930419922,311.8229064941406,0,0,2,COM,0,0,0,0,52700.984375,345.536376953125,50990.1171875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B92166148047088_2,22816118B92166148047088,1,Anjouan,0,0,0,0,0,0,0,0,0,COM,0,0,0,0,52700.984375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B92166148047088_3,22816118B92166148047088,1,Anjouan,0,0,0,0,85.19084930419922,311.8229064941406,0,0,2,COM,0,0,0,0,52700.984375,345.536376953125,50990.1171875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B95538827312271_0,22816118B95538827312271,1,Grande Comore,0,0,0,0,0,0,0,0,0,COM,0,0,0,0,273399.84375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B95538827312271_1,22816118B95538827312271,1,Grande Comore,0,0,0,0,272.0479736328125,662.81854248046875,0,0,3,COM,0,0,0,0,417097.46875,7095.87060546875,400173.28125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B95538827312271_2,22816118B95538827312271,1,Grande Comore,0,0,0,0,0,0,0,0,0,COM,0,0,0,0,417097.46875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
22816118B95538827312271_3,22816118B95538827312271,1,Grande Comore,0,0,0,0,272.0479736328125,662.81854248046875,0,0,3,COM,0,0,0,0,417097.46875,7095.87060546875,400173.28125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
