system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
25444519B7681288134121_0,25444519B7681288134121,1,Ali Sabieh,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,67991.21875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B7681288134121_1,25444519B7681288134121,1,Ali Sabieh,0,0,0,0,180.11256408691406,860.2098388671875,0,0,2,DJI,0,0,0,0,103373.5,209.4647979736328,12197.1630859375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B7681288134121_2,25444519B7681288134121,1,Ali Sabieh,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,103373.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B7681288134121_3,25444519B7681288134121,1,Ali Sabieh,0,0,0,0,180.11256408691406,860.2098388671875,0,0,2,DJI,0,0,0,0,103373.5,209.4647979736328,12197.1630859375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B1274960689098_0,25444519B1274960689098,1,Arta,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,41899.44921875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B1274960689098_1,25444519B1274960689098,1,Arta,0,0,0,0,21.030643463134766,322.41705322265625,0,0,1,DJI,0,0,0,0,37447.91796875,4.513612270355225,755.91082763671875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B1274960689098_2,25444519B1274960689098,1,Arta,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,37447.91796875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B1274960689098_3,25444519B1274960689098,1,Arta,0,0,0,0,21.030643463134766,322.41705322265625,0,0,1,DJI,0,0,0,0,37447.91796875,4.513612270355225,755.91082763671875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B52373268249817_0,25444519B52373268249817,1,Dikhil,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,91880.0234375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B52373268249817_1,25444519B52373268249817,1,Dikhil,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,81233.1171875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B52373268249817_2,25444519B52373268249817,1,Dikhil,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,81233.1171875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B52373268249817_3,25444519B52373268249817,1,Dikhil,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,81233.1171875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B6046592555533_0,25444519B6046592555533,1,Tadjourah,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,61378.6953125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B6046592555533_1,25444519B6046592555533,1,Tadjourah,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,111781.90625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B6046592555533_2,25444519B6046592555533,1,Tadjourah,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,111781.90625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B6046592555533_3,25444519B6046592555533,1,Tadjourah,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,111781.90625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B8926294731251_0,25444519B8926294731251,1,Obock,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,14483.828125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B8926294731251_1,25444519B8926294731251,1,Obock,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,20877.56640625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B8926294731251_2,25444519B8926294731251,1,Obock,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,20877.56640625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B8926294731251_3,25444519B8926294731251,1,Obock,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,20877.56640625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B34443348585704_0,25444519B34443348585704,1,Djibouti,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,437730.5625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
25444519B34443348585704_1,25444519B34443348585704,1,Djibouti,0,0,0,0,0,0,0,0,0,DJI,0,0,0,0,682249.6875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
