system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
76643164B96925829526723_0,76643164B96925829526723,1,Bissau,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,256807.21875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B96925829526723_1,76643164B96925829526723,1,Bissau,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,510480.40625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B96925829526723_2,76643164B96925829526723,1,Bissau,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,510480.40625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B96925829526723_3,76643164B96925829526723,1,Bissau,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,510480.40625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B84174472060432_0,76643164B84174472060432,1,Bafatá,0,0,0,0,428.57196044921875,1269.528076171875,0,0,3,GNB,0,0,0,0,172367.453125,3712.43408203125,18182.03125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B84174472060432_1,76643164B84174472060432,1,Bafatá,0,0,0,0,428.57196044921875,1269.528076171875,0,0,3,GNB,0,0,0,0,248606,6072.9599609375,27823.025390625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B84174472060432_2,76643164B84174472060432,1,Bafatá,0,0,0,0,358.80596923828125,1477.2509765625,0,0,3,GNB,0,0,0,0,248606,6201.341796875,30778.345703125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B84174472060432_3,76643164B84174472060432,1,Bafatá,0,0,0,0,785.6156005859375,1432.51123046875,0,0,6,GNB,0,0,0,0,248606,12243.0068359375,35116.56640625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B78535055467734_0,76643164B78535055467734,1,Biombo,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,79385.8671875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B78535055467734_1,76643164B78535055467734,1,Biombo,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,144490.078125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B78535055467734_2,76643164B78535055467734,1,Biombo,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,144490.078125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B78535055467734_3,76643164B78535055467734,1,Biombo,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,144490.078125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B18917431809987_0,76643164B18917431809987,1,Bolama,0,0,271.218994140625,81.24992370605469,0,37.740562438964844,0,1,2,GNB,0,0,3347.00732421875,3345.473388671875,26790.61328125,0,656.8896484375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B18917431809987_1,76643164B18917431809987,1,Bolama,0,0,271.218994140625,81.24992370605469,415.153076171875,103.17601776123047,0,1,4,GNB,0,0,4286.41748046875,4527.482421875,32077.310546875,12191.03515625,2951.950439453125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B18917431809987_2,76643164B18917431809987,1,Bolama,0,0,0,0,0,37.467132568359375,0,0,1,GNB,0,0,0,0,32077.310546875,0,715.031005859375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B18917431809987_3,76643164B18917431809987,1,Bolama,0,0,271.218994140625,81.24992370605469,415.153076171875,103.17601776123047,0,1,5,GNB,0,0,4286.41748046875,4527.482421875,32077.310546875,12191.03515625,2951.950439453125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B20603668674672_0,76643164B20603668674672,1,Cacheu,0,0,0,0,683.12451171875,1294.9285888671875,0,0,2,GNB,0,0,0,0,161843.65625,14928.3134765625,45160.71484375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B20603668674672_1,76643164B20603668674672,1,Cacheu,0,0,0,0,683.12451171875,1294.9285888671875,0,0,2,GNB,0,0,0,0,211100.78125,17286.94140625,57459.4921875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B20603668674672_2,76643164B20603668674672,1,Cacheu,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,211100.78125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B20603668674672_3,76643164B20603668674672,1,Cacheu,0,0,0,0,683.12451171875,1294.9285888671875,0,0,2,GNB,0,0,0,0,211100.78125,17286.94140625,57459.4921875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B38080973404583_0,76643164B38080973404583,1,Gabu,0,0,0,0,1174.542724609375,1162.2901611328125,0,0,1,GNB,0,0,0,0,164466.796875,13737.931640625,18445.19140625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B38080973404583_1,76643164B38080973404583,1,Gabu,0,0,0,0,1323.73095703125,1544.2093505859375,0,0,2,GNB,0,0,0,0,265843.1875,30192.2578125,38087.51171875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B38080973404583_2,76643164B38080973404583,1,Gabu,0,0,0,0,1574.948974609375,1988.355224609375,0,0,4,GNB,0,0,0,0,265843.1875,19462.298828125,40127.21875,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B38080973404583_3,76643164B38080973404583,1,Gabu,0,0,0,0,2750.809814453125,1666.4317626953125,0,0,6,GNB,0,0,0,0,265843.1875,48774.9765625,45002.94140625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B92913079273182_0,76643164B92913079273182,1,Oio,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,181085.625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B92913079273182_1,76643164B92913079273182,1,Oio,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,261992.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B92913079273182_2,76643164B92913079273182,1,Oio,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,261992.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B92913079273182_3,76643164B92913079273182,1,Oio,0,0,0,0,0,0,0,0,0,GNB,0,0,0,0,261992.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B25325276017448_0,76643164B25325276017448,1,Quinara,0,0,0,0,666.0196533203125,795.83782958984375,0,0,2,GNB,0,0,0,0,45857.28515625,8247.6806640625,13000.3037109375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B25325276017448_1,76643164B25325276017448,1,Quinara,0,0,0,0,1344.200439453125,1060.366455078125,0,0,4,GNB,0,0,0,0,69136.875,36982.6015625,26284.806640625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B25325276017448_2,76643164B25325276017448,1,Quinara,0,0,0,0,662.47161865234375,793.83319091796875,0,0,2,GNB,0,0,0,0,69136.875,16079.146484375,21405.173828125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B25325276017448_3,76643164B25325276017448,1,Quinara,0,0,0,0,1344.200439453125,1060.366455078125,0,0,6,GNB,0,0,0,0,69136.875,36982.6015625,26284.806640625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B14801811690770_0,76643164B14801811690770,1,Tombali,0,0,0,0,0.5940190553665161,383.6976623535156,0,0,3,GNB,0,0,0,0,77504.0390625,5.2797136306762695,3836.1162109375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B14801811690770_1,76643164B14801811690770,1,Tombali,0,0,0,0,1032.0279541015625,1530.052490234375,0,0,5,GNB,0,0,0,0,103104.5625,28846.7890625,50136.05078125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B14801811690770_2,76643164B14801811690770,1,Tombali,0,0,0,0,492.2807312011719,589.45269775390625,0,0,3,GNB,0,0,0,0,103104.5625,7336.6572265625,13837.734375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
76643164B14801811690770_3,76643164B14801811690770,1,Tombali,0,0,0,0,1521.1297607421875,1389.82568359375,0,0,8,GNB,0,0,0,0,103104.5625,36095.453125,50549.625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
