system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
10453824B77004064719389_0,10453824B77004064719389,1,Gracias a Dios,5467.951171875,1638.4390869140625,0,0,0,0,2,0,1,HND,13967.8212890625,13720.5263671875,0,0,63081.48828125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B77004064719389_1,10453824B77004064719389,1,Gracias a Dios,5467.951171875,1638.4390869140625,0,0,0,0,2,0,1,HND,17933.916015625,16700.71484375,0,0,96281.1875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B77004064719389_2,10453824B77004064719389,1,Gracias a Dios,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,96281.1875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B77004064719389_3,10453824B77004064719389,1,Gracias a Dios,5467.951171875,1638.4390869140625,0,0,0,0,2,0,1,HND,17933.916015625,16700.71484375,0,0,96281.1875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_0,10453824B39335940856231,1,Bay Islands,27.03945541381836,26.948402404785156,0,0,0,0,1,0,0,HND,10.775294303894043,2498.7734375,0,0,31280.798828125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_1,10453824B39335940856231,1,Bay Islands,36.20514678955078,57.497711181640625,4.999281883239746,47.100345611572266,0,4.557753562927246,2,1,2,HND,82.96388244628906,7396.45751953125,15.760748863220215,10533.7109375,69843.296875,0,100.88917541503906,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_2,10453824B39335940856231,1,Bay Islands,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,69843.296875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_3,10453824B39335940856231,1,Bay Islands,36.20514678955078,57.497711181640625,4.999281883239746,47.100345611572266,0,4.557753562927246,2,1,2,HND,82.96388244628906,7396.45751953125,15.760748863220215,10533.7109375,69843.296875,0,100.88917541503906,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_0,10453824B23263650177640,1,Choluteca,259.9757385253906,1310.54833984375,0,0,0,0,9,0,0,HND,8495.4951171875,132183.34375,0,0,398106.40625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_1,10453824B23263650177640,1,Choluteca,450.6222229003906,1654.99853515625,0,0,0,84.75078582763672,10,0,1,HND,13599.1533203125,186929.5,0,0,455005.8125,0,105370.296875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_2,10453824B23263650177640,1,Choluteca,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,455005.8125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_3,10453824B23263650177640,1,Choluteca,450.6222229003906,1654.99853515625,0,0,0,84.75078582763672,10,0,1,HND,13599.1533203125,186929.5,0,0,455005.8125,0,105370.296875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_0,10453824B27729717308702,1,Colón,1950.06787109375,798.8548583984375,0,0,0,3.1392760276794434,2,0,1,HND,2557.67919921875,7779.984375,0,0,250506.59375,0,3.1509757041931152,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_1,10453824B27729717308702,1,Colón,1964.0584716796875,956.5130615234375,633.51251220703125,1244.810791015625,0,87.66838836669922,4,3,3,HND,2494.068603515625,13355.5302734375,3027.965576171875,173111.671875,345734.21875,0,3830.3359375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_2,10453824B27729717308702,1,Colón,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,345734.21875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_3,10453824B27729717308702,1,Colón,1964.0584716796875,956.5130615234375,633.51251220703125,1244.810791015625,0,87.66838836669922,4,3,3,HND,2494.068603515625,13355.5302734375,3027.965576171875,173111.671875,345734.21875,0,3830.3359375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
