system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
10453824B77004064719389_0,10453824B77004064719389,1,Gracias a Dios,5451.64892578125,1634.39599609375,0,0,0,0,2,0,1,HND,13971.61328125,10241.0029296875,0,0,59830.55078125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B77004064719389_1,10453824B77004064719389,1,Gracias a Dios,5451.64892578125,1634.39599609375,0,0,0,0,2,0,1,HND,18092.66796875,13191.91015625,0,0,100561.5234375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B77004064719389_2,10453824B77004064719389,1,Gracias a Dios,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,100561.5234375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B77004064719389_3,10453824B77004064719389,1,Gracias a Dios,5451.64892578125,1634.39599609375,0,0,0,0,2,0,1,HND,18092.66796875,13191.91015625,0,0,100561.5234375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_0,10453824B39335940856231,1,Bay Islands,27.03945541381836,26.948402404785156,0,0,0,0,1,0,0,HND,1959.596923828125,2343.425537109375,0,0,32840.33203125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_1,10453824B39335940856231,1,Bay Islands,36.20514678955078,57.41703414916992,4.999281883239746,47.094173431396484,0,4.557754039764404,2,1,2,HND,1698.0780029296875,7549.38525390625,219.4374237060547,10189.6357421875,74510.484375,0,89.765716552734375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_2,10453824B39335940856231,1,Bay Islands,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,74510.484375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B39335940856231_3,10453824B39335940856231,1,Bay Islands,36.20514678955078,57.41703414916992,4.999281883239746,47.094173431396484,0,4.557754039764404,2,1,2,HND,1698.0780029296875,7549.38525390625,219.4374237060547,10189.6357421875,74510.484375,0,89.765716552734375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_0,10453824B23263650177640,1,Choluteca,253.6109619140625,1302.927490234375,0,0,0,0,9,0,0,HND,25727.9921875,144003.515625,0,0,371361.53125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_1,10453824B23263650177640,1,Choluteca,442.83038330078125,1646.3719482421875,0,0,0,84.58179473876953,10,0,1,HND,31162.32421875,206378.3125,0,0,453276.53125,0,46186.578125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_2,10453824B23263650177640,1,Choluteca,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,453276.53125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23263650177640_3,10453824B23263650177640,1,Choluteca,442.83038330078125,1646.3719482421875,0,0,0,84.58179473876953,10,0,1,HND,31162.32421875,206378.3125,0,0,453276.53125,0,46186.578125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_0,10453824B27729717308702,1,Colón,1949.9779052734375,798.5413818359375,0,0,0,3.1392760276794434,2,0,1,HND,4080.994873046875,6191.83740234375,0,0,238734.78125,0,8.841312408447266,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_1,10453824B27729717308702,1,Colón,1963.91650390625,955.431640625,633.51251220703125,1244.3480224609375,0,87.605377197265625,4,3,3,HND,5698.7783203125,10896.9833984375,12133.5185546875,170560.15625,352243.59375,0,4122.51220703125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_2,10453824B27729717308702,1,Colón,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,352243.59375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27729717308702_3,10453824B27729717308702,1,Colón,1963.91650390625,955.431640625,633.51251220703125,1244.3480224609375,0,87.605377197265625,4,3,3,HND,5698.7783203125,10896.9833984375,12133.5185546875,170560.15625,352243.59375,0,4122.51220703125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B59135534570849_0,10453824B59135534570849,1,El Paraíso,443.1205139160156,1606.5018310546875,13.585270881652832,284.224365234375,0,0,3,3,0,HND,30916.6171875,99483.8984375,474.8359375,9564.5615234375,341463.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B59135534570849_1,10453824B59135534570849,1,El Paraíso,443.1205139160156,1606.5018310546875,13.585270881652832,284.224365234375,0,0,3,3,0,HND,50598.08984375,151273.578125,611.9566650390625,15147.568359375,510505.6875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B59135534570849_2,10453824B59135534570849,1,El Paraíso,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,510505.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B59135534570849_3,10453824B59135534570849,1,El Paraíso,443.1205139160156,1606.5018310546875,13.585270881652832,284.224365234375,0,0,3,3,0,HND,50598.08984375,151273.578125,611.9566650390625,15147.568359375,510505.6875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23677570544502_0,10453824B23677570544502,1,Olancho,6349.03662109375,2172.1044921875,1034.562255859375,2958.817626953125,0,0.009739883244037628,4,4,1,HND,24010.728515625,32043.73046875,13321.833984375,102297.8359375,411475.8125,0,0.08189156651496887,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23677570544502_1,10453824B23677570544502,1,Olancho,6630.91357421875,2360.716796875,1479.1971435546875,4307.8310546875,0.6403294205665588,262.50146484375,5,6,2,HND,40224.6171875,45520.21484375,19148.98828125,188640.671875,592042.625,660.6170654296875,16104.220703125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23677570544502_2,10453824B23677570544502,1,Olancho,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,592042.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B23677570544502_3,10453824B23677570544502,1,Olancho,6630.91357421875,2360.716796875,1479.1971435546875,4307.8310546875,0.6403294205665588,262.50146484375,5,6,2,HND,40224.6171875,45520.21484375,19148.98828125,188640.671875,592042.625,660.6170654296875,16104.220703125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B78724193103152_0,10453824B78724193103152,1,Valle,232.24378967285156,531.75872802734375,0,0,0,0,4,0,0,HND,10933.6044921875,49314.33203125,0,0,140886.609375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B78724193103152_1,10453824B78724193103152,1,Valle,232.24378967285156,531.75872802734375,0,0,0,0,4,0,0,HND,12575.078125,69664.2578125,0,0,178504.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B78724193103152_2,10453824B78724193103152,1,Valle,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,178504.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B78724193103152_3,10453824B78724193103152,1,Valle,232.24378967285156,531.75872802734375,0,0,0,0,4,0,0,HND,12575.078125,69664.2578125,0,0,178504.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27728388827872_0,10453824B27728388827872,1,Atlántida,45.21359634399414,127.1098403930664,1610.6064453125,1755.4935302734375,0,0,2,5,1,HND,382.8270568847656,4343.27392578125,42545.05078125,234532.21875,330207.34375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27728388827872_1,10453824B27728388827872,1,Atlántida,45.21359634399414,127.1098403930664,1910.9732666015625,1855.188720703125,0,25.1762638092041,2,6,2,HND,455.9385070800781,5291.19287109375,142142.171875,314496.6875,492533.28125,0,914.69610595703125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27728388827872_2,10453824B27728388827872,1,Atlántida,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,492533.28125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B27728388827872_3,10453824B27728388827872,1,Atlántida,45.21359634399414,127.1098403930664,1910.9732666015625,1855.188720703125,0,25.1762638092041,2,6,2,HND,455.9385070800781,5291.19287109375,142142.171875,314496.6875,492533.28125,0,914.69610595703125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B65572632187118_0,10453824B65572632187118,1,Comayagua,71.00287628173828,397.8563537597656,512.0130615234375,1711.6558837890625,0,0,3,4,0,HND,4068.56103515625,69649.734375,18691.2265625,133113.34375,340133.90625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B65572632187118_1,10453824B65572632187118,1,Comayagua,71.00287628173828,397.8563537597656,512.0130615234375,1711.6558837890625,0,155.1412811279297,4,4,1,HND,6572.13037109375,126892.4296875,29642.50390625,242351.046875,596676.6875,0,26967.158203125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B65572632187118_2,10453824B65572632187118,1,Comayagua,0,0,0,0,0,0,0,0,0,HND,0,0,0,0,596676.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B65572632187118_3,10453824B65572632187118,1,Comayagua,71.00287628173828,397.8563537597656,512.0130615234375,1711.6558837890625,0,155.1412811279297,4,4,1,HND,6572.13037109375,126892.4296875,29642.50390625,242351.046875,596676.6875,0,26967.158203125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B73363653217090_0,10453824B73363653217090,1,Copán,17.784725189208984,302.1874694824219,127.38626861572266,1024.773681640625,0,0,2,4,0,HND,651.1300048828125,20504.408203125,6028.64453125,93091.6484375,283869.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
10453824B73363653217090_1,10453824B73363653217090,1,Copán,17.784725189208984,302.1874694824219,127.38626861572266,1024.773681640625,0,0,2,4,2,HND,871.68408203125,34528.5,6653.83203125,129097.71875,433914.90625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
