system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
49955354B91988968603803_0,49955354B91988968603803,1,Département de l'Ouest,0,4.986157364328392e-6,31.590721130371094,422.59619140625,0,0,1,1,0,HTI,0,5.788900889456272e-4,2979.35986328125,57612.09765625,2872392.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91988968603803_1,49955354B91988968603803,1,Département de l'Ouest,0,4.986157364328392e-6,285.983154296875,1600.951904296875,0,0,2,8,0,HTI,0,0.001123800640925765,58284.55859375,3812111,5815631,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91988968603803_2,49955354B91988968603803,1,Département de l'Ouest,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,5815631,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91988968603803_3,49955354B91988968603803,1,Département de l'Ouest,0,4.986157364328392e-6,285.983154296875,1600.951904296875,0,0,2,8,0,HTI,0,0.001123800640925765,58284.55859375,3812111,5815631,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_0,49955354B57760347032633,1,Département de la Grande-Anse,0,0,43.358951568603516,454.09307861328125,0,0,0,1,0,HTI,0,0,4724.08642578125,48926.34765625,332060.3125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_1,49955354B57760347032633,1,Département de la Grande-Anse,215.7981719970703,283.9912414550781,67.92460632324219,774.6048583984375,0,0,2,3,0,HTI,46972.7109375,131731.265625,6464.5458984375,155115.765625,620427.8125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_2,49955354B57760347032633,1,Département de la Grande-Anse,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,620427.8125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_3,49955354B57760347032633,1,Département de la Grande-Anse,215.7981719970703,283.9912414550781,67.92460632324219,774.6048583984375,0,0,2,3,0,HTI,46972.7109375,131731.265625,6464.5458984375,155115.765625,620427.8125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_0,49955354B18164660475406,1,Département des Nippes,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,239848.765625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_1,49955354B18164660475406,1,Département des Nippes,204.70950317382812,359.2384033203125,0,0,0,0,2,0,0,HTI,46254.80859375,113721.7421875,0,0,450342.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_2,49955354B18164660475406,1,Département des Nippes,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,450342.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_3,49955354B18164660475406,1,Département des Nippes,204.70950317382812,359.2384033203125,0,0,0,0,2,0,0,HTI,46254.80859375,113721.7421875,0,0,450342.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_0,49955354B87386787470583,1,Département du Sud-Est,0,0,82.60289001464844,499.4743347167969,0,0,0,1,0,HTI,0,0,12430.703125,99646.15625,436748.40625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_1,49955354B87386787470583,1,Département du Sud-Est,7.270473957061768,78.12220001220703,133.65493774414062,807.11383056640625,0,0,1,3,0,HTI,1225.2366943359375,11155.9013671875,28247.68359375,290022.09375,739972.5625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_2,49955354B87386787470583,1,Département du Sud-Est,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,739972.5625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_3,49955354B87386787470583,1,Département du Sud-Est,7.270473957061768,78.12220001220703,133.65493774414062,807.11383056640625,0,0,1,3,0,HTI,1225.2366943359375,11155.9013671875,28247.68359375,290022.09375,739972.5625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_0,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,463016.1875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_1,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,982420.5625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_2,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,982420.5625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_3,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,982420.5625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B70742132222307_0,49955354B70742132222307,1,Département du Nord,0,0,25.25229263305664,506.14837646484375,0,0,0,1,0,HTI,0,0,7859.52783203125,115251.296875,751518.3125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B70742132222307_1,49955354B70742132222307,1,Département du Nord,49.70612716674805,131.7452850341797,25.25229263305664,506.14837646484375,0,0,1,1,0,HTI,16744.841796875,380489.875,12980.9404296875,200401.046875,1355296.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B70742132222307_2,49955354B70742132222307,1,Département du Nord,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,1355296.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B70742132222307_3,49955354B70742132222307,1,Département du Nord,49.70612716674805,131.7452850341797,25.25229263305664,506.14837646484375,0,0,1,1,0,HTI,16744.841796875,380489.875,12980.9404296875,200401.046875,1355296.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B96088034562700_0,49955354B96088034562700,1,Nord-Est Department,0,0,0,5.518026828765869,0,0,0,1,0,HTI,0,0,0,858.09429931640625,276637.59375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B96088034562700_1,49955354B96088034562700,1,Nord-Est Department,159.8282012939453,378.42486572265625,0,5.518026828765869,0,0,1,1,0,HTI,31086.31640625,124710.4140625,0,1213.7388916015625,445518.6875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B96088034562700_2,49955354B96088034562700,1,Nord-Est Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,445518.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B96088034562700_3,49955354B96088034562700,1,Nord-Est Department,159.8282012939453,378.42486572265625,0,5.518026828765869,0,0,1,1,0,HTI,31086.31640625,124710.4140625,0,1213.7388916015625,445518.6875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B32984500563227_0,49955354B32984500563227,1,Centre Department,271.4483337402344,885.5440673828125,0,0,0,0,1,0,0,HTI,38021.015625,175026.671875,0,0,533204.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B32984500563227_1,49955354B32984500563227,1,Centre Department,271.4483337402344,849.9876708984375,6.731663703918457,301.6064147949219,0,0,1,2,0,HTI,60767.984375,294993.9375,1942.9896240234375,73910.875,935102.1875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B32984500563227_2,49955354B32984500563227,1,Centre Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,935102.1875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B32984500563227_3,49955354B32984500563227,1,Centre Department,271.4483337402344,849.9876708984375,6.731663703918457,301.6064147949219,0,0,1,2,0,HTI,60767.984375,294993.9375,1942.9896240234375,73910.875,935102.1875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B56880358607712_0,49955354B56880358607712,1,Artibonite Department,0,0,0,32.802467346191406,0,0,0,1,0,HTI,0,0,0,5495.59423828125,1168969.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B56880358607712_1,49955354B56880358607712,1,Artibonite Department,0,0,109.66606140136719,707.49755859375,0,0,0,3,0,HTI,0,0,29537.900390625,409995.1875,2287958.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B56880358607712_2,49955354B56880358607712,1,Artibonite Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,2287958.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B56880358607712_3,49955354B56880358607712,1,Artibonite Department,0,0,109.66606140136719,707.49755859375,0,0,0,3,0,HTI,0,0,29537.900390625,409995.1875,2287958.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B58932724679351_0,49955354B58932724679351,1,Sud Department,0,0,88.00179290771484,514.8895263671875,0,0,0,1,0,HTI,0,0,8326.0009765625,92731.8671875,570415.5625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B58932724679351_1,49955354B58932724679351,1,Sud Department,124.54840087890625,1152.1689453125,90.1136703491211,679.62603759765625,0,0,3,4,0,HTI,39361.3984375,506921.5625,10907.8017578125,191876.078125,871436.5625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B58932724679351_2,49955354B58932724679351,1,Sud Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,871436.5625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B58932724679351_3,49955354B58932724679351,1,Sud Department,124.54840087890625,1152.1689453125,90.1136703491211,679.62603759765625,0,0,3,4,0,HTI,39361.3984375,506921.5625,10907.8017578125,191876.078125,871436.5625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
