system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
70788906B89532291078161_0,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,0,0,250.5538787841797,1101.5267333984375,0,0,5,MAR,0,0,0,0,8237.4609375,505.3143615722656,516.90118408203125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B89532291078161_1,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,1523.3607177734375,1231.9417724609375,17.002641677856445,206.19264221191406,0,1,8,MAR,0,0,1757.7088623046875,1088.298828125,12955.4287109375,42.4225959777832,107.76649475097656,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B89532291078161_2,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,12955.4287109375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B89532291078161_3,70788906B89532291078161,1,Laâyoune-Sakia El Hamra,0,0,1523.3607177734375,1231.9417724609375,17.002641677856445,206.19264221191406,0,1,8,MAR,0,0,1757.7088623046875,1088.298828125,12955.4287109375,42.4225959777832,107.76649475097656,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_0,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,0,0,331.57489013671875,4796.02880859375,0,0,18,MAR,0,0,0,0,2864111.25,27717.16015625,1467244.375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_1,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,873.959228515625,2136.42236328125,467.478515625,4977.1005859375,0,2,24,MAR,0,0,44930.1328125,324801.03125,3830530.5,69415.4453125,2387492.75,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_2,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,3830530.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B66040098455254_3,70788906B66040098455254,1,Tangier-Tetouan-Al Hoceima,0,0,873.959228515625,2136.42236328125,467.478515625,4977.1005859375,0,2,24,MAR,0,0,44930.1328125,324801.03125,3830530.5,69415.4453125,2387492.75,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_0,70788906B40056535803135,1,Oriental,0,0,0,0,318.73223876953125,2948.40966796875,0,0,8,MAR,0,0,0,0,2004531.75,5476.12890625,294736.125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_1,70788906B40056535803135,1,Oriental,0,0,0,0,355.90423583984375,3370.037109375,0,0,11,MAR,0,0,0,0,2406925.5,11028.748046875,413294.84375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_2,70788906B40056535803135,1,Oriental,0,0,0,0,0,0,0,0,0,MAR,0,0,0,0,2406925.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
70788906B40056535803135_3,70788906B40056535803135,1,Oriental,0,0,0,0,355.90423583984375,3370.037109375,0,0,11,MAR,0,0,0,0,2406925.5,11028.748046875,413294.84375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
