system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
27540722B39676432794686_0,27540722B39676432794686,1,Diana,1635.9534912109375,2003.8521728515625,2018.1708984375,3353.48828125,0,0,3,3,0,MDG,10724.435546875,43379.4296875,2253.09326171875,92772.6796875,433736.34375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B39676432794686_1,27540722B39676432794686,1,Diana,1635.9534912109375,2049.333251953125,2018.1708984375,3425.548583984375,0,0,4,4,0,MDG,20730.421875,91991.671875,5220.9443359375,258900.640625,1045754.0625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B39676432794686_2,27540722B39676432794686,1,Diana,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,1045754.0625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B39676432794686_3,27540722B39676432794686,1,Diana,1635.9534912109375,2049.333251953125,2018.1708984375,3425.548583984375,0,0,4,4,0,MDG,20730.421875,91991.671875,5220.9443359375,258900.640625,1045754.0625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_0,27540722B96967449701393,1,Sava,276.9205627441406,851.2611083984375,3202.97509765625,3141.272216796875,0,0,2,3,0,MDG,769.61688232421875,49180.4765625,21050.365234375,173925.9375,754677.0625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_1,27540722B96967449701393,1,Sava,276.9205627441406,851.2611083984375,3202.97509765625,3141.272216796875,0,20.35317611694336,2,3,1,MDG,1338.4429931640625,67576.4375,27435.193359375,233023.890625,1081412,0,5269.33251953125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_2,27540722B96967449701393,1,Sava,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,1081412,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B96967449701393_3,27540722B96967449701393,1,Sava,276.9205627441406,851.2611083984375,3202.97509765625,3141.272216796875,0,20.35317611694336,2,3,1,MDG,1338.4429931640625,67576.4375,27435.193359375,233023.890625,1081412,0,5269.33251953125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_0,27540722B29762949035073,1,Analanjirofo,929.7525634765625,1673.9034423828125,829.7315673828125,1516.37353515625,0,0,2,2,0,MDG,2995.8720703125,46152.27734375,5975.8955078125,59622.3984375,806256.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_1,27540722B29762949035073,1,Analanjirofo,936.58489990234375,2360.703857421875,829.7315673828125,1516.37353515625,222.47711181640625,816.01788330078125,4,2,5,MDG,3505.772705078125,127584.640625,9510.17578125,102742.59375,1179669.125,76.12750244140625,79151.6484375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_2,27540722B29762949035073,1,Analanjirofo,0,0,0,0,0,0,0,0,0,MDG,0,0,0,0,1179669.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
27540722B29762949035073_3,27540722B29762949035073,1,Analanjirofo,936.58489990234375,2360.703857421875,829.7315673828125,1516.37353515625,222.47711181640625,816.01788330078125,4,2,5,MDG,3505.772705078125,127584.640625,9510.17578125,102742.59375,1179669.125,76.12750244140625,79151.6484375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
