system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
20573499B9779674920937_0,20573499B9779674920937,1,Ayeyarwady,126.68408203125,731.8724365234375,0,0,0,0,2,0,0,MMR,10629.1259765625,130041.1640625,0,0,7084162,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B9779674920937_1,20573499B9779674920937,1,Ayeyarwady,133.4569549560547,1848.045166015625,0,0,0.03803198039531708,325.4766845703125,3,0,1,MMR,6706.89599609375,89903.921875,0,0,5525984,5.4390482902526855,42044.80078125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B9779674920937_2,20573499B9779674920937,1,Ayeyarwady,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,5525984,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B9779674920937_3,20573499B9779674920937,1,Ayeyarwady,133.4569549560547,1848.045166015625,0,0,0.03803198039531708,325.4766845703125,3,0,1,MMR,6706.89599609375,89903.921875,0,0,5525984,5.4390482902526855,42044.80078125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B58864057590207_0,20573499B58864057590207,1,Chin,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,495542.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B58864057590207_1,20573499B58864057590207,1,Chin,128.7595672607422,790.31524658203125,1451.6025390625,4766.33984375,0,0,1,2,0,MMR,1109.7169189453125,9955.3125,13920.7392578125,55960.9921875,468793.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B58864057590207_2,20573499B58864057590207,1,Chin,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,468793.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B58864057590207_3,20573499B58864057590207,1,Chin,128.7595672607422,790.31524658203125,1451.6025390625,4766.33984375,0,0,1,2,0,MMR,1109.7169189453125,9955.3125,13920.7392578125,55960.9921875,468793.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B8199738503087_0,20573499B8199738503087,1,Saigang,2607.8369140625,4072.694091796875,1415.680419921875,1694.161376953125,0,0,3,1,0,MMR,72059.0703125,240251.03125,9607.1123046875,46020.47265625,5643555.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B8199738503087_1,20573499B8199738503087,1,Saigang,9156.9716796875,6590.62353515625,1415.680419921875,1694.161376953125,0,0,7,1,0,MMR,93625.3828125,279017.125,10495.1923828125,42502.73046875,5098517,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B8199738503087_2,20573499B8199738503087,1,Saigang,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,5098517,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B8199738503087_3,20573499B8199738503087,1,Saigang,9156.9716796875,6590.62353515625,1415.680419921875,1694.161376953125,0,0,7,1,0,MMR,93625.3828125,279017.125,10495.1923828125,42502.73046875,5098517,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B79934184351821_0,20573499B79934184351821,1,Kachin,121.6210708618164,1043.2576904296875,4113.90283203125,1357.9736328125,0,0,2,1,0,MMR,1179.5166015625,49135.29296875,1121.27197265625,916.09442138671875,1291521.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B79934184351821_1,20573499B79934184351821,1,Kachin,16982.1953125,11545.1396484375,5913.5205078125,4695.29052734375,0,197.815185546875,7,3,1,MMR,152225.328125,258424.1875,12891.9375,44674.1953125,1760939.125,0,4682.44091796875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B79934184351821_2,20573499B79934184351821,1,Kachin,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,1760939.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B79934184351821_3,20573499B79934184351821,1,Kachin,16982.1953125,11545.1396484375,5913.5205078125,4695.29052734375,0,197.815185546875,7,3,1,MMR,152225.328125,258424.1875,12891.9375,44674.1953125,1760939.125,0,4682.44091796875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B20332088310808_0,20573499B20332088310808,1,Kayah,0,213.09849548339844,0,0,0,0,1,0,0,MMR,0,33501.3359375,0,0,291702.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B20332088310808_1,20573499B20332088310808,1,Kayah,0,213.09849548339844,0,0,0,0,1,0,0,MMR,0,23003.787109375,0,0,280646.34375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B20332088310808_2,20573499B20332088310808,1,Kayah,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,280646.34375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B20332088310808_3,20573499B20332088310808,1,Kayah,0,213.09849548339844,0,0,0,0,1,0,0,MMR,0,23003.787109375,0,0,280646.34375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B82081528957960_0,20573499B82081528957960,1,Kayin,391.3111572265625,1687.1253662109375,0,0,0,0,2,0,0,MMR,7173.2705078125,35842,0,0,1561315.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B82081528957960_1,20573499B82081528957960,1,Kayin,391.3111572265625,1687.1253662109375,0.47458240389823914,348.55877685546875,264.12091064453125,891.53485107421875,2,2,2,MMR,7828.76318359375,39613.88671875,41.963748931884766,45771.54296875,1445098.625,2978.485595703125,115337.9296875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B82081528957960_2,20573499B82081528957960,1,Kayin,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,1445098.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B82081528957960_3,20573499B82081528957960,1,Kayin,391.3111572265625,1687.1253662109375,0.47458240389823914,348.55877685546875,264.12091064453125,891.53485107421875,2,2,2,MMR,7828.76318359375,39613.88671875,41.963748931884766,45771.54296875,1445098.625,2978.485595703125,115337.9296875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B51748932062429_0,20573499B51748932062429,1,Magway,473.5480041503906,2018.0042724609375,3.301820755004883,539.2947998046875,0,0,3,2,0,MMR,22620.30859375,329308.84375,32.90040588378906,7725.72705078125,4949020,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B51748932062429_1,20573499B51748932062429,1,Magway,475.6209716796875,2389.116943359375,3.301820755004883,703.34100341796875,0,0,4,3,0,MMR,19312.541015625,264808.25,36.22759246826172,14066.685546875,3435649.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B51748932062429_2,20573499B51748932062429,1,Magway,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,3435649.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B51748932062429_3,20573499B51748932062429,1,Magway,475.6209716796875,2389.116943359375,3.301820755004883,703.34100341796875,0,0,4,3,0,MMR,19312.541015625,264808.25,36.22759246826172,14066.685546875,3435649.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B45980987355836_0,20573499B45980987355836,1,Mandalay,131.35018920898438,1833.582275390625,97.80476379394531,798.90582275390625,0,0,4,1,0,MMR,32220.591796875,1811150.375,6157.3310546875,185241.03125,17121152,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B45980987355836_1,20573499B45980987355836,1,Mandalay,152.35020446777344,3069.12939453125,97.80476379394531,798.90582275390625,0,0,6,1,0,MMR,28516.962890625,1509114.125,6004.396484375,123859.8671875,6067546,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B45980987355836_2,20573499B45980987355836,1,Mandalay,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,6067546,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B45980987355836_3,20573499B45980987355836,1,Mandalay,152.35020446777344,3069.12939453125,97.80476379394531,798.90582275390625,0,0,6,1,0,MMR,28516.962890625,1509114.125,6004.396484375,123859.8671875,6067546,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B93796524737308_0,20573499B93796524737308,1,Mon,22.230798721313477,607.92962646484375,0,0,0,0,2,0,0,MMR,6788.38720703125,124704.71875,0,0,2681898,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B93796524737308_1,20573499B93796524737308,1,Mon,22.230798721313477,606.67291259765625,136.6753387451172,780.28631591796875,39.17141342163086,1035.6522216796875,2,2,4,MMR,3291.2890625,96135.734375,6322.90576171875,51507.71484375,1720890.125,7500.4365234375,110071.4296875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B93796524737308_2,20573499B93796524737308,1,Mon,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,1720890.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B93796524737308_3,20573499B93796524737308,1,Mon,22.230798721313477,606.67291259765625,136.6753387451172,780.28631591796875,39.17141342163086,1035.6522216796875,2,2,4,MMR,3291.2890625,96135.734375,6322.90576171875,51507.71484375,1720890.125,7500.4365234375,110071.4296875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B29373908448635_0,20573499B29373908448635,1,Rakhine,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,2831429.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B29373908448635_1,20573499B29373908448635,1,Rakhine,1694.258056640625,1246.182373046875,0,0,0,0,1,0,0,MMR,10727.607421875,19684.974609375,0,0,1639289.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B29373908448635_2,20573499B29373908448635,1,Rakhine,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,1639289.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B29373908448635_3,20573499B29373908448635,1,Rakhine,1694.258056640625,1246.182373046875,0,0,0,0,1,0,0,MMR,10727.607421875,19684.974609375,0,0,1639289.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B47967485654923_0,20573499B47967485654923,1,Tanitharyi,11.833776473999023,19.983762741088867,217.17897033691406,128.09263610839844,0,0,1,1,0,MMR,171.37779235839844,259.9328308105469,1043.4915771484375,2540.7919921875,1379698.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B47967485654923_1,20573499B47967485654923,1,Tanitharyi,11.833776473999023,19.983762741088867,1817.8992919921875,1664.63330078125,0,0,1,2,0,MMR,249.00328063964844,307.8565979003906,11403.1806640625,41447.296875,1304151.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B47967485654923_2,20573499B47967485654923,1,Tanitharyi,0,0,0,0,0,0,0,0,0,MMR,0,0,0,0,1304151.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
20573499B47967485654923_3,20573499B47967485654923,1,Tanitharyi,11.833776473999023,19.983762741088867,1817.8992919921875,1664.63330078125,0,0,1,2,0,MMR,249.00328063964844,307.8565979003906,11403.1806640625,41447.296875,1304151.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
