system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
27671186B81745654473385_0,27671186B81745654473385,1,Cross River,0,0,3242.49365234375,3359.9599609375,0,0,0,1,0,NGA,0,0,48688.1796875,129568.609375,2274936.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B81745654473385_1,27671186B81745654473385,1,Cross River,0,0,3242.49365234375,3359.9599609375,0,0,0,1,0,NGA,0,0,59776.36328125,205361.796875,3921505.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B81745654473385_2,27671186B81745654473385,1,Cross River,0,0,0,0,4307.5830078125,8015.8193359375,0,0,21,NGA,0,0,0,0,3921505.75,213206.1875,1298361.5,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B81745654473385_3,27671186B81745654473385,1,Cross River,0,0,3242.49365234375,3359.9599609375,1516.7806396484375,5691.7099609375,0,1,21,NGA,0,0,59776.36328125,205361.796875,3921505.75,128571.8828125,1182462.625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B76269877687363_0,27671186B76269877687363,1,Abuja Federal Capital Territory,0,0,0,0,0,0,0,0,0,NGA,0,0,0,0,903544.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B76269877687363_1,27671186B76269877687363,1,Abuja Federal Capital Territory,0,0,0,0,0,0,0,0,0,NGA,0,0,0,0,4896990.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B76269877687363_2,27671186B76269877687363,1,Abuja Federal Capital Territory,0,0,0,0,256.406982421875,3811.135986328125,0,0,24,NGA,0,0,0,0,4896990.5,380155.125,3219432.75,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B76269877687363_3,27671186B76269877687363,1,Abuja Federal Capital Territory,0,0,0,0,256.406982421875,3811.135986328125,0,0,24,NGA,0,0,0,0,4896990.5,380155.125,3219432.75,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B83907961412659_0,27671186B83907961412659,1,Ogun,0,0,0,0,0,48.21014404296875,0,0,1,NGA,0,0,0,0,3444151.75,0,1084.689697265625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B83907961412659_1,27671186B83907961412659,1,Ogun,0,0,0,0,0,48.21014404296875,0,0,1,NGA,0,0,0,0,6484725.5,0,1371.1632080078125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B83907961412659_2,27671186B83907961412659,1,Ogun,0,0,0,0,2690.3603515625,5975.57421875,0,0,23,NGA,0,0,0,0,6484725.5,198893.40625,2537638.75,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B83907961412659_3,27671186B83907961412659,1,Ogun,0,0,0,0,2690.3603515625,5975.57421875,0,0,24,NGA,0,0,0,0,6484725.5,198893.40625,2537638.75,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27671186B56513237316251_0,27671186B56513237316251,1,Oyo,0,0,2322.57763671875,2854.699951171875,2128.138916015625,1345.2674560546875,0,1,1,NGA,0,0,74102.6953125,159524.84375,4594950.5,63697.390625,59207.20703125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
