system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
94367503B51750357600402_0,94367503B51750357600402,1,Rio San Juan,281.4246826171875,316.6966247558594,1994.1739501953125,1031.242919921875,0,0,5,3,0,NIC,1104.42041015625,18595.828125,2022.2423095703125,8802.1240234375,86904.9921875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B51750357600402_1,94367503B51750357600402,1,Rio San Juan,281.4246826171875,316.6966247558594,1994.1739501953125,1031.242919921875,402.2756042480469,804.52764892578125,6,3,1,NIC,2348.744140625,28611.888671875,4176.552734375,23450.103515625,146263.53125,11128.1748046875,12897.888671875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B51750357600402_2,94367503B51750357600402,1,Rio San Juan,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,146263.53125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B51750357600402_3,94367503B51750357600402,1,Rio San Juan,281.4246826171875,316.6966247558594,1994.1739501953125,1031.242919921875,402.2756042480469,804.52764892578125,6,3,1,NIC,2348.744140625,28611.888671875,4176.552734375,23450.103515625,146263.53125,11128.1748046875,12897.888671875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B94735481042460_0,94367503B94735481042460,1,Boaco,165.00067138671875,1814.87646484375,0,0,0,0,5,1,0,NIC,2517.07470703125,100248.1328125,0,0,156222.34375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B94735481042460_1,94367503B94735481042460,1,Boaco,165.00067138671875,1814.87646484375,0,0,0,19.257976531982422,5,1,2,NIC,2223.32861328125,109742.2734375,0,0,172823.921875,0,379.4301452636719,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B94735481042460_2,94367503B94735481042460,1,Boaco,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,172823.921875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B94735481042460_3,94367503B94735481042460,1,Boaco,165.00067138671875,1814.87646484375,0,0,0,19.257976531982422,5,1,2,NIC,2223.32861328125,109742.2734375,0,0,172823.921875,0,379.4301452636719,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B5776780049527_0,94367503B5776780049527,1,Chontales,190.627685546875,1057.4815673828125,0,0,0,0,2,0,0,NIC,773.1318359375,72645.1640625,0,0,162197.71875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B5776780049527_1,94367503B5776780049527,1,Chontales,190.627685546875,1057.4794921875,0,0,0,0,3,0,0,NIC,702.56488037109375,80109.109375,0,0,168672.78125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B5776780049527_2,94367503B5776780049527,1,Chontales,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,168672.78125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B5776780049527_3,94367503B5776780049527,1,Chontales,190.627685546875,1057.4794921875,0,0,0,0,3,0,0,NIC,702.56488037109375,80109.109375,0,0,168672.78125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B81766766698586_0,94367503B81766766698586,1,Managua,22.269166946411133,764.32635498046875,5.874269962310791,141.7618408203125,0,0,7,1,0,NIC,765.9317626953125,1081443,39.72898483276367,69076.890625,1261816.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B81766766698586_1,94367503B81766766698586,1,Managua,22.269166946411133,764.32635498046875,5.874269962310791,141.7618408203125,0,181.64724731445312,7,1,2,NIC,1074.5341796875,1372613.5,48.85958480834961,128303.546875,1681362.75,0,22327.775390625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B81766766698586_2,94367503B81766766698586,1,Managua,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,1681362.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B81766766698586_3,94367503B81766766698586,1,Managua,22.269166946411133,764.32635498046875,5.874269962310791,141.7618408203125,0,181.64724731445312,7,1,2,NIC,1074.5341796875,1372613.5,48.85958480834961,128303.546875,1681362.75,0,22327.775390625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B39053627120026_0,94367503B39053627120026,1,Leon,381.203857421875,1948.9908447265625,0,0,0,0,8,0,0,NIC,1072.1839599609375,103641.0859375,0,0,376309.28125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B39053627120026_1,94367503B39053627120026,1,Leon,381.203857421875,1948.9908447265625,0,0,0,0,8,0,0,NIC,1023.7928466796875,106527.1015625,0,0,384897.375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B39053627120026_2,94367503B39053627120026,1,Leon,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,384897.375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B39053627120026_3,94367503B39053627120026,1,Leon,381.203857421875,1948.9908447265625,0,0,0,0,8,0,0,NIC,1023.7928466796875,106527.1015625,0,0,384897.375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B84000172489696_0,94367503B84000172489696,1,Chinandega,999.8525390625,1854.982666015625,0,0,0,0,8,0,0,NIC,8843.1875,246233.046875,0,0,395407.9375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B84000172489696_1,94367503B84000172489696,1,Chinandega,999.85308837890625,1854.982177734375,0,0,0,0,9,0,0,NIC,10725.7724609375,259059.4375,0,0,423609.71875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B84000172489696_2,94367503B84000172489696,1,Chinandega,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,423609.71875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B84000172489696_3,94367503B84000172489696,1,Chinandega,999.85308837890625,1854.982177734375,0,0,0,0,9,0,0,NIC,10725.7724609375,259059.4375,0,0,423609.71875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B56642323258301_0,94367503B56642323258301,1,Madriz,56.90011978149414,467.13714599609375,0,0,0,0,3,0,0,NIC,1454.7276611328125,61541.609375,0,0,129636.3203125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B56642323258301_1,94367503B56642323258301,1,Madriz,56.90011978149414,327.49359130859375,1.5664825439453125,263.4019470214844,0,0,3,1,0,NIC,1934.9722900390625,65713.4921875,9.650284767150879,19213.0546875,177654.90625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B56642323258301_2,94367503B56642323258301,1,Madriz,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,177654.90625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B56642323258301_3,94367503B56642323258301,1,Madriz,56.90011978149414,327.49359130859375,1.5664825439453125,263.4019470214844,0,0,3,1,0,NIC,1934.9722900390625,65713.4921875,9.650284767150879,19213.0546875,177654.90625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B38089883333909_0,94367503B38089883333909,1,Estelí,471.2629089355469,1569.24853515625,0,0,0,0,6,0,0,NIC,4593.82666015625,173010.703125,0,0,204141.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B38089883333909_1,94367503B38089883333909,1,Estelí,471.2629089355469,1569.24853515625,0,0,0,0,6,0,1,NIC,7278.27099609375,211906.171875,0,0,246704.0625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
94367503B38089883333909_2,94367503B38089883333909,1,Estelí,0,0,0,0,0,0,0,0,0,NIC,0,0,0,0,246704.0625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
