system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
38925275B86793894515453_0,38925275B86793894515453,1,Province 1,2141.700439453125,2375.83203125,2491.139404296875,1410.8515625,0,14.896329879760742,3,2,3,NPL,8467.681640625,216481,39437.25,139630.25,4452884.5,0,512.48553466796875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B86793894515453_1,38925275B86793894515453,1,Province 1,2240.2333984375,2908.431396484375,2491.139404296875,1410.8515625,0,0,6,2,3,NPL,103211.8359375,495673.375,3497.296630859375,39015.81640625,5290625.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B86793894515453_2,38925275B86793894515453,1,Province 1,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,5290625.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B86793894515453_3,38925275B86793894515453,1,Province 1,2240.2333984375,2908.431396484375,2491.139404296875,1410.8515625,0,0,6,2,3,NPL,103211.8359375,495673.375,3497.296630859375,39015.81640625,5290625.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_0,38925275B32852473043531,1,Province 2,331.0819091796875,752.6683349609375,147.53561401367188,310.5395202636719,0,3.6395010948181152,3,1,3,NPL,5.868984222412109,159848.953125,2.875011444091797,3609.712646484375,4030487.5,0,60.12284469604492,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_1,38925275B32852473043531,1,Province 2,486.3117370605469,1031.3472900390625,147.53561401367188,310.5395202636719,0,0,5,1,3,NPL,72452.5703125,568681.875,77.55406188964844,25483.521484375,6115872,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_2,38925275B32852473043531,1,Province 2,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,6115872,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B32852473043531_3,38925275B32852473043531,1,Province 2,486.3117370605469,1031.3472900390625,147.53561401367188,310.5395202636719,0,0,5,1,3,NPL,72452.5703125,568681.875,77.55406188964844,25483.521484375,6115872,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_0,38925275B1624743257395,1,Bagmati,18.021896362304688,1054.7801513671875,2685.536865234375,3471.77197265625,0,12.383941650390625,4,4,2,NPL,239.72174072265625,339322.21875,22861.169921875,1838755,5207143.5,0,9.377927053719759e-4,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_1,38925275B1624743257395,1,Bagmati,1948.9921875,1856.2265625,2685.536865234375,3471.77197265625,0,0,7,4,2,NPL,122877.2578125,535917.875,35403.2578125,3941108.5,6576907,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_2,38925275B1624743257395,1,Bagmati,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,6576907,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B1624743257395_3,38925275B1624743257395,1,Bagmati,1948.9921875,1856.2265625,2685.536865234375,3471.77197265625,0,0,7,4,2,NPL,122877.2578125,535917.875,35403.2578125,3941108.5,6576907,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_0,38925275B44970447822435,1,Gandaki,9843.3369140625,3694.797119140625,74.37523651123047,627.80548095703125,0,0,4,1,1,NPL,103421.6484375,557122.5625,30.97471046447754,206815.421875,2869190.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_1,38925275B44970447822435,1,Gandaki,9843.3369140625,3694.797119140625,74.37523651123047,627.80548095703125,67.30231475830078,571.46435546875,4,1,3,NPL,80183.2109375,350926.28125,54.741050720214844,243810.625,2029498.625,114881.609375,139799.484375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_2,38925275B44970447822435,1,Gandaki,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,2029498.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B44970447822435_3,38925275B44970447822435,1,Gandaki,9843.3369140625,3694.797119140625,74.37523651123047,627.80548095703125,67.30231475830078,571.46435546875,4,1,3,NPL,80183.2109375,350926.28125,54.741050720214844,243810.625,2029498.625,114881.609375,139799.484375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_0,38925275B41812398098692,1,Lumbini,680.5220947265625,1086.4906005859375,867.8231201171875,1065.633056640625,0,0,3,2,1,NPL,2053.763916015625,186483.75,412.7169494628906,346401.5,3915084.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_1,38925275B41812398098692,1,Lumbini,697.224853515625,2051.140869140625,1430.6072998046875,2036.626220703125,0,0,5,3,1,NPL,9625.6708984375,277366.375,2344.806640625,580911.9375,4619400.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_2,38925275B41812398098692,1,Lumbini,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,4619400.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B41812398098692_3,38925275B41812398098692,1,Lumbini,697.224853515625,2051.140869140625,1430.6072998046875,2036.626220703125,0,0,5,3,1,NPL,9625.6708984375,277366.375,2344.806640625,580911.9375,4619400.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_0,38925275B76883637113030,1,Karnali,194.27886962890625,3352.6376953125,3680.955810546875,3847.360595703125,0,0,4,3,0,NPL,274.9461975097656,274190.90625,4429.873046875,156810.203125,2319102.5,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_1,38925275B76883637113030,1,Karnali,194.27886962890625,3857.738525390625,3686.118408203125,4112.83642578125,0,0,6,4,0,NPL,85.40587615966797,106149.75,3863.652099609375,85621.5,1257870.875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_2,38925275B76883637113030,1,Karnali,0,0,0,0,0,0,0,0,0,NPL,0,0,0,0,1257870.875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
38925275B76883637113030_3,38925275B76883637113030,1,Karnali,194.27886962890625,3857.738525390625,3686.118408203125,4112.83642578125,0,0,6,4,0,NPL,85.40587615966797,106149.75,3863.652099609375,85621.5,1257870.875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
