system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
70912109B90439427603182_0,70912109B90439427603182,1,Balochistan,7713.591796875,14556.048828125,3253.97119140625,3806.364013671875,176.9263458251953,1355.5234375,18,3,4,PAK,47090.58984375,1145982.25,12013.0185546875,12894.0078125,7628170.5,319.347412109375,190681.78125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B90439427603182_1,70912109B90439427603182,1,Balochistan,7713.591796875,14556.048828125,3253.97119140625,3806.364013671875,176.9263458251953,1355.5234375,18,3,5,PAK,48922.28515625,1453210.5,16175.033203125,15257.5458984375,8716698,329.1117858886719,217109.78125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B90439427603182_2,70912109B90439427603182,1,Balochistan,0,0,0,0,0,0,0,0,0,PAK,0,0,0,0,8716698,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B90439427603182_3,70912109B90439427603182,1,Balochistan,7713.591796875,14556.048828125,3253.97119140625,3806.364013671875,176.9263458251953,1355.5234375,18,3,5,PAK,48922.28515625,1453210.5,16175.033203125,15257.5458984375,8716698,329.1117858886719,217109.78125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B8393927546319_0,70912109B8393927546319,1,Sindh,18436.751953125,12021.4755859375,2770.396728515625,2968.62255859375,2086.526611328125,7932.53271484375,16,1,16,PAK,852643.75,3785044.5,26057.009765625,45440.27734375,33784544,370560.15625,2725878.25,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B8393927546319_1,70912109B8393927546319,1,Sindh,18436.751953125,12021.4755859375,2770.396728515625,2968.62255859375,2086.526611328125,7932.53271484375,16,1,17,PAK,1325993.375,6010891,29209.693359375,74228.015625,51235608,496639.28125,3858881.75,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B8393927546319_2,70912109B8393927546319,1,Sindh,0,0,0,0,244.46865844726562,1511.80322265625,0,0,2,PAK,0,0,0,0,51235608,47423.5703125,319458.65625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B8393927546319_3,70912109B8393927546319,1,Sindh,18436.751953125,12021.4755859375,2770.396728515625,2968.62255859375,2330.9951171875,9444.3359375,16,1,19,PAK,1325993.375,6010891,29209.693359375,74228.015625,51235608,544062.875,4178340.5,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B54485417915534_0,70912109B54485417915534,1,Gilgit-Baltistan,1803.8680419921875,4233.69091796875,3191.3369140625,2373.56494140625,1628.331298828125,5130.6728515625,5,1,10,PAK,14265.560546875,55138.44921875,124.75422668457031,291.15606689453125,848036.4375,4103.427734375,183525.96875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B54485417915534_1,70912109B54485417915534,1,Gilgit-Baltistan,1803.8680419921875,4233.69091796875,3191.3369140625,2373.56494140625,1628.331298828125,5130.6728515625,5,1,10,PAK,13771.5361328125,77671.21875,130.28094482421875,891.0269775390625,1041613.75,5077.431640625,224559.421875,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B54485417915534_2,70912109B54485417915534,1,Gilgit-Baltistan,0,0,0,0,2993.7080078125,3022.958251953125,0,0,2,PAK,0,0,0,0,1041613.75,1592.421142578125,1129.7852783203125,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B54485417915534_3,70912109B54485417915534,1,Gilgit-Baltistan,1803.8680419921875,4233.69091796875,3191.3369140625,2373.56494140625,4622.0390625,8145.29345703125,5,1,12,PAK,13771.5361328125,77671.21875,130.28094482421875,891.0269775390625,1041613.75,6669.8525390625,225689.203125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B7720427584286_0,70912109B7720427584286,1,Azad Kashmir,10.538724899291992,682.006103515625,0,0,439.7523498535156,2457.611572265625,3,0,7,PAK,1625.3258056640625,151819.703125,0,0,2986415.25,82878.375,1181419.25,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B7720427584286_1,70912109B7720427584286,1,Azad Kashmir,10.538724899291992,682.006103515625,0,0,439.7523498535156,2457.611572265625,3,0,7,PAK,1792.7252197265625,178342.078125,0,0,3724779.5,114174.5546875,1363651,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B7720427584286_2,70912109B7720427584286,1,Azad Kashmir,0,65.29370880126953,0,0,66.6957015991211,474.1576843261719,1,0,1,PAK,0,7234.16015625,0,0,3724779.5,65697.578125,278214.6875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B7720427584286_3,70912109B7720427584286,1,Azad Kashmir,10.538724899291992,747.2998046875,0,0,506.44805908203125,2809.625,4,0,8,PAK,1792.7252197265625,185576.234375,0,0,3724779.5,179872.125,1581856.625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B89717923239242_0,70912109B89717923239242,1,Khyber Pakhtunkhwa,673.0145263671875,3550.592041015625,149.42308044433594,833.70947265625,1956.3104248046875,8759.3818359375,9,1,19,PAK,438889.40625,753319.25,6.088014602661133,104556.2265625,23926616,346312.3125,3232279.25,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B89717923239242_1,70912109B89717923239242,1,Khyber Pakhtunkhwa,673.0145263671875,3550.592041015625,149.42308044433594,833.70947265625,1956.3104248046875,8759.3818359375,9,1,19,PAK,482773.375,1303826.875,5.6111741065979,146516.484375,35660680,505956.25,4614448,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B89717923239242_2,70912109B89717923239242,1,Khyber Pakhtunkhwa,0,0,0,0,33.161251068115234,434.3344421386719,0,0,1,PAK,0,0,0,0,35660680,73.35003662109375,219.70452880859375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B89717923239242_3,70912109B89717923239242,1,Khyber Pakhtunkhwa,673.0145263671875,3550.592041015625,149.42308044433594,833.70947265625,1989.4716796875,9193.716796875,9,1,20,PAK,482773.375,1303826.875,5.6111741065979,146516.484375,35660680,506029.59375,4614667.5,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B12169979015230_0,70912109B12169979015230,1,Punjab,1036.3870849609375,6741.4892578125,39.8992919921875,572.81146240234375,34743.703125,21323.8828125,13,1,27,PAK,173450.671875,2233164.25,611.321044921875,216871.71875,82637048,2107544.25,8391672,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B12169979015230_1,70912109B12169979015230,1,Punjab,1036.3870849609375,6741.4892578125,39.8992919921875,572.81146240234375,34743.703125,21323.8828125,13,1,27,PAK,228467.921875,3276346,1047.833251953125,281395.40625,122627912,3126823.75,12858038,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B12169979015230_2,70912109B12169979015230,1,Punjab,8.881714820861816,354.1629333496094,0,0,0,0,1,0,0,PAK,3205.222412109375,185732.390625,0,0,122627912,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
70912109B12169979015230_3,70912109B12169979015230,1,Punjab,1045.268798828125,7095.65234375,39.8992919921875,572.81146240234375,34743.703125,21323.8828125,14,1,27,PAK,231673.140625,3462078.5,1047.833251953125,281395.40625,122627912,3126823.75,12858038,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
