system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
602756B50041453479655_0,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,170434.859375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50041453479655_1,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,289253.28125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50041453479655_2,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,289253.28125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50041453479655_3,602756B50041453479655,1,Autonomous Region of Bougainville,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,289253.28125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_0,602756B93864696482497,1,Central Province,0,0,0,0,64.830841064453125,1469.963623046875,0,0,4,PNG,0,0,0,0,189448.375,732.24810791015625,25298.71875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_1,602756B93864696482497,1,Central Province,0,0,0,0,66.27335357666016,1680.9339599609375,0,0,5,PNG,0,0,0,0,303030.625,1233.3192138671875,43892.81640625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_2,602756B93864696482497,1,Central Province,0,0,0,0,39.65256118774414,635.47918701171875,0,0,1,PNG,0,0,0,0,303030.625,169.51536560058594,4294.92822265625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93864696482497_3,602756B93864696482497,1,Central Province,0,0,0,0,105.92591094970703,2316.4130859375,0,0,6,PNG,0,0,0,0,303030.625,1402.8345947265625,48187.74609375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_0,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,904.28668212890625,1082.723876953125,0,0,2,PNG,0,0,0,0,258464.65625,5708.96533203125,21800.736328125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_1,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,904.28668212890625,1082.723876953125,0,0,2,PNG,0,0,0,0,588500.8125,10579.1396484375,44097.92578125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_2,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,588500.8125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B7407698878652_3,602756B7407698878652,1,Chimbu (Simbu) Province,0,0,0,0,904.28668212890625,1082.723876953125,0,0,2,PNG,0,0,0,0,588500.8125,10579.1396484375,44097.92578125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_0,602756B6474807440256,1,East New Britain Province,0,0,0,0,39.20293045043945,967.4295654296875,0,0,4,PNG,0,0,0,0,214283.734375,107.23323059082031,3826.717041015625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_1,602756B6474807440256,1,East New Britain Province,0,0,0,0,84.7721176147461,1467.49169921875,0,0,5,PNG,0,0,0,0,312058.4375,332.403076171875,7841.11474609375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_2,602756B6474807440256,1,East New Britain Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,312058.4375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B6474807440256_3,602756B6474807440256,1,East New Britain Province,0,0,0,0,84.7721176147461,1467.49169921875,0,0,5,PNG,0,0,0,0,312058.4375,332.403076171875,7841.11474609375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B46774983793805_0,602756B46774983793805,1,East Sepik Province,0,0,0,0,2275.644287109375,2924.799560546875,0,0,2,PNG,0,0,0,0,339621.375,4479.6845703125,11928.638671875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B46774983793805_1,602756B46774983793805,1,East Sepik Province,0,0,0,0,2275.644287109375,2924.799560546875,0,0,2,PNG,0,0,0,0,522501.59375,7885.37744140625,18022.08203125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B46774983793805_2,602756B46774983793805,1,East Sepik Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,522501.59375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B46774983793805_3,602756B46774983793805,1,East Sepik Province,0,0,0,0,2275.644287109375,2924.799560546875,0,0,2,PNG,0,0,0,0,522501.59375,7885.37744140625,18022.08203125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92248307115505_0,602756B92248307115505,1,Eastern Highlands Province,0,0,0,0,528.797607421875,1092.8468017578125,0,0,2,PNG,0,0,0,0,432299.84375,6979.20361328125,73036.9375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92248307115505_1,602756B92248307115505,1,Eastern Highlands Province,0,0,0,0,528.797607421875,1092.8468017578125,0,0,2,PNG,0,0,0,0,744569.5,10338.1953125,125201.1484375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92248307115505_2,602756B92248307115505,1,Eastern Highlands Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,744569.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92248307115505_3,602756B92248307115505,1,Eastern Highlands Province,0,0,0,0,528.797607421875,1092.8468017578125,0,0,2,PNG,0,0,0,0,744569.5,10338.1953125,125201.1484375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B18903489245073_0,602756B18903489245073,1,Enga Province,0,0,0,0,0,117.9476089477539,0,0,1,PNG,0,0,0,0,295253.28125,0,1992.9462890625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B18903489245073_1,602756B18903489245073,1,Enga Province,0,0,0,0,0,117.9476089477539,0,0,1,PNG,0,0,0,0,659285.5,0,2509.0673828125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B18903489245073_2,602756B18903489245073,1,Enga Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,659285.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B18903489245073_3,602756B18903489245073,1,Enga Province,0,0,0,0,0,117.9476089477539,0,0,1,PNG,0,0,0,0,659285.5,0,2509.0673828125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B85114156067179_0,602756B85114156067179,1,Gulf Province,0,0,0,0,1312.587890625,1854.9857177734375,0,0,2,PNG,0,0,0,0,105378.03125,1649.203857421875,2899.1025390625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B85114156067179_1,602756B85114156067179,1,Gulf Province,0,0,0,0,1313.1103515625,1966.9111328125,0,0,3,PNG,0,0,0,0,133479.453125,1723.748291015625,3017.9404296875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B85114156067179_2,602756B85114156067179,1,Gulf Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,133479.453125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B85114156067179_3,602756B85114156067179,1,Gulf Province,0,0,0,0,1313.1103515625,1966.9111328125,0,0,3,PNG,0,0,0,0,133479.453125,1723.748291015625,3017.9404296875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92146969266961_0,602756B92146969266961,1,Hela Province,0,0,0,0,0,6.960749626159668,0,0,2,PNG,0,0,0,0,186009.609375,0,61.57926940917969,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92146969266961_1,602756B92146969266961,1,Hela Province,0,0,0,0,0,124.24116516113281,0,0,4,PNG,0,0,0,0,599662.3125,0,2750.7783203125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92146969266961_2,602756B92146969266961,1,Hela Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,599662.3125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B92146969266961_3,602756B92146969266961,1,Hela Province,0,0,0,0,0,124.24116516113281,0,0,4,PNG,0,0,0,0,599662.3125,0,2750.7783203125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B83114616808260_0,602756B83114616808260,1,Jiwaka Province,0,0,0,0,0.020932959392666817,290.9886169433594,0,0,2,PNG,0,0,0,0,186326.25,1.2151602506637573,4726.6474609375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B83114616808260_1,602756B83114616808260,1,Jiwaka Province,0,0,0,0,0.020932959392666817,290.9886169433594,0,0,2,PNG,0,0,0,0,566439.375,1.922333836555481,13795.474609375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B83114616808260_2,602756B83114616808260,1,Jiwaka Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,566439.375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B83114616808260_3,602756B83114616808260,1,Jiwaka Province,0,0,0,0,0.020932959392666817,290.9886169433594,0,0,2,PNG,0,0,0,0,566439.375,1.922333836555481,13795.474609375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93477627156279_0,602756B93477627156279,1,Madang Province,0,0,0,0,502.3777160644531,782.37548828125,0,0,8,PNG,0,0,0,0,359774.71875,7251.79833984375,26435.208984375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93477627156279_1,602756B93477627156279,1,Madang Province,42.577083587646484,518.7989501953125,0,0,502.4472961425781,948.833984375,1,0,10,PNG,619.8668212890625,6428.3642578125,0,0,609375.5625,9131.443359375,73780.578125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93477627156279_2,602756B93477627156279,1,Madang Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,609375.5625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B93477627156279_3,602756B93477627156279,1,Madang Province,42.577083587646484,518.7989501953125,0,0,502.4472961425781,948.833984375,1,0,10,PNG,619.8668212890625,6428.3642578125,0,0,609375.5625,9131.443359375,73780.578125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50944045415739_0,602756B50944045415739,1,Manus Province,31.88804054260254,256.6631774902344,0,0,0,0,1,0,0,PNG,1453.3607177734375,9012.765625,0,0,39742.7265625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50944045415739_1,602756B50944045415739,1,Manus Province,31.88804054260254,256.6631774902344,0,0,0,0,1,0,0,PNG,2016.022216796875,11704.671875,0,0,52073.0546875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50944045415739_2,602756B50944045415739,1,Manus Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,52073.0546875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B50944045415739_3,602756B50944045415739,1,Manus Province,31.88804054260254,256.6631774902344,0,0,0,0,1,0,0,PNG,2016.022216796875,11704.671875,0,0,52073.0546875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B70880514631076_0,602756B70880514631076,1,Milne Bay Province,0,0,0,0,255.66973876953125,1304.973876953125,0,0,4,PNG,0,0,0,0,201201.953125,11141.10546875,36754.12109375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B70880514631076_1,602756B70880514631076,1,Milne Bay Province,0,0,0,0,255.66973876953125,1304.973876953125,0,0,4,PNG,0,0,0,0,316228.0625,16465.390625,58171.41796875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B70880514631076_2,602756B70880514631076,1,Milne Bay Province,0,0,0,0,0,0,0,0,0,PNG,0,0,0,0,316228.0625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B70880514631076_3,602756B70880514631076,1,Milne Bay Province,0,0,0,0,255.66973876953125,1304.973876953125,0,0,4,PNG,0,0,0,0,316228.0625,16465.390625,58171.41796875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B21024922409346_0,602756B21024922409346,1,Morobe Province,0,0,0,0,306.5390930175781,1874.057373046875,0,0,4,PNG,0,0,0,0,528160.0625,2223.198974609375,25319.947265625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
602756B21024922409346_1,602756B21024922409346,1,Morobe Province,730.60101318359375,2118.239990234375,0,0,306.5390930175781,1874.057373046875,1,0,4,PNG,10082.29296875,22905.578125,0,0,742935.3125,3697.110595703125,39677.79296875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
