system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
91480417B22690809677968_0,91480417B22690809677968,1,City of Kigali,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,672290.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B22690809677968_1,91480417B22690809677968,1,City of Kigali,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,1585501.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B22690809677968_2,91480417B22690809677968,1,City of Kigali,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,1585501.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B22690809677968_3,91480417B22690809677968,1,City of Kigali,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,1585501.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B18399648061901_0,91480417B18399648061901,1,Southern Province,427.2169494628906,745.19573974609375,0,0,0,0,1,0,0,RWA,0.7398701310157776,233452.34375,0,0,2074270,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B18399648061901_1,91480417B18399648061901,1,Southern Province,427.2169494628906,750.389404296875,0,0,0,0,2,0,0,RWA,3.233102798461914,340788.65625,0,0,3108945,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B18399648061901_2,91480417B18399648061901,1,Southern Province,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,3108945,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B18399648061901_3,91480417B18399648061901,1,Southern Province,427.2169494628906,750.389404296875,0,0,0,0,2,0,0,RWA,3.233102798461914,340788.65625,0,0,3108945,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B74917756285357_0,91480417B74917756285357,1,Northern Province,0,0,110.87554168701172,418.7274169921875,0,0,0,1,0,RWA,0,0,4.5588788986206055,314328.71875,1622025,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B74917756285357_1,91480417B74917756285357,1,Northern Province,0,0,110.87554168701172,418.7274169921875,68.6137924194336,737.25909423828125,0,1,1,RWA,0,0,3.962456226348877,419442.53125,1873966.75,13248.884765625,453607.0625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B74917756285357_2,91480417B74917756285357,1,Northern Province,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,1873966.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B74917756285357_3,91480417B74917756285357,1,Northern Province,0,0,110.87554168701172,418.7274169921875,68.6137924194336,737.25909423828125,0,1,1,RWA,0,0,3.962456226348877,419442.53125,1873966.75,13248.884765625,453607.0625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B20985019767017_0,91480417B20985019767017,1,Eastern Province,0,0,843.6063232421875,1170.566162109375,0,0,0,1,0,RWA,0,0,13.394083976745605,44599.39453125,1665297.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B20985019767017_1,91480417B20985019767017,1,Eastern Province,0,0,843.6063232421875,1170.566162109375,0,0,0,1,0,RWA,0,0,19.486696243286133,152006.9375,3681269.75,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B20985019767017_2,91480417B20985019767017,1,Eastern Province,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,3681269.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B20985019767017_3,91480417B20985019767017,1,Eastern Province,0,0,843.6063232421875,1170.566162109375,0,0,0,1,0,RWA,0,0,19.486696243286133,152006.9375,3681269.75,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B44016762519517_0,91480417B44016762519517,1,Western Province,589.67401123046875,1117.6761474609375,47.8603630065918,244.8640899658203,0,0,1,1,0,RWA,43.60335159301758,482354.125,198.58607482910156,177352.671875,2057995.875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B44016762519517_1,91480417B44016762519517,1,Western Province,621.71722412109375,2143.554443359375,47.8603630065918,244.8640899658203,0,0,2,1,0,RWA,219.45179748535156,1213622.75,384.9608154296875,251045.296875,2864281.75,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B44016762519517_2,91480417B44016762519517,1,Western Province,0,0,0,0,0,0,0,0,0,RWA,0,0,0,0,2864281.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
91480417B44016762519517_3,91480417B44016762519517,1,Western Province,621.71722412109375,2143.554443359375,47.8603630065918,244.8640899658203,0,0,2,1,0,RWA,219.45179748535156,1213622.75,384.9608154296875,251045.296875,2864281.75,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
