system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
98794003B76410579323989_0,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,225628.609375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B76410579323989_1,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,129.927978515625,492.1455383300781,0,0,8,SLV,0,0,0,0,281179.90625,16650.76171875,221801.515625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B76410579323989_2,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,281179.90625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B76410579323989_3,98794003B76410579323989,1,Departamento de Cuscatlán,0,0,0,0,129.927978515625,492.1455383300781,0,0,8,SLV,0,0,0,0,281179.90625,16650.76171875,221801.515625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_0,98794003B42513633485886,1,Departamento de Usulután,0,0,0,0,0.6419429779052734,150.47076416015625,0,0,2,SLV,0,0,0,0,358866.84375,0,15523.8359375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_1,98794003B42513633485886,1,Departamento de Usulután,4.799856662750244,773.03765869140625,0,0,320.2293701171875,566.10064697265625,8,0,48,SLV,8.0855712890625,181826.84375,0,0,363216,11001.0048828125,107217.9453125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_2,98794003B42513633485886,1,Departamento de Usulután,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,363216,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B42513633485886_3,98794003B42513633485886,1,Departamento de Usulután,4.799856662750244,773.03765869140625,0,0,320.2293701171875,566.10064697265625,8,0,48,SLV,8.0855712890625,181826.84375,0,0,363216,11001.0048828125,107217.9453125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_0,98794003B3671241590115,1,La Libertad,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,641742.5,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_1,98794003B3671241590115,1,La Libertad,0.9930205941200256,468.2616271972656,1.9245916604995728,266.42169189453125,6.599798679351807,605.4071044921875,7,2,15,SLV,0.8411368131637573,197707.046875,4.343728065490723,379582.375,791937.0625,117.56324005126953,144670.75,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_2,98794003B3671241590115,1,La Libertad,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,791937.0625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B3671241590115_3,98794003B3671241590115,1,La Libertad,0.9930205941200256,468.2616271972656,1.9245916604995728,266.42169189453125,6.599798679351807,605.4071044921875,7,2,15,SLV,0.8411368131637573,197707.046875,4.343728065490723,379582.375,791937.0625,117.56324005126953,144670.75,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
98794003B28533173695218_0,98794003B28533173695218,1,Departamento de Ahuachapán,0,0,0,0,0,0,0,0,0,SLV,0,0,0,0,320812,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
