system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
48771326B2646389376646_0,48771326B2646389376646,1,Lakes,124.45513916015625,547.9111328125,11403.619140625,2921.125732421875,0,0,1,3,0,SSD,1332.1781005859375,5817.75244140625,36243.93359375,25889.44140625,585528.0625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B2646389376646_1,48771326B2646389376646,1,Lakes,124.45513916015625,547.9111328125,11403.619140625,2921.125732421875,722.31622314453125,872.860595703125,1,3,1,SSD,1659.973388671875,8431.8681640625,56782.609375,39667.859375,898905.4375,11363.587890625,12401.6943359375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B2646389376646_2,48771326B2646389376646,1,Lakes,0,0,0,0,0,0,0,0,0,SSD,0,0,0,0,898905.4375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B2646389376646_3,48771326B2646389376646,1,Lakes,124.45513916015625,547.9111328125,11403.619140625,2921.125732421875,722.31622314453125,872.860595703125,1,3,1,SSD,1659.973388671875,8431.8681640625,56782.609375,39667.859375,898905.4375,11363.587890625,12401.6943359375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B10235544430886_0,48771326B10235544430886,1,Central Equatoria,93.1016845703125,543.44580078125,4392.14599609375,3108.4912109375,0,0,1,3,0,SSD,3641.91259765625,16714.00390625,55449.17578125,75030.1875,766805.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B10235544430886_1,48771326B10235544430886,1,Central Equatoria,93.1016845703125,543.44580078125,4392.14599609375,3108.4912109375,0,0,1,3,0,SSD,5296.990234375,27828.466796875,120633.484375,149084.703125,1870978.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B10235544430886_2,48771326B10235544430886,1,Central Equatoria,0,0,0,0,0,0,0,0,0,SSD,0,0,0,0,1870978.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B10235544430886_3,48771326B10235544430886,1,Central Equatoria,93.1016845703125,543.44580078125,4392.14599609375,3108.4912109375,0,0,1,3,0,SSD,5296.990234375,27828.466796875,120633.484375,149084.703125,1870978.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B42994405084241_0,48771326B42994405084241,1,Eastern Equatoria,3945.421875,3310.405517578125,7784.78125,3751.587890625,0,0,2,4,0,SSD,18080.400390625,19654.9375,16033.435546875,15008.7255859375,250355.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B42994405084241_1,48771326B42994405084241,1,Eastern Equatoria,3945.421875,3310.405517578125,7784.78125,3751.587890625,0,0,2,4,0,SSD,535489.375,595777.3125,318777.65625,280646.59375,6193429,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B42994405084241_2,48771326B42994405084241,1,Eastern Equatoria,0,0,0,0,0,0,0,0,0,SSD,0,0,0,0,6193429,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B42994405084241_3,48771326B42994405084241,1,Eastern Equatoria,3945.421875,3310.405517578125,7784.78125,3751.587890625,0,0,2,4,0,SSD,535489.375,595777.3125,318777.65625,280646.59375,6193429,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B2876692069974_0,48771326B2876692069974,1,Upper Nile,492.5693054199219,875.4210205078125,0,0,0,0,2,0,0,SSD,5404.6708984375,6844.10302734375,0,0,706207.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B2876692069974_1,48771326B2876692069974,1,Upper Nile,492.5693054199219,875.4210205078125,0,0,13.060678482055664,155.15501403808594,2,0,1,SSD,11506.9228515625,14664.3173828125,0,0,1495410.75,102.6167221069336,1190.932373046875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
48771326B2876692069974_2,48771326B2876692069974,1,Upper Nile,0,0,0,0,0,0,0,0,0,SSD,0,0,0,0,1495410.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
