system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
75366066B3567364273406_0,75366066B3567364273406,1,Manzini,0,0,14.511189460754395,437.7052307128906,0,0,0,4,0,SWZ,0,0,665.8297119140625,44285.7109375,295960.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B3567364273406_1,75366066B3567364273406,1,Manzini,15.665628433227539,384.6808776855469,14.511189460754395,437.7052307128906,0,0,1,4,0,SWZ,276.26739501953125,22704.3359375,684.729248046875,54043.6796875,363585.0625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B3567364273406_2,75366066B3567364273406,1,Manzini,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,363585.0625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B3567364273406_3,75366066B3567364273406,1,Manzini,15.665628433227539,384.6808776855469,14.511189460754395,437.7052307128906,0,0,1,4,0,SWZ,276.26739501953125,22704.3359375,684.729248046875,54043.6796875,363585.0625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_0,75366066B12234306804593,1,Lubombo,0,0,478.5769958496094,1834.4149169921875,0,0,0,3,0,SWZ,0,0,7309.74169921875,66396.1796875,199691.265625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_1,75366066B12234306804593,1,Lubombo,0,102.4623794555664,478.5769958496094,1834.4149169921875,1.6567810773849487,559.15234375,1,3,2,SWZ,0,3337.8349609375,7355.685546875,73982.953125,218278.078125,106.52261352539062,18559.7734375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_2,75366066B12234306804593,1,Lubombo,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,218278.078125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B12234306804593_3,75366066B12234306804593,1,Lubombo,0,102.4623794555664,478.5769958496094,1834.4149169921875,1.6567810773849487,559.15234375,1,3,2,SWZ,0,3337.8349609375,7355.685546875,73982.953125,218278.078125,106.52261352539062,18559.7734375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_0,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,213066.359375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_1,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,195744.078125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_2,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,195744.078125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B21527038718027_3,75366066B21527038718027,1,Shiselweni,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,195744.078125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_0,75366066B25905390127614,1,Hhohho,0,0,191.77676391601562,930.9786376953125,0.34596842527389526,225.2215118408203,0,3,1,SWZ,0,0,6348.37353515625,127635.5859375,268342.0625,9.436971664428711,9079.9931640625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_1,75366066B25905390127614,1,Hhohho,1.4042925834655762,339.28277587890625,191.77676391601562,930.9786376953125,0.34644171595573425,493.41766357421875,1,3,4,SWZ,164.24618530273438,22642.62109375,6454.6328125,149552.40625,312403.5,9.927675247192383,32262.474609375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_2,75366066B25905390127614,1,Hhohho,0,0,0,0,0,0,0,0,0,SWZ,0,0,0,0,312403.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75366066B25905390127614_3,75366066B25905390127614,1,Hhohho,1.4042925834655762,339.28277587890625,191.77676391601562,930.9786376953125,0.34644171595573425,493.41766357421875,1,3,4,SWZ,164.24618530273438,22642.62109375,6454.6328125,149552.40625,312403.5,9.927675247192383,32262.474609375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
