system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
8384693B24866558579919_0,8384693B24866558579919,1,Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1525908.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B24866558579919_1,8384693B24866558579919,1,Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1870992.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B24866558579919_2,8384693B24866558579919,1,Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1870992.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B24866558579919_3,8384693B24866558579919,1,Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1870992.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B67178658489877_0,8384693B67178658489877,1,Aleppo,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,3645640.5,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B67178658489877_1,8384693B67178658489877,1,Aleppo,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,4744497.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B67178658489877_2,8384693B67178658489877,1,Aleppo,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,4744497.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B67178658489877_3,8384693B67178658489877,1,Aleppo,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,4744497.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B89451039606890_0,8384693B89451039606890,1,Rural Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,2027211.125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B89451039606890_1,8384693B89451039606890,1,Rural Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,2902396.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B89451039606890_2,8384693B89451039606890,1,Rural Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,2902396.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B89451039606890_3,8384693B89451039606890,1,Rural Damascus,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,2902396.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B93490606690779_0,8384693B93490606690779,1,Homs,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1358696,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B93490606690779_1,8384693B93490606690779,1,Homs,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1801889.75,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B93490606690779_2,8384693B93490606690779,1,Homs,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1801889.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B93490606690779_3,8384693B93490606690779,1,Homs,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1801889.75,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B76753285616287_0,8384693B76753285616287,1,Hama,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1240863.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B76753285616287_1,8384693B76753285616287,1,Hama,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1469508.125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B76753285616287_2,8384693B76753285616287,1,Hama,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1469508.125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B76753285616287_3,8384693B76753285616287,1,Hama,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1469508.125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B20094101885952_0,8384693B20094101885952,1,Lattakia,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,660289.125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B20094101885952_1,8384693B20094101885952,1,Lattakia,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,833388,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B20094101885952_2,8384693B20094101885952,1,Lattakia,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,833388,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B20094101885952_3,8384693B20094101885952,1,Lattakia,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,833388,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B38455082445791_0,8384693B38455082445791,1,Idleb,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1178301.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B38455082445791_1,8384693B38455082445791,1,Idleb,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1421199.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B38455082445791_2,8384693B38455082445791,1,Idleb,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1421199.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B38455082445791_3,8384693B38455082445791,1,Idleb,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1421199.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B3351094574159_0,8384693B3351094574159,1,Al-Hasakeh,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1147801.5,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B3351094574159_1,8384693B3351094574159,1,Al-Hasakeh,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1393171.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B3351094574159_2,8384693B3351094574159,1,Al-Hasakeh,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1393171.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B3351094574159_3,8384693B3351094574159,1,Al-Hasakeh,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1393171.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B56550821124428_0,8384693B56550821124428,1,Deir-ez-Zor,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,900766.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B56550821124428_1,8384693B56550821124428,1,Deir-ez-Zor,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1231602.75,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B56550821124428_2,8384693B56550821124428,1,Deir-ez-Zor,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1231602.75,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B56550821124428_3,8384693B56550821124428,1,Deir-ez-Zor,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,1231602.75,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B50697642267539_0,8384693B50697642267539,1,Tartous,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,535581.6875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B50697642267539_1,8384693B50697642267539,1,Tartous,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,562973,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B50697642267539_2,8384693B50697642267539,1,Tartous,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,562973,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
8384693B50697642267539_3,8384693B50697642267539,1,Tartous,0,0,0,0,0,0,0,0,0,SYR,0,0,0,0,562973,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
