system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
58719522B69518090574338_0,58719522B69518090574338,1,Oecusse,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,54805.796875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B69518090574338_1,58719522B69518090574338,1,Oecusse,0,0,0,0,228.2129364013672,572.6865234375,0,0,5,TLS,0,0,0,0,70340.2734375,5683.103515625,64502.87109375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B69518090574338_2,58719522B69518090574338,1,Oecusse,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,70340.2734375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B69518090574338_3,58719522B69518090574338,1,Oecusse,0,0,0,0,228.2129364013672,572.6865234375,0,0,5,TLS,0,0,0,0,70340.2734375,5683.103515625,64502.87109375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_0,58719522B52176164477569,1,Aileu,0,0,0,0,2.5183632373809814,211.34861755371094,0,0,4,TLS,0,0,0,0,28972.853515625,29.762094497680664,8390.5478515625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_1,58719522B52176164477569,1,Aileu,0,0,0,0,2.5183632373809814,224.7519989013672,0,0,5,TLS,0,0,0,0,60530.81640625,74.29987335205078,20202.845703125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_2,58719522B52176164477569,1,Aileu,0,0,0,0,0,0,0,0,0,TLS,0,0,0,0,60530.81640625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B52176164477569_3,58719522B52176164477569,1,Aileu,0,0,0,0,2.5183632373809814,224.7519989013672,0,0,5,TLS,0,0,0,0,60530.81640625,74.29987335205078,20202.845703125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B96669271034989_0,58719522B96669271034989,1,Ainaro,0,0,0,0,98.79366302490234,427.564208984375,0,0,1,TLS,0,0,0,0,68619.1796875,2133.808349609375,39891.29296875,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
58719522B96669271034989_1,58719522B96669271034989,1,Ainaro,0,0,0,0,132.38491821289062,862.9124755859375,0,0,6,TLS,0,0,0,0,77657.7578125,3046.276123046875,67466.5,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
