system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
36957248B55328686942733_0,36957248B55328686942733,1,Kilimanjaro,2219.678955078125,2112.419921875,1835.7593994140625,2081.32568359375,21.262983322143555,997.6854248046875,5,4,14,TZA,671.9483642578125,134619.3125,13825.990234375,749424.625,1356294.75,13204.3564453125,252857.375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B55328686942733_1,36957248B55328686942733,1,Kilimanjaro,2219.678955078125,2112.419921875,1835.7593994140625,2081.32568359375,156.64505004882812,1081.7802734375,5,4,16,TZA,695.91497802734375,204579.984375,19642.236328125,1038713.5625,2024111.75,24199.73828125,445461.78125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B55328686942733_2,36957248B55328686942733,1,Kilimanjaro,4.274374008178711,544.19256591796875,0,0,151.6204071044922,2798.409423828125,3,0,9,TZA,451.67584228515625,106261.859375,0,0,2024111.75,4408.0302734375,377855.375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B55328686942733_3,36957248B55328686942733,1,Kilimanjaro,2223.953369140625,2256.715576171875,1835.7593994140625,2081.32568359375,160.8402557373047,1967.3521728515625,8,4,25,TZA,1147.5908203125,217272.53125,19642.236328125,1038713.5625,2024111.75,24356.255859375,482402.9375,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_0,36957248B94562559517692,1,Mara,0,0,7994.54931640625,2712.901123046875,260.31683349609375,2297.32861328125,0,1,10,TZA,0,0,10157.0966796875,147783.609375,1356862.625,2922.057373046875,292907.75,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_1,36957248B94562559517692,1,Mara,0,0,7994.54931640625,2712.901123046875,720.363037109375,2438.195556640625,0,1,11,TZA,0,0,11276.1337890625,271189.625,2338434.25,30917.166015625,547937.625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_2,36957248B94562559517692,1,Mara,0,0,0,0,492.290771484375,1154.2825927734375,0,0,2,TZA,0,0,0,0,2338434.25,2673.8974609375,482.8771057128906,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B94562559517692_3,36957248B94562559517692,1,Mara,0,0,7994.54931640625,2712.901123046875,720.363037109375,2438.195556640625,0,1,13,TZA,0,0,11276.1337890625,271189.625,2338434.25,30917.166015625,547937.625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B99133684808243_0,36957248B99133684808243,1,Manyara,137.8912353515625,576.43878173828125,1758.066650390625,1994.0247802734375,465.2659912109375,2374.561767578125,2,2,8,TZA,215.15829467773438,5469.96826171875,1724.79443359375,61184.17578125,1056464.75,4465.8447265625,291150.0625,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
36957248B99133684808243_1,36957248B99133684808243,1,Manyara,137.8912353515625,576.43878173828125,1758.066650390625,1994.0247802734375,5476.90380859375,5408.24560546875,2,2,11,TZA,205.1595001220703,9844.9912109375,955.1943359375,112029.4921875,2088090.125,48865.203125,703522.625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
