system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
14850775B65901307765467_0,14850775B65901307765467,1,Kherson Oblast,23.723373413085938,1219.9041748046875,495.23236083984375,1945.734619140625,282.1062316894531,1282.396484375,11,2,4,UKR,15.38851547241211,37650.46875,4017.51318359375,26025.68359375,1200716.125,67871.6328125,393365.375,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B65901307765467_1,14850775B65901307765467,1,Kherson Oblast,23.723373413085938,1219.9041748046875,495.23236083984375,1945.734619140625,282.1062316894531,1282.396484375,11,2,4,UKR,20.70091438293457,38027.1875,3251.994140625,25069.943359375,1037683.375,58073.1015625,337934.84375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B65901307765467_2,14850775B65901307765467,1,Kherson Oblast,0,0,0,0,2687.009765625,13412.306640625,0,0,24,UKR,0,0,0,0,1037683.375,7904.447265625,888171.6875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B65901307765467_3,14850775B65901307765467,1,Kherson Oblast,23.723373413085938,1219.9041748046875,495.23236083984375,1945.734619140625,1398.6640625,11039.85546875,11,2,28,UKR,20.70091438293457,38027.1875,3251.994140625,25069.943359375,1037683.375,60735.1796875,768880.125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_0,14850775B13681962240800,1,Volyn Oblast,875.8692626953125,15092.8310546875,290.95526123046875,3057.627197265625,0,0,199,14,1,UKR,25510.5,731381.4375,13733.3388671875,264003.75,1051192.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_1,14850775B13681962240800,1,Volyn Oblast,875.8692626953125,15092.8310546875,290.95526123046875,3057.627197265625,0,0,199,14,3,UKR,25182.177734375,698336.5625,13003.7802734375,261426.8125,1013679,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_2,14850775B13681962240800,1,Volyn Oblast,0,0,0.739446222782135,256.844482421875,2344.488037109375,12014.16796875,0,1,17,UKR,0,0,0,1037.343017578125,1013679,15880.013671875,807801.0625,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_3,14850775B13681962240800,1,Volyn Oblast,862.85980224609375,14848.2568359375,291.6947326660156,3314.4716796875,19.30073356628418,374.1085205078125,199,15,20,UKR,25182.177734375,697299.25,13003.7802734375,262464.15625,1013679,43.491756439208984,9778.1015625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B83802928232754_0,14850775B83802928232754,1,Rivne Oblast,1102.436767578125,7466.57373046875,0.28339022397994995,1062.802001953125,0,0,85,9,0,UKR,1901.4310302734375,276228.90625,0,39536.546875,1193329.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B83802928232754_1,14850775B83802928232754,1,Rivne Oblast,747.43609619140625,6196.25146484375,206.83645629882812,2486.163818359375,0,8.358888626098633,85,11,5,UKR,1849.4376220703125,240168.9375,14.10665225982666,75362.46875,1159676.125,0,1.2790571451187134,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
