system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
14850775B65901307765467_0,14850775B65901307765467,1,Kherson Oblast,20.432453155517578,1154.6748046875,426.05828857421875,1930.5347900390625,244.81993103027344,1269.6715087890625,11,2,4,UKR,468.3110046386719,52478.33984375,7980.6572265625,47256.01171875,1178332.75,61434.3828125,361617.6875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B65901307765467_1,14850775B65901307765467,1,Kherson Oblast,20.432453155517578,1154.6748046875,426.05828857421875,1930.5347900390625,244.81993103027344,1269.6715087890625,11,2,4,UKR,480.2069091796875,52368.01171875,5996.29638671875,39162.58203125,1021528.5625,55159.58984375,306294.25,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B65901307765467_2,14850775B65901307765467,1,Kherson Oblast,0,0,0,0,2492.890380859375,13357.0634765625,0,0,24,UKR,0,0,0,0,1021528.5625,81405.6015625,778138,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B65901307765467_3,14850775B65901307765467,1,Kherson Oblast,20.432453155517578,1154.6748046875,426.05828857421875,1930.5347900390625,1334.4271240234375,11007.626953125,11,2,28,UKR,480.2069091796875,52368.01171875,5996.29638671875,39162.58203125,1021528.5625,90719.7578125,670892.1875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_0,14850775B13681962240800,1,Volyn Oblast,866.05560302734375,15042.01171875,283.9122314453125,2975.07177734375,0,0,199,14,1,UKR,29897.26171875,745989.8125,11351.01171875,231194.890625,1046082.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_1,14850775B13681962240800,1,Volyn Oblast,866.05560302734375,15042.01171875,283.9122314453125,2975.07177734375,0,0,199,14,3,UKR,27236.681640625,714987.4375,10506.9658203125,232313.9375,1010263.4375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_2,14850775B13681962240800,1,Volyn Oblast,0,0,0.739446222782135,256.6544494628906,2282.27294921875,11962.2802734375,0,1,17,UKR,0,0,3.300151824951172,2754.080810546875,1010263.4375,62402.14453125,728007.5625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B13681962240800_3,14850775B13681962240800,1,Volyn Oblast,853.04620361328125,14797.6279296875,284.65167236328125,3231.726318359375,19.131267547607422,373.99853515625,199,15,20,UKR,27181.818359375,712284.875,10510.265625,235068.015625,1010263.4375,529.05865478515625,16630.921875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B83802928232754_0,14850775B83802928232754,1,Rivne Oblast,1084.2020263671875,7436.498046875,0.2780529856681824,1061.5360107421875,0,0,85,9,0,UKR,12285.953125,263737.15625,3.9775514602661133,39816.07421875,1173777.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
14850775B83802928232754_1,14850775B83802928232754,1,Rivne Oblast,733.508544921875,6173.71630859375,206.2342987060547,2473.568359375,0,8.358888626098633,85,11,5,UKR,7724.02392578125,236333.0625,1204.001708984375,79414.8359375,1146593.125,0,32.51225280761719,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
