system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
63759600B46141220358660_0,63759600B46141220358660,1,An Giang,0,0,0,0,0,0,0,0,0,VNM,0,0,0,0,1959904.875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B46141220358660_1,63759600B46141220358660,1,An Giang,0,0,0,0,0,0,0,0,0,VNM,0,0,0,0,2128960.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B46141220358660_2,63759600B46141220358660,1,An Giang,0,0,0,0,0,0,0,0,0,VNM,0,0,0,0,2128960.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B46141220358660_3,63759600B46141220358660,1,An Giang,0,0,0,0,0,0,0,0,0,VNM,0,0,0,0,2128960.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B21811289888982_0,63759600B21811289888982,1,Bà Rịa–Vũng Tàu,88.22089385986328,351.46099853515625,0,0,0,0,1,0,0,VNM,1490.1568603515625,85183.9453125,0,0,778966.875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B21811289888982_1,63759600B21811289888982,1,Bà Rịa–Vũng Tàu,88.22089385986328,351.46099853515625,0,0,0,0,1,0,0,VNM,3135.489990234375,133911.90625,0,0,1227270.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B21811289888982_2,63759600B21811289888982,1,Bà Rịa–Vũng Tàu,0,0,0,0,0,0,0,0,0,VNM,0,0,0,0,1227270.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B21811289888982_3,63759600B21811289888982,1,Bà Rịa–Vũng Tàu,88.22089385986328,351.46099853515625,0,0,0,0,1,0,0,VNM,3135.489990234375,133911.90625,0,0,1227270.625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B37262939240335_0,63759600B37262939240335,1,Bắc Giang,3.7417349815368652,341.8662414550781,0,0,0,0,1,0,0,VNM,232.43075561523438,42158.796875,0,0,1165956.875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B37262939240335_1,63759600B37262939240335,1,Bắc Giang,58.5579948425293,1059.91259765625,0,0,0,0,4,0,1,VNM,1322.94140625,117486.8125,0,0,1186873.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B37262939240335_2,63759600B37262939240335,1,Bắc Giang,0,0,0,0,0,0,0,0,0,VNM,0,0,0,0,1186873.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B37262939240335_3,63759600B37262939240335,1,Bắc Giang,58.5579948425293,1059.91259765625,0,0,0,0,4,0,1,VNM,1322.94140625,117486.8125,0,0,1186873.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B29118141744967_0,63759600B29118141744967,1,Bắc Kạn,3.8990564346313477,617.12860107421875,0,0,53.61468505859375,490.5243835449219,2,0,1,VNM,0,20282.25390625,0,0,274057.03125,1095.6492919921875,32880.23828125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
63759600B29118141744967_1,63759600B29118141744967,1,Bắc Kạn,3.8990564346313477,617.12860107421875,0,0,204.9347686767578,1728.35888671875,2,0,5,VNM,0,16586.763671875,0,0,286479.65625,2047.037841796875,94571.234375,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
