system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
32282491B7486560380604_0,32282491B7486560380604,1,Sanma,20.649288177490234,449.890380859375,0.045278068631887436,158.11495971679688,1.551246166229248,277.1439208984375,1,1,3,VUT,68.20710754394531,1517.61865234375,4.286633491516113,12496.8935546875,32295.658203125,37.210872650146484,3116.148193359375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B7486560380604_1,32282491B7486560380604,1,Sanma,20.649288177490234,449.890380859375,0.045278068631887436,158.11495971679688,1.551246166229248,277.1439208984375,1,1,3,VUT,98.345855712890625,2340.685791015625,9.341980934143066,20382.548828125,53586.16015625,101.53278350830078,5401.37646484375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B7486560380604_2,32282491B7486560380604,1,Sanma,0,0,0,0,31.880887985229492,340.0696716308594,0,0,1,VUT,0,0,0,0,53586.16015625,46.101234436035156,885.3272705078125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B7486560380604_3,32282491B7486560380604,1,Sanma,20.649288177490234,449.890380859375,0.045278068631887436,158.11495971679688,33.432132720947266,617.21356201171875,1,1,4,VUT,98.345855712890625,2340.685791015625,9.341980934143066,20382.548828125,53586.16015625,147.63401794433594,6286.70361328125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_0,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,5240.21142578125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_1,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,8272.7587890625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_2,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,8272.7587890625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B8417950609019_3,32282491B8417950609019,1,Torba,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,8272.7587890625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B78905986242135_0,32282491B78905986242135,1,Penama,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,22533.3671875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
32282491B78905986242135_1,32282491B78905986242135,1,Penama,0,0,0,0,0,0,0,0,0,VUT,0,0,0,0,30628.734375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
