system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
18629408B48104637123824_0,18629408B48104637123824,1,Sanʿaʾ,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1537834.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B48104637123824_1,18629408B48104637123824,1,Sanʿaʾ,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2742374.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B48104637123824_2,18629408B48104637123824,1,Sanʿaʾ,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2742374.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B48104637123824_3,18629408B48104637123824,1,Sanʿaʾ,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2742374.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B64822604790923_0,18629408B64822604790923,1,Sanʿaʾ Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,706314.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B64822604790923_1,18629408B64822604790923,1,Sanʿaʾ Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1252453.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B64822604790923_2,18629408B64822604790923,1,Sanʿaʾ Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1252453.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B64822604790923_3,18629408B64822604790923,1,Sanʿaʾ Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1252453.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B46389326189415_0,18629408B46389326189415,1,Lahij Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,647275.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B46389326189415_1,18629408B46389326189415,1,Lahij Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1121246.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B46389326189415_2,18629408B46389326189415,1,Lahij Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1121246.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B46389326189415_3,18629408B46389326189415,1,Lahij Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1121246.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11945654439238_0,18629408B11945654439238,1,‘Adan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,488159.21875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11945654439238_1,18629408B11945654439238,1,‘Adan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,896663.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11945654439238_2,18629408B11945654439238,1,‘Adan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,896663.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11945654439238_3,18629408B11945654439238,1,‘Adan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,896663.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B71394624267216_0,18629408B71394624267216,1,Al Hudaydah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1895328.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B71394624267216_1,18629408B71394624267216,1,Al Hudaydah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3312261,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B71394624267216_2,18629408B71394624267216,1,Al Hudaydah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3312261,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B71394624267216_3,18629408B71394624267216,1,Al Hudaydah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3312261,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B66245584752084_0,18629408B66245584752084,1,Ta'izz Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2148518.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B66245584752084_1,18629408B66245584752084,1,Ta'izz Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3681155.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B66245584752084_2,18629408B66245584752084,1,Ta'izz Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3681155.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B66245584752084_3,18629408B66245584752084,1,Ta'izz Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3681155.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8528421017910_0,18629408B8528421017910,1,Shabwah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,421701.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8528421017910_1,18629408B8528421017910,1,Shabwah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,726109.4375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8528421017910_2,18629408B8528421017910,1,Shabwah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,726109.4375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8528421017910_3,18629408B8528421017910,1,Shabwah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,726109.4375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B49078263925584_0,18629408B49078263925584,1,Hadhramaut,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,873438.9375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B49078263925584_1,18629408B49078263925584,1,Hadhramaut,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1541881.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B49078263925584_2,18629408B49078263925584,1,Hadhramaut,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1541881.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B49078263925584_3,18629408B49078263925584,1,Hadhramaut,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1541881.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B92684990065302_0,18629408B92684990065302,1,Abyan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,386999.78125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B92684990065302_1,18629408B92684990065302,1,Abyan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,678596.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B92684990065302_2,18629408B92684990065302,1,Abyan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,678596.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B92684990065302_3,18629408B92684990065302,1,Abyan Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,678596.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B7407331306690_0,18629408B7407331306690,1,Al Jawf Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,399474.84375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B7407331306690_1,18629408B7407331306690,1,Al Jawf Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,674840.3125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B7407331306690_2,18629408B7407331306690,1,Al Jawf Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,674840.3125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B7407331306690_3,18629408B7407331306690,1,Al Jawf Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,674840.3125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B5376796402494_0,18629408B5376796402494,1,Ibb Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1917272.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B5376796402494_1,18629408B5376796402494,1,Ibb Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3256584,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B5376796402494_2,18629408B5376796402494,1,Ibb Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3256584,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B5376796402494_3,18629408B5376796402494,1,Ibb Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,3256584,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B74393010790481_0,18629408B74393010790481,1,Al Bayda' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,518632.40625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B74393010790481_1,18629408B74393010790481,1,Al Bayda' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,885154.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B74393010790481_2,18629408B74393010790481,1,Al Bayda' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,885154.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B74393010790481_3,18629408B74393010790481,1,Al Bayda' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,885154.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11680885550387_0,18629408B11680885550387,1,Ad Dali' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,421786.65625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11680885550387_1,18629408B11680885550387,1,Ad Dali' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,729331.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11680885550387_2,18629408B11680885550387,1,Ad Dali' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,729331.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B11680885550387_3,18629408B11680885550387,1,Ad Dali' Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,729331.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B38984328739410_0,18629408B38984328739410,1,Al Mahwit Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,443495.71875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B38984328739410_1,18629408B38984328739410,1,Al Mahwit Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,763249.3125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B38984328739410_2,18629408B38984328739410,1,Al Mahwit Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,763249.3125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B38984328739410_3,18629408B38984328739410,1,Al Mahwit Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,763249.3125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B52441229698015_0,18629408B52441229698015,1,Sa'dah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,616564.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B52441229698015_1,18629408B52441229698015,1,Sa'dah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1061342.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B52441229698015_2,18629408B52441229698015,1,Sa'dah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1061342.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B52441229698015_3,18629408B52441229698015,1,Sa'dah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1061342.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8726373480353_0,18629408B8726373480353,1,Hajjah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1327015.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8726373480353_1,18629408B8726373480353,1,Hajjah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2269952,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8726373480353_2,18629408B8726373480353,1,Hajjah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2269952,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B8726373480353_3,18629408B8726373480353,1,Hajjah Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2269952,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B61413037281915_0,18629408B61413037281915,1,Dhamar Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,1193488.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B61413037281915_1,18629408B61413037281915,1,Dhamar Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2043625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B61413037281915_2,18629408B61413037281915,1,Dhamar Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2043625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B61413037281915_3,18629408B61413037281915,1,Dhamar Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,2043625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
18629408B98087459973468_0,18629408B98087459973468,1,'Amran Governorate,0,0,0,0,0,0,0,0,0,YEM,0,0,0,0,787125.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
