system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
88200057B51719638002761_0,88200057B51719638002761,1,Bulawayo,0,0,0,0,0,0,0,0,0,ZWE,0,0,0,0,709845,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B51719638002761_1,88200057B51719638002761,1,Bulawayo,0,0,0,0,0,0,0,0,0,ZWE,0,0,0,0,587443.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B51719638002761_2,88200057B51719638002761,1,Bulawayo,0,0,0,0,0,0,0,0,0,ZWE,0,0,0,0,587443.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B51719638002761_3,88200057B51719638002761,1,Bulawayo,0,0,0,0,0,0,0,0,0,ZWE,0,0,0,0,587443.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B87996012089813_0,88200057B87996012089813,1,Harare,1.746538519859314,152.35020446777344,0,0,0,0,1,0,0,ZWE,90.127227783203125,276604.75,0,0,1941974.625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B87996012089813_1,88200057B87996012089813,1,Harare,1.746538519859314,152.35020446777344,0,0,15.437783241271973,532.835205078125,1,0,3,ZWE,59.66998291015625,348621.84375,0,0,2094206.625,3849.8994140625,1255018.625,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B87996012089813_2,88200057B87996012089813,1,Harare,0,0,0,0,0,0,0,0,0,ZWE,0,0,0,0,2094206.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B87996012089813_3,88200057B87996012089813,1,Harare,1.746538519859314,152.35020446777344,0,0,15.437783241271973,532.835205078125,1,0,3,ZWE,59.66998291015625,348621.84375,0,0,2094206.625,3849.8994140625,1255018.625,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B32763847551562_0,88200057B32763847551562,1,Manicaland,261.76751708984375,1089.776123046875,508.4985656738281,2271.533203125,282.73089599609375,944.105712890625,1,4,3,ZWE,39.263145446777344,99690.515625,2645.73583984375,71068.1015625,1601841,3411.31640625,37268.5703125,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
88200057B32763847551562_1,88200057B32763847551562,1,Manicaland,261.76751708984375,1089.776123046875,508.4985656738281,2271.533203125,515.1949462890625,1843.829833984375,1,4,10,ZWE,48.293495178222656,114888.5859375,3349.7646484375,117377.9453125,2164026.25,18174.685546875,96053.28125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
