system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
12653393B40111500734429_0,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,820327.9375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40111500734429_1,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1394168.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40111500734429_2,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1394168.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40111500734429_3,12653393B40111500734429,1,Kandahar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1394168.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_0,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,267027.875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_1,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,338362.78125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_2,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,338362.78125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B56617740339660_3,12653393B56617740339660,1,Zabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,338362.78125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_0,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,273452.875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_1,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,393045.8125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_2,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,393045.8125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B46006342616872_3,12653393B46006342616872,1,Uruzgan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,393045.8125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_0,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,376929.625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_1,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,554114.8125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_2,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,554114.8125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B78791504725813_3,12653393B78791504725813,1,Daykundi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,554114.8125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B29313712249365_0,12653393B29313712249365,1,Ghanzi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1629385.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B29313712249365_1,12653393B29313712249365,1,Ghanzi,357.36846923828125,1346.8289794921875,0,0,0,0,1,0,0,AFG,5191.20166015625,23253.599609375,0,0,909101.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B29313712249365_2,12653393B29313712249365,1,Ghanzi,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,909101.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B29313712249365_3,12653393B29313712249365,1,Ghanzi,357.36846923828125,1346.8289794921875,0,0,0,0,1,0,0,AFG,5191.20166015625,23253.599609375,0,0,909101.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B93572570471663_0,12653393B93572570471663,1,Paktika,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,345218.46875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B93572570471663_1,12653393B93572570471663,1,Paktika,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,479179.40625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B93572570471663_2,12653393B93572570471663,1,Paktika,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,479179.40625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B93572570471663_3,12653393B93572570471663,1,Paktika,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,479179.40625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66876919073955_0,12653393B66876919073955,1,Khost,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,302070.1875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66876919073955_1,12653393B66876919073955,1,Khost,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,825923.5625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66876919073955_2,12653393B66876919073955,1,Khost,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,825923.5625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66876919073955_3,12653393B66876919073955,1,Khost,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,825923.5625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B16859990709200_0,12653393B16859990709200,1,Paktia,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,403895.59375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B16859990709200_1,12653393B16859990709200,1,Paktia,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,632092,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B16859990709200_2,12653393B16859990709200,1,Paktia,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,632092,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B16859990709200_3,12653393B16859990709200,1,Paktia,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,632092,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B769191277822_0,12653393B769191277822,1,Logar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,299679.78125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B769191277822_1,12653393B769191277822,1,Logar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,485468.59375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B769191277822_2,12653393B769191277822,1,Logar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,485468.59375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B769191277822_3,12653393B769191277822,1,Logar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,485468.59375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B94990201402617_0,12653393B94990201402617,1,Wardak,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,359386.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B94990201402617_1,12653393B94990201402617,1,Wardak,58.22846221923828,503.5617370605469,0,0,0,0,1,0,0,AFG,758.0584716796875,19906.986328125,0,0,623511.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B94990201402617_2,12653393B94990201402617,1,Wardak,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,623511.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B94990201402617_3,12653393B94990201402617,1,Wardak,58.22846221923828,503.5617370605469,0,0,0,0,1,0,0,AFG,758.0584716796875,19906.986328125,0,0,623511.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B60423242182357_0,12653393B60423242182357,1,Kabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,2867854.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B60423242182357_1,12653393B60423242182357,1,Kabul,1.569604516029358,377.2674255371094,0,0,0,0,1,0,0,AFG,17879.478515625,3116616.75,0,0,4807873.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B60423242182357_2,12653393B60423242182357,1,Kabul,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,4807873.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B60423242182357_3,12653393B60423242182357,1,Kabul,1.569604516029358,377.2674255371094,0,0,0,0,1,0,0,AFG,17879.478515625,3116616.75,0,0,4807873.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B37348667052817_0,12653393B37348667052817,1,Nangarhar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1054289.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B37348667052817_1,12653393B37348667052817,1,Nangarhar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1773399.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B37348667052817_2,12653393B37348667052817,1,Nangarhar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1773399.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B37348667052817_3,12653393B37348667052817,1,Nangarhar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,1773399.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B74990608680346_0,12653393B74990608680346,1,Laghman,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,288666.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B74990608680346_1,12653393B74990608680346,1,Laghman,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,516543.15625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B74990608680346_2,12653393B74990608680346,1,Laghman,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,516543.15625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B74990608680346_3,12653393B74990608680346,1,Laghman,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,516543.15625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B3541911159736_0,12653393B3541911159736,1,Kapisa,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,332313.9375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B3541911159736_1,12653393B3541911159736,1,Kapisa,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,446787.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B3541911159736_2,12653393B3541911159736,1,Kapisa,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,446787.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B3541911159736_3,12653393B3541911159736,1,Kapisa,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,446787.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66863807863315_0,12653393B66863807863315,1,Parwan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,607961.3125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66863807863315_1,12653393B66863807863315,1,Parwan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,757410.9375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66863807863315_2,12653393B66863807863315,1,Parwan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,757410.9375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B66863807863315_3,12653393B66863807863315,1,Parwan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,757410.9375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B47875238778335_0,12653393B47875238778335,1,Panjshir,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,78750.859375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B47875238778335_1,12653393B47875238778335,1,Panjshir,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,95791.7265625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B47875238778335_2,12653393B47875238778335,1,Panjshir,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,95791.7265625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B47875238778335_3,12653393B47875238778335,1,Panjshir,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,95791.7265625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B2374338391952_0,12653393B2374338391952,1,Kunar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,301054.65625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B2374338391952_1,12653393B2374338391952,1,Kunar,0,0,50.099239349365234,363.3829650878906,0,0,0,1,0,AFG,0,0,2524.982421875,21512.94140625,510340.78125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B2374338391952_2,12653393B2374338391952,1,Kunar,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,510340.78125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B2374338391952_3,12653393B2374338391952,1,Kunar,0,0,50.099239349365234,363.3829650878906,0,0,0,1,0,AFG,0,0,2524.982421875,21512.94140625,510340.78125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B50755551382850_0,12653393B50755551382850,1,Nuristan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,95823.171875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B50755551382850_1,12653393B50755551382850,1,Nuristan,0,0,4006.421142578125,1748.1326904296875,0,0,0,1,0,AFG,0,0,53165.98828125,35169.2890625,149838.5,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B50755551382850_2,12653393B50755551382850,1,Nuristan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,149838.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B50755551382850_3,12653393B50755551382850,1,Nuristan,0,0,4006.421142578125,1748.1326904296875,0,0,0,1,0,AFG,0,0,53165.98828125,35169.2890625,149838.5,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B95407416206470_0,12653393B95407416206470,1,Baghlan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,705562.4375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B95407416206470_1,12653393B95407416206470,1,Baghlan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,945800.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B95407416206470_2,12653393B95407416206470,1,Baghlan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,945800.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B95407416206470_3,12653393B95407416206470,1,Baghlan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,945800.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40451261903281_0,12653393B40451261903281,1,Bamyan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,325615.71875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40451261903281_1,12653393B40451261903281,1,Bamyan,3821.249267578125,2560.984619140625,599.778564453125,1509.110107421875,0,0,2,1,0,AFG,34615.6328125,106136.5546875,5633.94873046875,17240.66796875,512020.125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40451261903281_2,12653393B40451261903281,1,Bamyan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,512020.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B40451261903281_3,12653393B40451261903281,1,Bamyan,3821.249267578125,2560.984619140625,599.778564453125,1509.110107421875,0,0,2,1,0,AFG,34615.6328125,106136.5546875,5633.94873046875,17240.66796875,512020.125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B17428819721147_0,12653393B17428819721147,1,Samangan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,275342.53125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B17428819721147_1,12653393B17428819721147,1,Samangan,0,364.2651672363281,0,0,0,0,1,0,0,AFG,0,5805.78515625,0,0,400597.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B17428819721147_2,12653393B17428819721147,1,Samangan,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,400597.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B17428819721147_3,12653393B17428819721147,1,Samangan,0,364.2651672363281,0,0,0,0,1,0,0,AFG,0,5805.78515625,0,0,400597.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B86260556017558_0,12653393B86260556017558,1,Kunduz,0,0,0,0,0,0,0,0,0,AFG,0,0,0,0,942984.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
12653393B86260556017558_1,12653393B86260556017558,1,Kunduz,401.4708251953125,797.8907470703125,0,0,0,0,1,0,0,AFG,63697.82421875,117202.09375,0,0,891330.9375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
