system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
87207978B95213924600823_0,87207978B95213924600823,1,Gitega,0,0,0,21.673259735107422,0,0,0,1,0,BDI,0,0,0,1385.67578125,607191.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B95213924600823_1,87207978B95213924600823,1,Gitega,0,0,0,21.673259735107422,0,0,0,1,0,BDI,0,0,0,4031.79052734375,1002869,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B95213924600823_2,87207978B95213924600823,1,Gitega,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,1002869,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B95213924600823_3,87207978B95213924600823,1,Gitega,0,0,0,21.673259735107422,0,0,0,1,0,BDI,0,0,0,4031.79052734375,1002869,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_0,87207978B16018837471159,1,Kirundo,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,489639.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_1,87207978B16018837471159,1,Kirundo,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,960506,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_2,87207978B16018837471159,1,Kirundo,0,0,0,0,38.685184478759766,1138.7359619140625,0,0,2,BDI,0,0,0,0,960506,8602.0732421875,734954.6875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_3,87207978B16018837471159,1,Kirundo,0,0,0,0,38.685184478759766,1138.7359619140625,0,0,2,BDI,0,0,0,0,960506,8602.0732421875,734954.6875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B26491438187770_0,87207978B26491438187770,1,Muyinga,0,0,93.52732849121094,406.0615234375,0,0,0,1,0,BDI,0,0,492.6712951660156,82452.59375,467662.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B26491438187770_1,87207978B26491438187770,1,Muyinga,0,0,93.52732849121094,406.0615234375,0,0,0,1,0,BDI,0,0,308.9234924316406,172008.453125,1039465.1875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B26491438187770_2,87207978B26491438187770,1,Muyinga,0,0,0,0,1.875160813331604,228.69190979003906,0,0,1,BDI,0,0,0,0,1039465.1875,163.22079467773438,167972.171875,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B26491438187770_3,87207978B26491438187770,1,Muyinga,0,0,93.52732849121094,406.0615234375,1.875160813331604,228.69190979003906,0,1,1,BDI,0,0,308.9234924316406,172008.453125,1039465.1875,163.22079467773438,167972.171875,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B61642532121810_0,87207978B61642532121810,1,Ngozi,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,577408.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B61642532121810_1,87207978B61642532121810,1,Ngozi,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,879950.4375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B61642532121810_2,87207978B61642532121810,1,Ngozi,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,879950.4375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B61642532121810_3,87207978B61642532121810,1,Ngozi,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,879950.4375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B35376687740120_0,87207978B35376687740120,1,Makamba,0,0,0.02675272896885872,144.01156616210938,0,0,0,2,0,BDI,0,0,0,13493.8203125,342801.59375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B35376687740120_1,87207978B35376687740120,1,Makamba,0,0,0.02675272896885872,144.01156616210938,0,0,0,2,0,BDI,0,0,0,37794.234375,625856.875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B35376687740120_2,87207978B35376687740120,1,Makamba,0,0,0,0,1.0321953296661377,364.3042907714844,0,0,1,BDI,0,0,0,0,625856.875,13.280693054199219,145979.59375,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
