system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
87207978B95213924600823_0,87207978B95213924600823,1,Gitega,0,0,0,21.673259735107422,0,0,0,1,0,BDI,0,0,0,5035.615234375,638479.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B95213924600823_1,87207978B95213924600823,1,Gitega,0,0,0,21.673259735107422,0,0,0,1,0,BDI,0,0,0,9501.39453125,890113.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B95213924600823_2,87207978B95213924600823,1,Gitega,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,890113.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B95213924600823_3,87207978B95213924600823,1,Gitega,0,0,0,21.673259735107422,0,0,0,1,0,BDI,0,0,0,9501.39453125,890113.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_0,87207978B16018837471159,1,Kirundo,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,507430.6875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_1,87207978B16018837471159,1,Kirundo,0,0,0,0,0,0,0,0,0,BDI,0,0,0,0,851405.5625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_2,87207978B16018837471159,1,Kirundo,0,0,0,0,35.99489974975586,1136.5872802734375,0,0,2,BDI,0,0,0,0,851405.5625,18872.869140625,661638.8125,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B16018837471159_3,87207978B16018837471159,1,Kirundo,0,0,0,0,35.99489974975586,1136.5872802734375,0,0,2,BDI,0,0,0,0,851405.5625,18872.869140625,661638.8125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B26491438187770_0,87207978B26491438187770,1,Muyinga,0,0,93.42505645751953,405.09576416015625,0,0,0,1,0,BDI,0,0,12117.4423828125,87097.0078125,490315.53125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
87207978B26491438187770_1,87207978B26491438187770,1,Muyinga,0,0,93.42505645751953,405.09576416015625,0,0,0,1,0,BDI,0,0,19130.435546875,133928.921875,1045225.5625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
