system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
92566538B14190085014946_0,92566538B14190085014946,1,Centre,0,0,0,0,302.3720397949219,699.93621826171875,0,0,2,BFA,0,0,0,0,1191283.125,26124.796875,706360.625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B14190085014946_1,92566538B14190085014946,1,Centre,0,0,0,0,370.0882568359375,1046.26318359375,0,0,4,BFA,0,0,0,0,4203111,103181.0234375,3376203.25,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B14190085014946_2,92566538B14190085014946,1,Centre,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,4203111,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B14190085014946_3,92566538B14190085014946,1,Centre,0,0,0,0,370.0882568359375,1046.26318359375,0,0,4,BFA,0,0,0,0,4203111,103181.0234375,3376203.25,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_0,92566538B5930876876994,1,Boucle du Mouhoun,0,0,617.208984375,938.48687744140625,1134.5321044921875,4599.4716796875,0,1,21,BFA,0,0,12642.138671875,49759.49609375,1274088.5,32784.31640625,182947.640625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_1,92566538B5930876876994,1,Boucle du Mouhoun,653.7159423828125,2186.0537109375,617.208984375,938.48687744140625,712.92108154296875,3770.97314453125,1,1,23,BFA,24141.8359375,116936.0703125,13215.4248046875,77908.0625,1936466.25,36534.4296875,242399.15625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_2,92566538B5930876876994,1,Boucle du Mouhoun,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1936466.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B5930876876994_3,92566538B5930876876994,1,Boucle du Mouhoun,653.7159423828125,2186.0537109375,617.208984375,938.48687744140625,712.92108154296875,3770.97314453125,1,1,23,BFA,24141.8359375,116936.0703125,13215.4248046875,77908.0625,1936466.25,36534.4296875,242399.15625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_0,92566538B65696039363280,1,Cascades,0,0,0,0,1808.865966796875,8032.94580078125,0,0,14,BFA,0,0,0,0,398860.53125,16067.22265625,170491.640625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_1,92566538B65696039363280,1,Cascades,1206.8824462890625,1010.8637084960938,0,0,1819.5111083984375,8160.47021484375,1,0,17,BFA,33509.703125,40894.87890625,0,0,1138958.25,78220.71875,551930.5625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_2,92566538B65696039363280,1,Cascades,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1138958.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B65696039363280_3,92566538B65696039363280,1,Cascades,1206.8824462890625,1010.8637084960938,0,0,1819.5111083984375,8160.47021484375,1,0,17,BFA,33509.703125,40894.87890625,0,0,1138958.25,78220.71875,551930.5625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_0,92566538B37033565003987,1,Centre-Est,3.737380320671946e-4,455.1620178222656,0,10.459612846374512,25.116186141967773,971.734130859375,1,1,4,BFA,0.0040838527493178844,10212.8349609375,0,368.0450134277344,952411.625,2193.210693359375,72507.9765625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_1,92566538B37033565003987,1,Centre-Est,3.737380320671946e-4,455.1620178222656,0,10.459612846374512,300.5911865234375,2739.518310546875,1,1,10,BFA,0.017990048974752426,16707.6640625,0,505.12640380859375,1724017.125,34133.11328125,323800.34375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_2,92566538B37033565003987,1,Centre-Est,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1724017.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B37033565003987_3,92566538B37033565003987,1,Centre-Est,3.737380320671946e-4,455.1620178222656,0,10.459612846374512,300.5911865234375,2739.518310546875,1,1,10,BFA,0.017990048974752426,16707.6640625,0,505.12640380859375,1724017.125,34133.11328125,323800.34375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B59117792838125_0,92566538B59117792838125,1,Centre-Nord,0,0,0,0,27.94358253479004,1446.1046142578125,0,0,5,BFA,0,0,0,0,1026511.5625,2274.381591796875,107871.328125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B59117792838125_1,92566538B59117792838125,1,Centre-Nord,0,0,0,0,292.6894226074219,3428.309326171875,0,0,10,BFA,0,0,0,0,1731433.375,41974.29296875,380600.625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B59117792838125_2,92566538B59117792838125,1,Centre-Nord,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1731433.375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B59117792838125_3,92566538B59117792838125,1,Centre-Nord,0,0,0,0,292.6894226074219,3428.309326171875,0,0,10,BFA,0,0,0,0,1731433.375,41974.29296875,380600.625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57875752774417_0,92566538B57875752774417,1,Centre-Ouest,0,0,426.65850830078125,872.31365966796875,1297.7596435546875,3101.744140625,0,2,12,BFA,0,0,4095.53759765625,18153.740234375,1053606.25,25520.955078125,90819.265625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57875752774417_1,92566538B57875752774417,1,Centre-Ouest,634.19683837890625,1143.25048828125,426.65850830078125,872.31365966796875,662.4068603515625,1961.34912109375,1,2,13,BFA,19449.462890625,78437.765625,16986.96484375,47372.73046875,1710395.625,22259.046875,95468.203125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57875752774417_2,92566538B57875752774417,1,Centre-Ouest,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,1710395.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57875752774417_3,92566538B57875752774417,1,Centre-Ouest,634.19683837890625,1143.25048828125,426.65850830078125,872.31365966796875,662.4068603515625,1961.34912109375,1,2,13,BFA,19449.462890625,78437.765625,16986.96484375,47372.73046875,1710395.625,22259.046875,95468.203125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B49759193106183_0,92566538B49759193106183,1,Centre-Sud,0,0,1271.7232666015625,2190.02783203125,1389.402587890625,2131.4677734375,0,1,6,BFA,0,0,20774.388671875,74249.6640625,570499,32832.3515625,113194.5703125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B49759193106183_1,92566538B49759193106183,1,Centre-Sud,0,0,1271.7232666015625,2190.02783203125,1518.76318359375,2757.62646484375,0,1,10,BFA,0,0,43357.09375,122570.1484375,879502.3125,88833.2890625,245467.65625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B49759193106183_2,92566538B49759193106183,1,Centre-Sud,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,879502.3125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B49759193106183_3,92566538B49759193106183,1,Centre-Sud,0,0,1271.7232666015625,2190.02783203125,1518.76318359375,2757.62646484375,0,1,10,BFA,0,0,43357.09375,122570.1484375,879502.3125,88833.2890625,245467.65625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57532963969301_0,92566538B57532963969301,1,Est,2606.270751953125,2254.15478515625,2342.38818359375,1363.6629638671875,0,0.9155914783477783,2,1,1,BFA,13667.8623046875,25127.62890625,8869.4248046875,27489.16796875,977940.5,0,60.39818572998047,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57532963969301_1,92566538B57532963969301,1,Est,2374.1708984375,1675.0706787109375,4505.92138671875,4140.466796875,731.59344482421875,2709.387939453125,2,2,13,BFA,61183.51953125,64907.375,78437.046875,144139.921875,2026731.25,15946.326171875,114072.9375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57532963969301_2,92566538B57532963969301,1,Est,0,0,0,0,0,0,0,0,0,BFA,0,0,0,0,2026731.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B57532963969301_3,92566538B57532963969301,1,Est,2374.1708984375,1675.0706787109375,4505.92138671875,4140.466796875,731.59344482421875,2709.387939453125,2,2,13,BFA,61183.51953125,64907.375,78437.046875,144139.921875,2026731.25,15946.326171875,114072.9375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B19127906733451_0,92566538B19127906733451,1,Hauts-Bassins,0,0,6.315395355224609,354.5299377441406,1692.5465087890625,7035.79931640625,0,1,25,BFA,0,0,96.33685302734375,7711.10888671875,1181493.875,71200.7109375,499468.96875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
92566538B19127906733451_1,92566538B19127906733451,1,Hauts-Bassins,0,0,6.315395355224609,354.5299377441406,1692.5465087890625,7035.79931640625,0,1,25,BFA,0,0,189.43411254882812,15937.6357421875,2472401.25,145714.234375,1146902.875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
