system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
26024454B17172096462676_0,26024454B17172096462676,1,Beni,1401.654052734375,3679.792236328125,0,0,32281.068359375,16440.181640625,3,0,16,BOL,1492.5662841796875,3649.720458984375,0,0,354840.6875,46346.4453125,102253.1953125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B17172096462676_1,26024454B17172096462676,1,Beni,1401.654052734375,3679.792236328125,0,0,38441.53125,20217.1171875,3,0,18,BOL,1609.2032470703125,3784.616943359375,0,0,475467.59375,70729.1875,161155.34375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B17172096462676_2,26024454B17172096462676,1,Beni,0,0,0,0,2350.15576171875,4820.96826171875,0,0,3,BOL,0,0,0,0,475467.59375,66856.3359375,56796.16015625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B17172096462676_3,26024454B17172096462676,1,Beni,1401.654052734375,3679.792236328125,0,0,39453.5,21461.138671875,3,0,21,BOL,1609.2032470703125,3784.616943359375,0,0,475467.59375,136050.375,120475.375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B30905576957948_0,26024454B30905576957948,1,Chuquisaca,0,0,0,0,675.67181396484375,1902.6033935546875,0,0,3,BOL,0,0,0,0,524456.4375,71275.5234375,83282.8046875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B30905576957948_1,26024454B30905576957948,1,Chuquisaca,0,0,0,0,3913.671142578125,7308.48876953125,0,0,13,BOL,0,0,0,0,623865.3125,124740.09375,139762.71875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B30905576957948_2,26024454B30905576957948,1,Chuquisaca,0,528.3310546875,0,0,0,113.13410186767578,1,0,1,BOL,0,155.11009216308594,0,0,623865.3125,0,436.09710693359375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B30905576957948_3,26024454B30905576957948,1,Chuquisaca,0,528.3310546875,0,0,3913.671142578125,7412.6064453125,1,0,14,BOL,0,155.11009216308594,0,0,623865.3125,124740.09375,140143.15625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B59884138823050_0,26024454B59884138823050,1,Cochabamba,0,0,0,0,13673.548828125,12080.6015625,0,0,15,BOL,0,0,0,0,1417190.125,230604.453125,786526.0625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B59884138823050_1,26024454B59884138823050,1,Cochabamba,0,0,0,0,16032.697265625,13205.80859375,0,0,26,BOL,0,0,0,0,2033679.25,643557.9375,1046541.125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B59884138823050_2,26024454B59884138823050,1,Cochabamba,0,0,0,0,0,362.7531433105469,0,0,1,BOL,0,0,0,0,2033679.25,0,682.5794677734375,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B59884138823050_3,26024454B59884138823050,1,Cochabamba,0,0,0,0,16032.697265625,13568.5615234375,0,0,27,BOL,0,0,0,0,2033679.25,643557.9375,1047223.6875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78392246351569_0,26024454B78392246351569,1,La Paz,2290.74560546875,3254.431640625,0,0,25788.271484375,12122.380859375,2,0,38,BOL,29398.8046875,164007.796875,0,0,2312163.75,190907.203125,959819.6875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78392246351569_1,26024454B78392246351569,1,La Paz,2290.74560546875,3254.431640625,0,0,26235.67578125,13034.1572265625,2,0,42,BOL,22905.978515625,129525.1640625,0,0,3084523.75,194392.390625,1297683,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78392246351569_2,26024454B78392246351569,1,La Paz,0,0,0,0,23.345577239990234,1103.4415283203125,0,0,7,BOL,0,0,0,0,3084523.75,53132.984375,1462374.75,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78392246351569_3,26024454B78392246351569,1,La Paz,2290.74560546875,3254.431640625,0,0,26258.0390625,13485.693359375,2,0,49,BOL,22905.978515625,129525.1640625,0,0,3084523.75,244304.234375,1490082.25,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78289653685394_0,26024454B78289653685394,1,Oruro,0,0,0,0,1306.6627197265625,1999.187255859375,0,0,4,BOL,0,0,0,0,383339.03125,103671.3203125,115466.0703125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78289653685394_1,26024454B78289653685394,1,Oruro,0,0,0,0,1323.055908203125,3956.31689453125,0,0,5,BOL,0,0,0,0,593590.5625,184212.484375,180595.109375,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78289653685394_2,26024454B78289653685394,1,Oruro,0,0,0,0,0,0,0,0,0,BOL,0,0,0,0,593590.5625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B78289653685394_3,26024454B78289653685394,1,Oruro,0,0,0,0,1323.055908203125,3956.31689453125,0,0,5,BOL,0,0,0,0,593590.5625,184212.484375,180595.109375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B66401228554177_0,26024454B66401228554177,1,Pando,0,0,0,0,7383.6005859375,3931.080810546875,0,0,3,BOL,0,0,0,0,48896.12109375,1817.6800537109375,3948.024658203125,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B66401228554177_1,26024454B66401228554177,1,Pando,0,0,0,0,8094.0712890625,4570.10546875,0,0,4,BOL,0,0,0,0,192907.921875,5534.67724609375,16295.4326171875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B66401228554177_2,26024454B66401228554177,1,Pando,0,0,0,0,41.388946533203125,221.98965454101562,0,0,1,BOL,0,0,0,0,192907.921875,48051.05078125,24327.701171875,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B66401228554177_3,26024454B66401228554177,1,Pando,0,0,0,0,8135.46044921875,4792.09521484375,0,0,5,BOL,0,0,0,0,192907.921875,53585.7265625,40623.1328125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B37550803023778_0,26024454B37550803023778,1,Potosí,0,0,0,0,8471.08984375,5171.54248046875,0,0,6,BOL,0,0,0,0,697417.8125,4373.32568359375,9714.6201171875,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B37550803023778_1,26024454B37550803023778,1,Potosí,0,0,0,0,8471.08984375,5171.54248046875,0,0,6,BOL,0,0,0,0,935913.3125,6121.8037109375,13782.5556640625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B37550803023778_2,26024454B37550803023778,1,Potosí,0,0,0,0,0,0,0,0,0,BOL,0,0,0,0,935913.3125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B37550803023778_3,26024454B37550803023778,1,Potosí,0,0,0,0,8471.08984375,5171.54248046875,0,0,6,BOL,0,0,0,0,935913.3125,6121.8037109375,13782.5556640625,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B26939592883549_0,26024454B26939592883549,1,Santa Cruz,0,0,0,0,113453.78125,31889.3125,0,0,19,BOL,0,0,0,0,1953610.5,55557.54296875,431044.65625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B26939592883549_1,26024454B26939592883549,1,Santa Cruz,0,0,0,0,124171.765625,43962.8125,0,0,38,BOL,0,0,0,0,3248356,127344.1328125,870013.1875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B26939592883549_2,26024454B26939592883549,1,Santa Cruz,0,0,0,0,8606.681640625,8745.251953125,0,0,6,BOL,0,0,0,0,3248356,1257480.5,595391.5625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B26939592883549_3,26024454B26939592883549,1,Santa Cruz,0,0,0,0,132777.265625,50349.28125,0,0,44,BOL,0,0,0,0,3248356,1384824.375,872219.25,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B43037921046937_0,26024454B43037921046937,1,Tarija,0,0,0,0,4876.00732421875,8228.1787109375,0,0,6,BOL,0,0,0,0,380491.28125,32011.03515625,201394.984375,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B43037921046937_1,26024454B43037921046937,1,Tarija,0,0,0,0,5037.71142578125,8969.3154296875,0,0,8,BOL,0,0,0,0,565880.25,146377.859375,244037.0625,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B43037921046937_2,26024454B43037921046937,1,Tarija,1311.4080810546875,781.19970703125,0,0,101.53730010986328,932.1988525390625,1,0,2,BOL,918.82989501953125,591.32843017578125,0,0,565880.25,447.1983642578125,5389.49462890625,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
26024454B43037921046937_3,26024454B43037921046937,1,Tarija,1311.4080810546875,781.19970703125,0,0,5139.24853515625,9592.1923828125,1,0,10,BOL,918.82989501953125,591.32843017578125,0,0,565880.25,146825.0625,245683.9375,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
