system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
66845921B97990669910096_0,66845921B97990669910096,1,Trashigang,834.52349853515625,594.61810302734375,0,0,0,0,4,0,0,BTN,3181.284423828125,7240.63037109375,0,0,49386.921875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B97990669910096_1,66845921B97990669910096,1,Trashigang,834.52349853515625,594.61810302734375,0,0,0,0,4,0,0,BTN,4303.9794921875,9571.6689453125,0,0,63344.62890625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B97990669910096_2,66845921B97990669910096,1,Trashigang,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,63344.62890625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B97990669910096_3,66845921B97990669910096,1,Trashigang,834.52349853515625,594.61810302734375,0,0,0,0,4,0,0,BTN,4303.9794921875,9571.6689453125,0,0,63344.62890625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B83925222569127_0,66845921B83925222569127,1,Trashiyangtse,706.267578125,500.08551025390625,0,0,0,0,3,0,0,BTN,796.86944580078125,6392.27294921875,0,0,17411.12109375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B83925222569127_1,66845921B83925222569127,1,Trashiyangtse,706.267578125,500.08551025390625,0,0,0,0,3,0,0,BTN,883.8760986328125,9025.5771484375,0,0,23085.8828125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B83925222569127_2,66845921B83925222569127,1,Trashiyangtse,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,23085.8828125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B83925222569127_3,66845921B83925222569127,1,Trashiyangtse,706.267578125,500.08551025390625,0,0,0,0,3,0,0,BTN,883.8760986328125,9025.5771484375,0,0,23085.8828125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B85706545486898_0,66845921B85706545486898,1,Mongar,65.75997161865234,213.98886108398438,212.6479034423828,394.9820556640625,0,0,3,2,0,BTN,27.987428665161133,2915.60302734375,207.89100646972656,12733.2587890625,36773.34375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B85706545486898_1,66845921B85706545486898,1,Mongar,65.75997161865234,213.98886108398438,212.6479034423828,394.9820556640625,0,0,3,2,0,BTN,16.136188507080078,4416.431640625,358.067138671875,17393.935546875,50401.8828125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B85706545486898_2,66845921B85706545486898,1,Mongar,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,50401.8828125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B85706545486898_3,66845921B85706545486898,1,Mongar,65.75997161865234,213.98886108398438,212.6479034423828,394.9820556640625,0,0,3,2,0,BTN,16.136188507080078,4416.431640625,358.067138671875,17393.935546875,50401.8828125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B11724657218086_0,66845921B11724657218086,1,Lhuntse,923.9229736328125,641.8685302734375,207.75668334960938,552.8328857421875,0,0,2,1,0,BTN,563.93609619140625,3869.802490234375,13.273722648620605,9118.74609375,13858.708984375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B11724657218086_1,66845921B11724657218086,1,Lhuntse,494.6211853027344,155.22605895996094,1208.9010009765625,1057.6214599609375,0,0,2,2,0,BTN,254.06198120117188,3498.039306640625,1280.8734130859375,12336.5439453125,17369.517578125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B11724657218086_2,66845921B11724657218086,1,Lhuntse,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,17369.517578125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B11724657218086_3,66845921B11724657218086,1,Lhuntse,494.6211853027344,155.22605895996094,1208.9010009765625,1057.6214599609375,0,0,2,2,0,BTN,254.06198120117188,3498.039306640625,1280.8734130859375,12336.5439453125,17369.517578125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B56477857686012_0,66845921B56477857686012,1,Bumthang,0,27.771949768066406,373.29388427734375,584.8131103515625,0,0,2,1,0,BTN,0,0,269.40972900390625,6737.6357421875,15027.7177734375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B56477857686012_1,66845921B56477857686012,1,Bumthang,0,3.467149257659912,1927.7724609375,801.5218505859375,0,0,2,2,0,BTN,0,0,1631.4793701171875,16645.234375,20014.943359375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B56477857686012_2,66845921B56477857686012,1,Bumthang,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,20014.943359375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B56477857686012_3,66845921B56477857686012,1,Bumthang,0,3.467149257659912,1927.7724609375,801.5218505859375,0,0,2,2,0,BTN,0,0,1631.4793701171875,16645.234375,20014.943359375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B74484063825186_0,66845921B74484063825186,1,Sarpang,362.3852233886719,440.3197021484375,235.73497009277344,465.67388916015625,0,0,2,2,0,BTN,465.705810546875,24487.126953125,10.90210247039795,11420.51953125,40576.85546875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B74484063825186_1,66845921B74484063825186,1,Sarpang,362.3852233886719,440.3197021484375,235.73497009277344,465.67388916015625,0,0,2,2,0,BTN,580.95550537109375,34674.8515625,7.867609024047852,16889.953125,57393.2421875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B74484063825186_2,66845921B74484063825186,1,Sarpang,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,57393.2421875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B74484063825186_3,66845921B74484063825186,1,Sarpang,362.3852233886719,440.3197021484375,235.73497009277344,465.67388916015625,0,0,2,2,0,BTN,580.95550537109375,34674.8515625,7.867609024047852,16889.953125,57393.2421875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B42953625422300_0,66845921B42953625422300,1,Trongsa,13.877975463867188,164.2852020263672,910.84759521484375,584.814453125,0,0,3,3,0,BTN,69.36539459228516,1961.7657470703125,1377.90576171875,8887.95703125,12323.046875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B42953625422300_1,66845921B42953625422300,1,Trongsa,0,10.436811447143555,1053.5986328125,786.2607421875,0,0,3,4,1,BTN,0,50.441741943359375,1793.19287109375,15249.310546875,17092.9453125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B42953625422300_2,66845921B42953625422300,1,Trongsa,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,17092.9453125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B42953625422300_3,66845921B42953625422300,1,Trongsa,0,10.436811447143555,1053.5986328125,786.2607421875,0,0,3,4,1,BTN,0,50.441741943359375,1793.19287109375,15249.310546875,17092.9453125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B73017953941834_0,66845921B73017953941834,1,Tsirang,146.65904235839844,299.2305908203125,6.247098445892334,238.47305297851562,0,0,3,1,0,BTN,160.47007751464844,15466.423828125,0,1920.5394287109375,18278.337890625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B73017953941834_1,66845921B73017953941834,1,Tsirang,146.65904235839844,299.2305908203125,6.247098445892334,238.47305297851562,0,0,3,1,0,BTN,178.4454345703125,20400.951171875,0,2596.407958984375,23978.84375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B73017953941834_2,66845921B73017953941834,1,Tsirang,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,23978.84375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B73017953941834_3,66845921B73017953941834,1,Tsirang,146.65904235839844,299.2305908203125,6.247098445892334,238.47305297851562,0,0,3,1,0,BTN,178.4454345703125,20400.951171875,0,2596.407958984375,23978.84375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B15316385818209_0,66845921B15316385818209,1,Dagana,15.465959548950195,443.04541015625,0,19.63951873779297,0,0,3,1,0,BTN,3.3229362964630127,6320.31591796875,0,76.09769439697266,16880.849609375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B15316385818209_1,66845921B15316385818209,1,Dagana,15.465959548950195,443.04541015625,0,19.63951873779297,0,0,3,1,0,BTN,2.6136386394500732,8725.1572265625,0,74.27471160888672,23717.6484375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B15316385818209_2,66845921B15316385818209,1,Dagana,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,23717.6484375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B15316385818209_3,66845921B15316385818209,1,Dagana,15.465959548950195,443.04541015625,0,19.63951873779297,0,0,3,1,0,BTN,2.6136386394500732,8725.1572265625,0,74.27471160888672,23717.6484375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B16337540791352_0,66845921B16337540791352,1,Wangdue Phodrang,510.52178955078125,1274.12255859375,673.74072265625,1185.7708740234375,0,0,2,3,0,BTN,726.09149169921875,12910.021484375,264.3295593261719,19702.34765625,34483.2890625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B16337540791352_1,66845921B16337540791352,1,Wangdue Phodrang,322.0558776855469,777.0557861328125,2215.715576171875,1212.7625732421875,0,0,2,4,1,BTN,625.24505615234375,16876.353515625,808.30224609375,27790.83203125,47089.44921875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B16337540791352_2,66845921B16337540791352,1,Wangdue Phodrang,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,47089.44921875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B16337540791352_3,66845921B16337540791352,1,Wangdue Phodrang,322.0558776855469,777.0557861328125,2215.715576171875,1212.7625732421875,0,0,2,4,1,BTN,625.24505615234375,16876.353515625,808.30224609375,27790.83203125,47089.44921875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B22612990788005_0,66845921B22612990788005,1,Punakha,0,2.008100748062134,312.9527282714844,251.54933166503906,0,0,2,2,0,BTN,0,15.247819900512695,16.83355140686035,4539.58447265625,5566.080078125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B22612990788005_1,66845921B22612990788005,1,Punakha,0,2.008100748062134,327.4482421875,237.0538330078125,0,0,2,3,0,BTN,0,16.20586585998535,17.08283233642578,6827.1005859375,7858.62939453125,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B22612990788005_2,66845921B22612990788005,1,Punakha,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,7858.62939453125,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B22612990788005_3,66845921B22612990788005,1,Punakha,0,2.008100748062134,327.4482421875,237.0538330078125,0,0,2,3,0,BTN,0,16.20586585998535,17.08283233642578,6827.1005859375,7858.62939453125,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B82067974050695_0,66845921B82067974050695,1,Thimpu,0,32.89469909667969,896.5946044921875,479.763427734375,0,0,1,2,0,BTN,0,4153.404296875,1972.8170166015625,69123.21875,91025.0859375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B82067974050695_1,66845921B82067974050695,1,Thimpu,0,32.89469909667969,896.5946044921875,479.763427734375,0,0,1,2,0,BTN,0,4644.666015625,2307.842529296875,78469.8671875,104191.4140625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B82067974050695_2,66845921B82067974050695,1,Thimpu,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,104191.4140625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B82067974050695_3,66845921B82067974050695,1,Thimpu,0,32.89469909667969,896.5946044921875,479.763427734375,0,0,1,2,0,BTN,0,4644.666015625,2307.842529296875,78469.8671875,104191.4140625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B30697351958460_0,66845921B30697351958460,1,Gasa,0,0,2439.7578125,1032.46435546875,0,0,0,1,0,BTN,0,0,2383.296630859375,0,2399.2587890625,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B30697351958460_1,66845921B30697351958460,1,Gasa,0,0,2980.8037109375,709.2509765625,0,0,0,2,0,BTN,0,0,3357.001220703125,2.8213889598846436,3374.005859375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
66845921B30697351958460_2,66845921B30697351958460,1,Gasa,0,0,0,0,0,0,0,0,0,BTN,0,0,0,0,3374.005859375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
