system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
28894549B55881681467015_0,28894549B55881681467015,1,Upper Uele,11505.8447265625,6730.44580078125,6868.0400390625,4849.71435546875,0,0,3,2,2,COD,89172.125,94592.109375,18350.3203125,32077.845703125,949943.9375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B55881681467015_1,28894549B55881681467015,1,Upper Uele,11505.8447265625,6730.44580078125,6868.0400390625,4849.71435546875,0,0,3,2,2,COD,181872.328125,193940.9375,39775.203125,68896.2265625,2112105,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B55881681467015_2,28894549B55881681467015,1,Upper Uele,0,0,0,0,0,0,0,0,0,COD,0,0,0,0,2112105,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B55881681467015_3,28894549B55881681467015,1,Upper Uele,11505.8447265625,6730.44580078125,6868.0400390625,4849.71435546875,0,0,3,2,2,COD,181872.328125,193940.9375,39775.203125,68896.2265625,2112105,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B71118016098951_0,28894549B71118016098951,1,Ituri,0,0,12052.00390625,4203.67822265625,0,0.36042627692222595,0,2,3,COD,0,0,37216.45703125,40862.75390625,2803082.75,0,15.314476013183594,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B71118016098951_1,28894549B71118016098951,1,Ituri,0,0,12052.00390625,4203.67822265625,0,0.36042627692222595,0,2,3,COD,0,0,91968.515625,72488.53125,6210567,0,29.55982208251953,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B71118016098951_2,28894549B71118016098951,1,Ituri,0,0,0,0,0,0,0,0,0,COD,0,0,0,0,6210567,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B71118016098951_3,28894549B71118016098951,1,Ituri,0,0,12052.00390625,4203.67822265625,0,0.36042627692222595,0,2,3,COD,0,0,91968.515625,72488.53125,6210567,0,29.55982208251953,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B99726016901645_0,28894549B99726016901645,1,Tshopo,3.1147546768188477,936.32794189453125,4783.142578125,1737.5718994140625,0,0,1,1,0,COD,7.267347812652588,1877.235107421875,3549.05908203125,2007.403076171875,1557824.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B99726016901645_1,28894549B99726016901645,1,Tshopo,3.1147546768188477,936.32794189453125,4783.142578125,1737.5718994140625,6393.51416015625,3856.523681640625,1,1,3,COD,14.703963279724121,4329.74072265625,6642.44873046875,3632.89599609375,3471917,6960.81298828125,5630.26953125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B99726016901645_2,28894549B99726016901645,1,Tshopo,0,0,2229.0478515625,2077.844970703125,0,0,0,1,0,COD,0,0,71436.796875,150325.8125,3471917,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B99726016901645_3,28894549B99726016901645,1,Tshopo,3.1147546768188477,936.32794189453125,7012.1904296875,3815.4169921875,6393.51416015625,3856.523681640625,1,2,3,COD,14.703963279724121,4329.74072265625,78079.2421875,153958.703125,3471917,6960.81298828125,5630.26953125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B47695765788779_0,28894549B47695765788779,1,Lower Uele,32272.24609375,10623.53125,6441.56298828125,3887.8046875,0,0,2,1,0,COD,39623.75390625,29929.23828125,9262.4306640625,11542.6533203125,675490.5,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
28894549B47695765788779_1,28894549B47695765788779,1,Lower Uele,32272.24609375,10623.53125,6441.56298828125,3887.8046875,0,0,2,1,0,COD,87025.640625,79276.640625,17176.822265625,22602.28515625,1501403.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
