system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
12472421B94455277260743_0,12472421B94455277260743,1,Anseba Region,3216.14306640625,997.2808837890625,0,0,0,0,1,0,0,ERI,560.25482177734375,70.09915924072266,0,0,443501.375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B94455277260743_1,12472421B94455277260743,1,Anseba Region,3216.14306640625,997.2808837890625,0,0,0,0,1,0,0,ERI,750.02191162109375,77.7693862915039,0,0,471623.0625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B94455277260743_2,12472421B94455277260743,1,Anseba Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,471623.0625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B94455277260743_3,12472421B94455277260743,1,Anseba Region,3216.14306640625,997.2808837890625,0,0,0,0,1,0,0,ERI,750.02191162109375,77.7693862915039,0,0,471623.0625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_0,12472421B57032757115732,1,Gash-Barka Region,810.56854248046875,1459.8072509765625,0,0,0,0,1,0,0,ERI,2189.21435546875,137861.703125,0,0,471661.9375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_1,12472421B57032757115732,1,Gash-Barka Region,810.56854248046875,1459.8072509765625,0,0,0,0,1,0,0,ERI,3988.568359375,112309.859375,0,0,806385.1875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_2,12472421B57032757115732,1,Gash-Barka Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,806385.1875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B57032757115732_3,12472421B57032757115732,1,Gash-Barka Region,810.56854248046875,1459.8072509765625,0,0,0,0,1,0,0,ERI,3988.568359375,112309.859375,0,0,806385.1875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B98039697407970_0,12472421B98039697407970,1,Debub Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,447863.34375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
12472421B98039697407970_1,12472421B98039697407970,1,Debub Region,0,0,0,0,0,0,0,0,0,ERI,0,0,0,0,824950.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
