system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
75662566B5378229891244_0,75662566B5378229891244,1,Addis Ababa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,2370600,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B5378229891244_1,75662566B5378229891244,1,Addis Ababa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,3564058,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B5378229891244_2,75662566B5378229891244,1,Addis Ababa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,3564058,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B5378229891244_3,75662566B5378229891244,1,Addis Ababa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,3564058,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B25357223982520_0,75662566B25357223982520,1,Afar,21500.888671875,5778.900390625,3412.262939453125,3023.895751953125,0,0,6,2,0,ETH,348196.84375,88294.5625,22158.439453125,39403.2421875,1173522.75,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B25357223982520_1,75662566B25357223982520,1,Afar,21500.888671875,5778.900390625,3412.262939453125,3023.895751953125,0,0,6,2,0,ETH,527945.375,132597.4375,32375.27734375,68117.25,1837634.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B25357223982520_2,75662566B25357223982520,1,Afar,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,1837634.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B25357223982520_3,75662566B25357223982520,1,Afar,21500.888671875,5778.900390625,3412.262939453125,3023.895751953125,0,0,6,2,0,ETH,527945.375,132597.4375,32375.27734375,68117.25,1837634.875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B52684709481520_0,75662566B52684709481520,1,Amhara,1258.289794921875,2644.0634765625,486.13580322265625,2431.7060546875,0,0,2,2,1,ETH,76683.59375,132840.4375,77827.7421875,226160.65625,14747765,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B52684709481520_1,75662566B52684709481520,1,Amhara,1258.289794921875,2644.0634765625,3128.80517578125,3770.025390625,0,0,2,3,1,ETH,112121.6796875,203476,123552.53125,358684.15625,22004116,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B52684709481520_2,75662566B52684709481520,1,Amhara,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,22004116,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B52684709481520_3,75662566B52684709481520,1,Amhara,1258.289794921875,2644.0634765625,3128.80517578125,3770.025390625,0,0,2,3,1,ETH,112121.6796875,203476,123552.53125,358684.15625,22004116,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B16746670119676_0,75662566B16746670119676,1,Beneshangul Gumu,1901.2327880859375,2483.339111328125,0,0,0,0,1,0,0,ETH,11040.306640625,19873.560546875,0,0,638417.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B16746670119676_1,75662566B16746670119676,1,Beneshangul Gumu,1901.2327880859375,2483.339111328125,0.8666027784347534,366.8103942871094,0,0,1,1,0,ETH,20581.6640625,36857.45703125,2.0435492992401123,534.61419677734375,1140385.625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B16746670119676_2,75662566B16746670119676,1,Beneshangul Gumu,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,1140385.625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B16746670119676_3,75662566B16746670119676,1,Beneshangul Gumu,1901.2327880859375,2483.339111328125,0.8666027784347534,366.8103942871094,0,0,1,1,0,ETH,20581.6640625,36857.45703125,2.0435492992401123,534.61419677734375,1140385.625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B22109266514860_0,75662566B22109266514860,1,Dire Dawa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,286663.5625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B22109266514860_1,75662566B22109266514860,1,Dire Dawa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,470433.90625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B22109266514860_2,75662566B22109266514860,1,Dire Dawa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,470433.90625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B22109266514860_3,75662566B22109266514860,1,Dire Dawa,0,0,0,0,0,0,0,0,0,ETH,0,0,0,0,470433.90625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
75662566B92391245038365_0,75662566B92391245038365,1,Gambela,5998.66845703125,2317.02783203125,4356.974609375,3453.942626953125,0,0,3,1,0,ETH,30560.224609375,16083.271484375,21703.41015625,38528.9453125,217396.140625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
