system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
69750345B35244651716901_0,69750345B35244651716901,1,Western North Region,1701.382568359375,2054.93994140625,1736.18701171875,4745.349609375,0,0,24,14,0,GHA,68600.046875,183096.625,51872.6796875,328094.53125,631674.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B35244651716901_1,69750345B35244651716901,1,Western North Region,1701.382568359375,2054.93994140625,1736.18701171875,4745.349609375,0,0,24,14,0,GHA,86300.8046875,245866.9375,65146.45703125,441451.53125,838777.6875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B35244651716901_2,69750345B35244651716901,1,Western North Region,0,0,0,0,0,0,0,0,0,GHA,0,0,0,0,838777.6875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B35244651716901_3,69750345B35244651716901,1,Western North Region,1701.382568359375,2054.93994140625,1736.18701171875,4745.349609375,0,0,24,14,0,GHA,86300.8046875,245866.9375,65146.45703125,441451.53125,838777.6875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B39836988306125_0,69750345B39836988306125,1,Ahafo Region,599.17132568359375,2216.940673828125,173.89002990722656,1910.2822265625,0,0,19,12,0,GHA,19404.33984375,203482.828125,6294.734375,121710.3046875,366633.5625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B39836988306125_1,69750345B39836988306125,1,Ahafo Region,599.17132568359375,2216.940673828125,173.89002990722656,1910.2822265625,0,0,19,12,0,GHA,27838.6796875,328500.40625,10319.5673828125,192483.703125,585820,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B39836988306125_2,69750345B39836988306125,1,Ahafo Region,0,0,0,0,0,0,0,0,0,GHA,0,0,0,0,585820,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B39836988306125_3,69750345B39836988306125,1,Ahafo Region,599.17132568359375,2216.940673828125,173.89002990722656,1910.2822265625,0,0,19,12,0,GHA,27838.6796875,328500.40625,10319.5673828125,192483.703125,585820,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B43572680159989_0,69750345B43572680159989,1,Bono East Region,303.48321533203125,2033.4403076171875,2785.82275390625,1324.730712890625,0,0,11,2,0,GHA,14108.482421875,149829.234375,24443.865234375,31502.759765625,678074,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
69750345B43572680159989_1,69750345B43572680159989,1,Bono East Region,303.48321533203125,2033.4403076171875,2785.82275390625,1324.730712890625,0,0,11,2,0,GHA,24471.9375,231485.9375,43350.73046875,58117.40234375,1156028.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
