system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
49955354B91988968603803_0,49955354B91988968603803,1,Département de l'Ouest,0,4.986157364328392e-6,31.590721130371094,422.59619140625,0,0,1,1,0,HTI,0,0,2513.321533203125,53275.67578125,3092133,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91988968603803_1,49955354B91988968603803,1,Département de l'Ouest,0,4.986157364328392e-6,285.983154296875,1601.1800537109375,0,0,2,8,0,HTI,0,0,24142.2265625,1948255,3213684,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91988968603803_2,49955354B91988968603803,1,Département de l'Ouest,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,3213684,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91988968603803_3,49955354B91988968603803,1,Département de l'Ouest,0,4.986157364328392e-6,285.983154296875,1601.1800537109375,0,0,2,8,0,HTI,0,0,24142.2265625,1948255,3213684,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_0,49955354B57760347032633,1,Département de la Grande-Anse,0,0,43.358951568603516,454.09307861328125,0,0,0,1,0,HTI,0,0,637.013671875,48367.46484375,353900.6875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_1,49955354B57760347032633,1,Département de la Grande-Anse,215.8111572265625,284.0318298339844,67.92460632324219,774.6048583984375,0,0,2,3,0,HTI,41422.1875,74469.8359375,995.1600341796875,121276.25,530577.9375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_2,49955354B57760347032633,1,Département de la Grande-Anse,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,530577.9375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B57760347032633_3,49955354B57760347032633,1,Département de la Grande-Anse,215.8111572265625,284.0318298339844,67.92460632324219,774.6048583984375,0,0,2,3,0,HTI,41422.1875,74469.8359375,995.1600341796875,121276.25,530577.9375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_0,49955354B18164660475406,1,Département des Nippes,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,257413.078125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_1,49955354B18164660475406,1,Département des Nippes,204.81320190429688,359.2384338378906,0,0,0,0,2,0,0,HTI,41282.60546875,102098.0625,0,0,397675.71875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_2,49955354B18164660475406,1,Département des Nippes,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,397675.71875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B18164660475406_3,49955354B18164660475406,1,Département des Nippes,204.81320190429688,359.2384338378906,0,0,0,0,2,0,0,HTI,41282.60546875,102098.0625,0,0,397675.71875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_0,49955354B87386787470583,1,Département du Sud-Est,0,0,82.60289001464844,499.4743347167969,0,0,0,1,0,HTI,0,0,14965.623046875,102948.9140625,475488.4375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_1,49955354B87386787470583,1,Département du Sud-Est,7.270473480224609,78.12220001220703,133.65493774414062,807.11376953125,0,0,1,3,0,HTI,23.28643798828125,8893.9111328125,27036.1171875,274740.71875,709443.4375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_2,49955354B87386787470583,1,Département du Sud-Est,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,709443.4375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B87386787470583_3,49955354B87386787470583,1,Département du Sud-Est,7.270473480224609,78.12220001220703,133.65493774414062,807.11376953125,0,0,1,3,0,HTI,23.28643798828125,8893.9111328125,27036.1171875,274740.71875,709443.4375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_0,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,501877.84375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_1,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,913591.5,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_2,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,913591.5,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
49955354B91757075506973_3,49955354B91757075506973,1,Nord-Ouest Department,0,0,0,0,0,0,0,0,0,HTI,0,0,0,0,913591.5,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
