system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
1811400B81659894240990_0,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1129933,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B81659894240990_1,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1709557.375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B81659894240990_2,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1709557.375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B81659894240990_3,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1709557.375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_0,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,99625840,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_1,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,1060.143798828125,4080.546142578125,0,0,1,IND,0,0,0,0,126408584,31424.58203125,581994.3125,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_2,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,126408584,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_3,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,1060.143798828125,4080.546142578125,0,0,1,IND,0,0,0,0,126408584,31424.58203125,581994.3125,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_0,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2174831.75,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_1,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2073866.625,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_2,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2073866.625,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_3,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2073866.625,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_0,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,3077.974365234375,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_1,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,3304.289794921875,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_2,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,3304.289794921875,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_3,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,3304.289794921875,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
