system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
1811400B81659894240990_0,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,866936.875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B81659894240990_1,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1455819.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B81659894240990_2,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1455819.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B81659894240990_3,1811400B81659894240990,1,Puducherry,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1455819.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_0,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,94593928,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_1,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,1011.0126342773438,4047.4794921875,0,0,1,IND,0,0,0,0,128086336,110615.703125,655519.8125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_2,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,128086336,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B15614733245507_3,1811400B15614733245507,1,Mahārāshtra,0,0,0,0,1011.0126342773438,4047.4794921875,0,0,1,IND,0,0,0,0,128086336,110615.703125,655519.8125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_0,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,1981221.625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_1,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2059618.75,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_2,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2059618.75,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B74762431478096_3,1811400B74762431478096,1,Nāgāland,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2059618.75,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_0,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,2821.785400390625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_1,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,3327.684326171875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_2,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,3327.684326171875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B55669546485086_3,1811400B55669546485086,1,Lakshadweep,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,3327.684326171875,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B11231190780494_0,1811400B11231190780494,1,Uttar Pradesh,0,0,0,0,0,109.01114654541016,0,0,2,IND,0,0,0,0,162023392,0,52174.640625,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B11231190780494_1,1811400B11231190780494,1,Uttar Pradesh,0,0,0,0,0,109.01114654541016,0,0,2,IND,0,0,0,0,234971184,0,66656.453125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B11231190780494_2,1811400B11231190780494,1,Uttar Pradesh,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,234971184,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B11231190780494_3,1811400B11231190780494,1,Uttar Pradesh,0,0,0,0,0,109.01114654541016,0,0,2,IND,0,0,0,0,234971184,0,66656.453125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B21167269026319_0,1811400B21167269026319,1,Tamil Nādu,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,61290124,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B21167269026319_1,1811400B21167269026319,1,Tamil Nādu,0,0,0,0,1647.5526123046875,5364.880859375,0,0,1,IND,0,0,0,0,82234288,205929.359375,2263538.5,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B21167269026319_2,1811400B21167269026319,1,Tamil Nādu,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,82234288,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B21167269026319_3,1811400B21167269026319,1,Tamil Nādu,0,0,0,0,1647.5526123046875,5364.880859375,0,0,1,IND,0,0,0,0,82234288,205929.359375,2263538.5,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
1811400B70654311394581_0,1811400B70654311394581,1,Chhattīsgarh,0,0,0,0,0,0,0,0,0,IND,0,0,0,0,20444300,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
