system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
38789647B43528262636538_0,38789647B43528262636538,1,Batken Region,0,0,0,0,0,0,0,0,0,KGZ,0,0,0,0,408399.9375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B43528262636538_1,38789647B43528262636538,1,Batken Region,0,0,0,0,0,0,0,0,0,KGZ,0,0,0,0,409902.09375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B43528262636538_2,38789647B43528262636538,1,Batken Region,0,0,0,0,0,0,0,0,0,KGZ,0,0,0,0,409902.09375,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B43528262636538_3,38789647B43528262636538,1,Batken Region,0,0,0,0,0,0,0,0,0,KGZ,0,0,0,0,409902.09375,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B74878035894071_0,38789647B74878035894071,1,Osh Region,109.94898986816406,1892.907958984375,160.67762756347656,1313.308837890625,0,0,3,2,0,KGZ,17933.291015625,347598.90625,1744.3643798828125,15682.5166015625,1266476.375,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B74878035894071_1,38789647B74878035894071,1,Osh Region,109.94898986816406,1892.907958984375,160.67762756347656,1313.308837890625,0,0,3,2,0,KGZ,18529.47265625,381505.96875,1643.248291015625,13811.8330078125,1411942.125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B74878035894071_2,38789647B74878035894071,1,Osh Region,0,0,0,0,0,0,0,0,0,KGZ,0,0,0,0,1411942.125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B74878035894071_3,38789647B74878035894071,1,Osh Region,109.94898986816406,1892.907958984375,160.67762756347656,1313.308837890625,0,0,3,2,0,KGZ,18529.47265625,381505.96875,1643.248291015625,13811.8330078125,1411942.125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B46237219042962_0,38789647B46237219042962,1,Talas Region,563.337646484375,1147.714111328125,134.70851135253906,926.08392333984375,0,0,4,2,0,KGZ,3115.336181640625,5809.7978515625,800.1055908203125,6718.556640625,201671.96875,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B46237219042962_1,38789647B46237219042962,1,Talas Region,563.337646484375,1147.714111328125,134.70851135253906,926.08392333984375,0,0,4,2,0,KGZ,2236.637451171875,5248.798828125,604.13421630859375,7092.68115234375,244724.765625,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B46237219042962_2,38789647B46237219042962,1,Talas Region,0,0,0,0,0,0,0,0,0,KGZ,0,0,0,0,244724.765625,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B46237219042962_3,38789647B46237219042962,1,Talas Region,563.337646484375,1147.714111328125,134.70851135253906,926.08392333984375,0,0,4,2,0,KGZ,2236.637451171875,5248.798828125,604.13421630859375,7092.68115234375,244724.765625,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B85532999857943_0,38789647B85532999857943,1,Jalal-Abad Region,525.44842529296875,1043.1351318359375,1479.9920654296875,5206.353515625,0,0,3,5,0,KGZ,915.32928466796875,5391.458984375,6861.68798828125,28998.373046875,913717.8125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B85532999857943_1,38789647B85532999857943,1,Jalal-Abad Region,525.44842529296875,1043.1351318359375,1479.9920654296875,5206.353515625,0,0,3,5,0,KGZ,940.64154052734375,4551.46875,7807.55517578125,30304.23046875,1065055.875,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
38789647B85532999857943_2,38789647B85532999857943,1,Jalal-Abad Region,0,0,0,0,0,0,0,0,0,KGZ,0,0,0,0,1065055.875,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
