system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
37992800B90729700897308_0,37992800B90729700897308,1,Stung Treng,0,0,1061.7474365234375,2034.94677734375,0,0,0,2,0,KHM,0,0,3108.853271484375,30805.09765625,82110.890625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B90729700897308_1,37992800B90729700897308,1,Stung Treng,5012.2119140625,2503.83984375,1509.609619140625,1960.991455078125,0,0,7,3,0,KHM,26857.32421875,58417.78515625,5935.5205078125,56148.359375,164029.03125,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B90729700897308_2,37992800B90729700897308,1,Stung Treng,0,0,0,0,0,0,0,0,0,KHM,0,0,0,0,164029.03125,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B90729700897308_3,37992800B90729700897308,1,Stung Treng,5012.2119140625,2503.83984375,1509.609619140625,1960.991455078125,0,0,7,3,0,KHM,26857.32421875,58417.78515625,5935.5205078125,56148.359375,164029.03125,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B94509217911919_0,37992800B94509217911919,1,Preah Vihear,3589.474609375,2851.243896484375,0,3.649132490158081,0,0,3,1,0,KHM,20075.564453125,43387.68359375,0,57.12954330444336,126521.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B94509217911919_1,37992800B94509217911919,1,Preah Vihear,8743.859375,3644.710205078125,246.7366943359375,1196.06298828125,0,0,11,2,0,KHM,150065.890625,165075.875,4481.7587890625,71720.0234375,397960,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B94509217911919_2,37992800B94509217911919,1,Preah Vihear,0,0,0,0,0,0,0,0,0,KHM,0,0,0,0,397960,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B94509217911919_3,37992800B94509217911919,1,Preah Vihear,8743.859375,3644.710205078125,246.7366943359375,1196.06298828125,0,0,11,2,0,KHM,150065.890625,165075.875,4481.7587890625,71720.0234375,397960,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B59838984331544_0,37992800B59838984331544,1,Kampong Thom,1168.033447265625,1935.7982177734375,118.09284973144531,271.439697265625,0,0,2,1,0,KHM,18279.84375,70656.453125,1273.18017578125,3912.9208984375,567746.125,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
37992800B59838984331544_1,37992800B59838984331544,1,Kampong Thom,2837.1796875,4568.673828125,183.28564453125,759.967041015625,0,0,10,3,0,KHM,48326.0078125,292343.15625,3616.178955078125,13675.6669921875,747124.4375,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
