system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
31783359B80437097027275_0,31783359B80437097027275,1,Xaignabouli,1762.921875,1473.8931884765625,0,0,0,0,1,0,0,LAO,3809.786865234375,46034.75,0,0,328156.96875,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B80437097027275_1,31783359B80437097027275,1,Xaignabouli,1762.921875,1473.8931884765625,0,0,0,0,1,0,0,LAO,5265.22265625,59268.87890625,0,0,425865.4375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B80437097027275_2,31783359B80437097027275,1,Xaignabouli,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,425865.4375,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B80437097027275_3,31783359B80437097027275,1,Xaignabouli,1762.921875,1473.8931884765625,0,0,0,0,1,0,0,LAO,5265.22265625,59268.87890625,0,0,425865.4375,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_0,31783359B8999899719232,1,Attapeu,2113.665283203125,1904.240478515625,0,0,0,0,3,0,0,LAO,6124.1142578125,16002.5283203125,0,0,102594.78125,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_1,31783359B8999899719232,1,Attapeu,2113.665283203125,1904.240478515625,0,0,0,0,3,0,0,LAO,10198.0009765625,27336.5234375,0,0,169792.25,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_2,31783359B8999899719232,1,Attapeu,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,169792.25,0,0,2020,Unknown_Year,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B8999899719232_3,31783359B8999899719232,1,Attapeu,2113.665283203125,1904.240478515625,0,0,0,0,3,0,0,LAO,10198.0009765625,27336.5234375,0,0,169792.25,0,0,2020,All_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B18099798035754_0,31783359B18099798035754,1,Bokeo,0,0,0,0,0,0,0,0,0,LAO,0,0,0,0,136916.25,0,0,2000,Confirmed_2000,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
31783359B18099798035754_1,31783359B18099798035754,1,Bokeo,988.9810791015625,1255.626953125,0,0,0,0,1,0,0,LAO,6225.05615234375,20715.142578125,0,0,215275.109375,0,0,2020,Confirmed_2020,GHSL,"{""type"":""MultiPoint"",""coordinates"":[]}"
